#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,         elapsed time,        accept. ratio,    Monte Carlo steps 
 3.94041938360650e+00, 1.08785666810182e+00, 5.00000000000000e+00, 2.33098330286930e-01, 1.90204276067848e-01, 3.98125059987278e-04, 5.18007762989684e-01, 2.42163501840724e-01, 5.03397579321544e-01, 1.49458031409740e+00, 2.43463729900000e+00, 9.10387500000000e-01,              1200000
 3.99661459637043e+00, 1.09097044095428e+00, 5.00000000000000e+00, 2.32172090248538e-01, 1.39160670144735e-01, 3.40539608739735e-04, 5.04786752436272e-01, 2.20419041847491e-01, 4.80408158786774e-01, 1.27616292391945e+00, 2.29039373800000e+00, 9.02835833333333e-01,              1200000
 3.99950747697499e+00, 1.09113073526849e+00, 5.00000000000000e+00, 2.27571271563739e-01, 1.06941635889292e-01, 2.72516100300734e-04, 5.00839436429128e-01, 2.04556893441074e-01, 4.65392794229964e-01, 9.98673072028477e-01, 2.55153684200000e+00, 9.10396527777778e-01,              1440000
 3.99953640578103e+00, 1.09113233821163e+00, 5.00000000000000e+00, 2.28691641891938e-01, 1.08095494447433e-01, 2.73982327146287e-04, 5.01595294654478e-01, 2.08160641694551e-01, 4.70350794881112e-01, 1.03164572245929e+00, 2.54803073000000e+00, 9.04795138888889e-01,              1440000
 3.99953669506909e+00, 1.09113235424106e+00, 5.00000000000000e+00, 2.26314051984959e-01, 1.02571336246904e-01, 2.43635818753978e-04, 5.02645434966299e-01, 2.05821318816968e-01, 4.66299757115697e-01, 9.60649097804693e-01, 3.03725023700000e+00, 9.01300347222222e-01,              1728000
 3.99953669796198e+00, 1.09113235440135e+00, 5.00000000000000e+00, 2.37481833594776e-01, 1.79774417540086e-01, 3.22546308708725e-04, 5.07465953516953e-01, 2.35151024073577e-01, 4.94024170847020e-01, 1.56389545565722e+00, 3.00237037800000e+00, 8.95212384259259e-01,              1728000
 3.99953669799090e+00, 1.09113235440296e+00, 5.00000000000000e+00, 2.30054925015900e-01, 1.32526945273088e-01, 2.76936516317502e-04, 5.05797572537953e-01, 2.19736218849287e-01, 4.78242837432672e-01, 1.20060685187183e+00, 3.04435944800000e+00, 9.06958333333333e-01,              1728000
 3.99953669799119e+00, 1.09113235440297e+00, 5.00000000000000e+00, 2.33820816767690e-01, 1.77004099536564e-01, 3.20051445821682e-04, 5.08062573407036e-01, 2.34795197324748e-01, 4.91629015908856e-01, 1.66106426474920e+00, 3.00222781600000e+00, 9.05333333333333e-01,              1728000
 3.99953669799120e+00, 1.09113235440297e+00, 5.00000000000000e+00, 2.30858909982037e-01, 1.26201752539397e-01, 2.70246964105885e-04, 5.04629234046596e-01, 2.17094044748608e-01, 4.78144422729897e-01, 1.20169591303649e+00, 3.21802193600000e+00, 9.05720486111111e-01,              1728000
 3.99953669799120e+00, 1.09113235440297e+00, 5.00000000000000e+00, 2.27716479113524e-01, 1.10578993151994e-01, 2.52967335616450e-04, 5.05088911169515e-01, 2.11132967941300e-01, 4.73434795889719e-01, 1.06688823758082e+00, 3.20249643500000e+00, 9.01317708333333e-01,              1728000
 3.99953669799120e+00, 1.09113235440297e+00, 5.00000000000000e+00, 2.29597515273198e-01, 1.36179401461384e-01, 2.80726778191637e-04, 5.05155553237047e-01, 2.16800081056838e-01, 4.75288657195145e-01, 1.21044622302640e+00, 3.29040606600000e+00, 9.05846643518519e-01,              1728000
