#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 2.883804117164e+00, 1.122543462890e+00, 5.000000000000e+00, 1.912486512529e-01, 1.827404826948e-02, 4.274815583097e-05, 9.021661178000e+00, 8.978804000000e-01,           10000000
 2.570590945544e+00, 1.124376324833e+00, 5.000000000000e+00, 1.892753049040e-01, 1.481688591166e-02, 3.849270828567e-05, 8.709115325000e+00, 9.013006000000e-01,           10000000
 2.701424457725e+00, 1.117732045773e+00, 5.000000000000e+00, 1.878820853894e-01, 2.097148756283e-02, 4.579463676330e-05, 8.619733540000e+00, 9.013984000000e-01,           10000000
 2.704921846481e+00, 1.115782378193e+00, 5.000000000000e+00, 1.955975273500e-01, 7.481624322368e-02, 8.649638329068e-05, 8.618995067000e+00, 9.043991000000e-01,           10000000
 2.701459431613e+00, 1.117712549098e+00, 5.000000000000e+00, 1.910951914319e-01, 3.173903129611e-02, 5.633740435635e-05, 9.010517858000e+00, 8.946322000000e-01,           10000000
 2.701424807464e+00, 1.117731850807e+00, 5.000000000000e+00, 1.881314084369e-01, 2.198607691747e-02, 4.688931319338e-05, 8.666028614000e+00, 9.034518000000e-01,           10000000
 2.701424461223e+00, 1.117732043824e+00, 5.000000000000e+00, 1.880287825067e-01, 2.049974325842e-02, 4.527664216615e-05, 8.706929572000e+00, 9.054745000000e-01,           10000000
 2.701424457760e+00, 1.117732045754e+00, 5.000000000000e+00, 1.876055766965e-01, 1.977299608135e-02, 4.446683717261e-05, 9.278746988000e+00, 9.054349000000e-01,           10000000
 2.701015399228e+00, 1.097406867745e+00, 5.000000000000e+00, 1.877210137283e-01, 8.931730791496e-02, 9.450783455088e-05, 9.233688557000e+00, 9.064663000000e-01,           10000000
 2.701412155047e+00, 1.117120752197e+00, 5.000000000000e+00, 1.877654972192e-01, 2.221399854485e-02, 4.713172874493e-05, 9.455937430000e+00, 9.093093000000e-01,           10000000
 2.701424334733e+00, 1.117725932818e+00, 5.000000000000e+00, 1.867697034584e-01, 1.794066532559e-02, 4.235642256564e-05, 9.500796111000e+00, 8.997583000000e-01,           10000000
