#                p[0],                 p[1],                 p[2],               energy,             variance,                error,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.0142904080435e+00,  1.1301197857752e+00,  1.1311697970330e+00, -1.7346283041515e-01,  3.3155613651609e-01,  8.1431705927861e-04,  2.7863897696582e-03, -3.7293708674144e-01, -9.8909526166328e-02, -2.3228600103259e+00,  1.1239843661956e-02, -2.5792487377224e+00,  1.4295724490000e+00,  9.0399000000000e-01,               500000
  2.0189071638972e+00,  1.1315435388557e+00,  1.1323140693378e+00, -1.8304796376856e-01,  3.2979130207919e-01,  8.1214691045301e-04,  1.6350845890965e-02, -3.6705574159423e-01,  3.1264229140518e-02, -2.2368548156787e+00,  1.0677885504603e-01, -2.7252280721620e+00,  1.5361625750000e+00,  9.0351000000000e-01,               500000
  2.0183752262368e+00,  1.1322733876675e+00,  1.1316770949790e+00, -1.8155442528407e-01,  3.6328688234177e-01,  8.5239296376938e-04,  1.6816938178887e-03, -3.5140290457849e-01, -8.1567626843770e-04, -2.6278487421754e+00, -5.2063841348117e-05, -3.2219963228868e+00,  1.5222187800000e+00,  9.0461800000000e-01,               500000
  2.0174580045809e+00,  1.1329707594730e+00,  1.1311290662437e+00, -1.7409949481180e-01,  3.4613913243503e-01,  8.3203261046071e-04, -7.2900647443164e-03, -4.2281441493074e-01,  7.2988507046503e-02, -2.4069030793208e+00, -6.1598479876190e-02, -3.0937943718664e+00,  1.4457641250000e+00,  9.0578600000000e-01,               500000
  2.0188140927571e+00,  1.1322752480188e+00,  1.1316382878636e+00, -1.7061930983595e-01,  3.5501404393883e-01,  8.4263164424182e-04, -8.9535805121504e-03, -3.7253773701219e-01,  3.5417628421647e-02, -2.4652077809812e+00, -9.2139328377529e-02, -3.2773023287539e+00,  1.4750732260000e+00,  9.0447800000000e-01,               500000
  2.0226996710698e+00,  1.1310162229235e+00,  1.1335901862833e+00, -1.7222703260031e-01,  3.1578048516816e-01,  7.9470810385721e-04,  1.7487929323739e-03, -3.3304425412827e-01, -3.5731611751382e-02, -2.1813153833604e+00,  9.1367596995201e-02, -2.3544742896781e+00,  1.3682920560000e+00,  9.0796400000000e-01,               500000
  2.0257414833274e+00,  1.1305628392871e+00,  1.1339117958015e+00, -1.7380553555415e-01,  3.3328287043812e-01,  8.1643477441633e-04,  1.7446697960748e-02, -3.3334066073776e-01, -5.5898526680703e-02, -2.3904442338207e+00,  1.1306257238650e-01, -2.6888918400864e+00,  1.4561899920000e+00,  9.0685400000000e-01,               500000
  2.0234339882751e+00,  1.1312133142308e+00,  1.1324171711263e+00, -1.7172622606874e-01,  3.7042940116463e-01,  8.6073155067608e-04,  1.3141726597593e-03, -3.5831933255004e-01, -5.2230639018274e-02, -2.8529636908521e+00, -2.2925499413327e-02, -3.2146415825637e+00,  1.4418598840000e+00,  9.0801600000000e-01,               500000
  2.0210212175151e+00,  1.1327972034634e+00,  1.1314620541532e+00, -1.7688957023574e-01,  3.4618536814641e-01,  8.3208817819557e-04,  9.8652434657514e-03, -3.0335544233505e-01,  5.0594724867603e-02, -2.4409166224909e+00, -9.5513398701217e-03, -2.7119299186318e+00,  1.4659108330000e+00,  9.0121600000000e-01,               500000
  2.0185114808206e+00,  1.1330515468097e+00,  1.1311188734696e+00, -1.6598367515551e-01,  3.4622857272992e-01,  8.3214009965860e-04,  9.2728359760258e-03, -3.5121007220188e-01,  3.9915367015198e-02, -2.2790394355853e+00, -6.8576355126483e-02, -2.7580581778782e+00,  1.4137632370000e+00,  9.0133000000000e-01,               500000
  2.0149154574418e+00,  1.1329191527555e+00,  1.1313713577285e+00, -1.7315259239598e-01,  3.3602881107143e-01,  8.1979120643177e-04, -9.9289675367461e-03, -3.7574850197102e-01,  3.9048514841973e-02, -2.1664934163433e+00, -6.7487701299124e-02, -2.7082502344029e+00,  1.4825792520000e+00,  9.0827400000000e-01,               500000
  2.0131605294137e+00,  1.1324449327987e+00,  1.1321529880524e+00, -1.6801952663182e-01,  3.7176480664233e-01,  8.6228163223198e-04, -8.4973834164174e-03, -4.9818103376161e-01, -5.8239680246917e-02, -3.1708536659258e+00, -5.3727597592206e-02, -3.3859944509150e+00,  1.4778003100000e+00,  9.1076600000000e-01,               500000
  2.0128649784477e+00,  1.1325775287622e+00,  1.1333045656227e+00, -1.6755234573201e-01,  3.3727140430900e-01,  8.2130555131328e-04,  9.6348763281492e-04, -3.5865315753353e-01,  3.0788774253631e-02, -2.1545066363034e+00,  1.9086878748632e-02, -2.9177674981707e+00,  1.4936074070000e+00,  9.0805400000000e-01,               500000
  2.0124829493144e+00,  1.1324183618874e+00,  1.1342005717850e+00, -1.7291485035162e-01,  3.5503497019743e-01,  8.4265647828452e-04, -7.8424036986379e-03, -3.7637001766016e-01, -3.5335652503872e-02, -2.3665723224771e+00,  1.4867341201236e-01, -3.1863311287937e+00,  1.4185645350000e+00,  9.0932200000000e-01,               500000
  2.0133234627026e+00,  1.1326180746867e+00,  1.1338183839320e+00, -1.7118641482321e-01,  3.5696744779343e-01,  8.4494668209707e-04,  1.1238245454305e-02, -3.3424522336143e-01,  4.9853262534178e-02, -2.4272842672035e+00,  7.1679696714354e-02, -3.2140221453490e+00,  1.4450112910000e+00,  9.0271800000000e-01,               500000
  2.0124455162217e+00,  1.1323401566863e+00,  1.1329059302191e+00, -1.7659390286012e-01,  3.2832370899961e-01,  8.1033784189017e-04, -1.2873022478443e-02, -3.3975287995094e-01,  2.1753721641059e-02, -2.0889331205794e+00,  8.5994041117504e-02, -2.7698740755083e+00,  1.4508067540000e+00,  9.0218400000000e-01,               500000
  2.0135827059586e+00,  1.1318941936967e+00,  1.1313964137829e+00, -1.7760807407687e-01,  3.3929898732273e-01,  8.2377058374615e-04, -2.1595640331747e-03, -3.1351342618734e-01, -1.7297147226219e-03, -2.2269422211063e+00, -4.6434238599180e-02, -2.7970226047425e+00,  1.4801218420000e+00,  9.0209600000000e-01,               500000
