#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,      accept. ratio,  Monte Carlo steps 
 2.603006586620e+01, 1.113541201375e+00, 1.055589443795e+00, 2.899825137061e-02, 6.075454903880e-03, 2.464843788941e-05, 1.287073409600e+01, 9.038449000000e-01,           10000000
 3.325343732230e+01, 1.065483514821e+00, 1.099529740084e+00, 2.396922844235e-02, 4.236914517015e-02, 6.509158560840e-05, 1.208550993800e+01, 9.021161000000e-01,           10000000
 4.059832979390e+01, 1.053964832597e+00, 1.126359623364e+00, 2.102881224791e-02, 5.533526703239e-02, 7.438767843695e-05, 1.218740330600e+01, 9.012322000000e-01,           10000000
 4.290532765443e+01, 1.059005138106e+00, 1.048275461622e+00, 1.966106520227e-02, 3.009604646297e-02, 5.485986371015e-05, 1.220156114400e+01, 9.041003000000e-01,           10000000
 5.000000000000e+01, 1.049214963844e+00, 1.018003992165e+00, 1.758350503185e-02, 3.355458201344e-02, 5.792631700137e-05, 1.235769247800e+01, 9.045730000000e-01,           10000000
 4.764308423324e+01, 1.105600762079e+00, 1.079610313468e+00, 1.759805354237e-02, 5.008917097074e-03, 2.238061012813e-05, 1.219618170000e+01, 9.035303000000e-01,           10000000
 5.000000000000e+01, 1.138961191553e+00, 1.092569607162e+00, 1.741403816831e-02, 3.539671773253e-03, 1.881401544927e-05, 1.238042924200e+01, 9.005091000000e-01,           10000000
 5.000000000000e+01, 1.047886123953e+00, 1.102366037998e+00, 1.769017366280e-02, 5.489009908519e-02, 7.408785263806e-05, 1.218714810300e+01, 9.066979000000e-01,           10000000
 5.000000000000e+01, 1.103410020303e+00, 1.015600134853e+00, 1.765834972576e-02, 1.058131425321e-02, 3.252893212697e-05, 1.205155464500e+01, 9.049698000000e-01,           10000000
 5.000000000000e+01, 1.146504659846e+00, 9.817497847884e-01, 1.932943089283e-02, 3.832253805201e-02, 6.190520014668e-05, 1.201289016800e+01, 9.072587000000e-01,           10000000
 5.000000000000e+01, 1.072540757927e+00, 1.072211974696e+00, 1.719919097010e-02, 2.405350246690e-02, 4.904437018344e-05, 1.273325905300e+01, 9.028791000000e-01,           10000000
 5.000000000000e+01, 1.160726349345e+00, 1.102250485643e+00, 1.754880189522e-02, 8.977683031865e-03, 2.996278196674e-05, 1.228595541800e+01, 9.017619000000e-01,           10000000
 5.000000000000e+01, 1.196190949541e+00, 1.068068177077e+00, 1.826559410770e-02, 7.887468475996e-03, 2.808463721681e-05, 1.209509312800e+01, 9.106685000000e-01,           10000000
 5.000000000000e+01, 1.103453305830e+00, 1.071176025291e+00, 1.683337629751e-02, 4.574511817097e-03, 2.138810841822e-05, 1.229679339800e+01, 9.038210000000e-01,           10000000
 5.000000000000e+01, 1.165350544182e+00, 1.161730610544e+00, 1.827231735636e-02, 2.080431112151e-02, 4.561174313870e-05, 1.292628690000e+01, 9.047224000000e-01,           10000000
 5.000000000000e+01, 1.118895151273e+00, 1.052132753776e+00, 1.698326575043e-02, 2.393601415496e-03, 1.547126825925e-05, 1.220517893800e+01, 9.012281000000e-01,           10000000
 5.000000000000e+01, 1.080146749759e+00, 1.041668438510e+00, 1.700927270670e-02, 9.626906967131e-03, 3.102725731858e-05, 1.213510081200e+01, 9.072244000000e-01,           10000000
 5.000000000000e+01, 1.062702279689e+00, 1.017415204556e+00, 1.775839465800e-02, 3.734450795745e-02, 6.111015296778e-05, 1.222227840200e+01, 9.047901000000e-01,           10000000
 5.000000000000e+01, 1.119896463587e+00, 1.073781006511e+00, 1.693993176668e-02, 3.766984846788e-03, 1.940872187133e-05, 1.233926415100e+01, 9.036638000000e-01,           10000000
 5.000000000000e+01, 1.148016530701e+00, 1.089724751875e+00, 1.720257831372e-02, 6.537717206555e-03, 2.556896010117e-05, 1.220445494900e+01, 9.005828000000e-01,           10000000
 5.000000000000e+01, 1.097114194994e+00, 1.053682516851e+00, 1.688873949227e-02, 4.480223575692e-03, 2.116653862986e-05, 1.206188792200e+01, 9.047185000000e-01,           10000000
 5.000000000000e+01, 1.093078637812e+00, 1.044213190768e+00, 1.697136609075e-02, 5.369810456976e-03, 2.317285147964e-05, 1.223383116200e+01, 9.067878000000e-01,           10000000
 5.000000000000e+01, 1.113192007143e+00, 1.066389052575e+00, 1.685336477105e-02, 3.132953359387e-03, 1.770015073209e-05, 1.216348704000e+01, 9.030947000000e-01,           10000000
 5.000000000000e+01, 1.126579447836e+00, 1.072782704244e+00, 1.698731609002e-02, 3.119122342656e-03, 1.766103717978e-05, 1.205969888400e+01, 9.012170000000e-01,           10000000
 5.000000000000e+01, 1.104480508205e+00, 1.058457563699e+00, 1.697986827465e-02, 3.282875266275e-03, 1.811870653848e-05, 1.210222964700e+01, 9.066464000000e-01,           10000000
 5.000000000000e+01, 1.108322656487e+00, 1.068782538933e+00, 1.692515472479e-02, 3.185931137366e-03, 1.784917683639e-05, 1.219988782500e+01, 9.083391000000e-01,           10000000
 5.000000000000e+01, 1.116043579208e+00, 1.059260903176e+00, 1.690627647719e-02, 4.147484563863e-03, 2.036537395646e-05, 1.213836864800e+01, 9.029478000000e-01,           10000000
 5.000000000000e+01, 1.105153101069e+00, 1.060035784713e+00, 1.691982485982e-02, 4.091915181949e-03, 2.022848284462e-05, 1.319147552600e+01, 9.049203000000e-01,           10000000
 5.000000000000e+01, 1.119885727490e+00, 1.069585878409e+00, 1.697981907978e-02, 4.253618495799e-03, 2.062430240226e-05, 1.240347934700e+01, 9.038706000000e-01,           10000000
 5.000000000000e+01, 1.108836257674e+00, 1.062423308137e+00, 1.693742228055e-02, 3.252722821704e-03, 1.803530654495e-05, 1.240261957500e+01, 9.070360000000e-01,           10000000
 5.000000000000e+01, 1.104190368328e+00, 1.072469029921e+00, 1.683837340294e-02, 4.491716592693e-03, 2.119367026424e-05, 1.236757600700e+01, 9.067588000000e-01,           10000000
 5.000000000000e+01, 1.104190368328e+00, 1.072469029921e+00, 1.688802162196e-02, 4.969135338024e-03, 2.034931476738e-05, 1.471979599800e+01, 9.079566666667e-01,           12000000
 5.000000000000e+01, 1.104190368328e+00, 1.072469029921e+00, 1.693721125936e-02, 3.914151154424e-03, 1.648684482824e-05, 1.734652722800e+01, 9.028215972222e-01,           14400000
 5.000000000000e+01, 1.104190368328e+00, 1.072469029921e+00, 1.671345903585e-02, 6.205609158373e-03, 1.895048549164e-05, 2.112610771000e+01, 9.028673611111e-01,           17280000
 5.000000000000e+01, 1.108300430297e+00, 1.076003772816e+00, 1.686483057842e-02, 3.506914911703e-03, 1.424592800760e-05, 2.110735052100e+01, 9.059766782407e-01,           17280000
 5.000000000000e+01, 1.108799214026e+00, 1.074458697942e+00, 1.683996016299e-02, 5.325065210330e-03, 1.755458618049e-05, 2.098556297100e+01, 9.066347222222e-01,           17280000
 5.000000000000e+01, 1.108441795871e+00, 1.070201578685e+00, 1.685995686467e-02, 4.035614414959e-03, 1.528209739747e-05, 2.089655861000e+01, 8.986745949074e-01,           17280000
 5.000000000000e+01, 1.108680074641e+00, 1.073039658190e+00, 1.686910051498e-02, 4.754991594117e-03, 1.658834303538e-05, 2.158548278800e+01, 9.038345486111e-01,           17280000
 5.000000000000e+01, 1.108501365564e+00, 1.070911098561e+00, 1.688195106911e-02, 3.808663435442e-03, 1.484616999853e-05, 2.105878607100e+01, 9.078697916667e-01,           17280000
 5.000000000000e+01, 1.110816901507e+00, 1.068295315630e+00, 1.684794069604e-02, 3.687928488776e-03, 1.460896257593e-05, 2.146470208400e+01, 9.109939236111e-01,           17280000
 5.000000000000e+01, 1.108691187735e+00, 1.069429041248e+00, 1.695794438430e-02, 3.267825810224e-03, 1.375173770632e-05, 2.175406802500e+01, 9.041696759259e-01,           17280000
 5.000000000000e+01, 1.110746218720e+00, 1.071196412695e+00, 1.691582133463e-02, 3.352200782728e-03, 1.392814061001e-05, 2.212423828700e+01, 9.025993634259e-01,           17280000
