#                p[0],                 p[1],                 p[2],               energy,             variance,                error,         elapsed time,        accept. ratio,             MC steps
  3.7127889616392e+00,  1.1225330897730e+00,  1.1222820992879e+00, -3.6903932467595e-03,  3.3483335945427e-02,  3.7439119682214e-05,  3.4751603656000e+01,  9.1157094277799e-01,             23887872
  3.7127889616392e+00,  1.1225330897730e+00,  1.1222820992879e+00, -3.8764256830284e-03,  3.2413959674086e-02,  3.3626890312280e-05,  4.2545056646000e+01,  9.0482240568121e-01,             28665444
  3.7120435001468e+00,  1.1225597939215e+00,  1.1222931878580e+00, -3.6242727621739e-03,  3.3177924367570e-02,  3.4020858600882e-05,  4.6529327263000e+01,  9.0054697914325e-01,             28665444
  3.7136714873143e+00,  1.1224971160098e+00,  1.1222667872264e+00, -3.7375303903526e-03,  3.3241135338843e-02,  3.4053251649058e-05,  4.3841582532000e+01,  8.9572772708492e-01,             28665444
  3.7143316064819e+00,  1.1225022767538e+00,  1.1222602101802e+00, -3.5731096422349e-03,  3.3183111781777e-02,  3.4023518101000e-05,  4.1879955482000e+01,  9.1016238925167e-01,             28665444
  3.7136190124498e+00,  1.1225307099540e+00,  1.1222722663162e+00, -3.6250547303844e-03,  3.3471371399623e-02,  3.4170978635875e-05,  4.3195598686000e+01,  9.0623236116629e-01,             28665444
  3.7132987565681e+00,  1.1225104680840e+00,  1.1222723315115e+00, -3.6992050113078e-03,  3.2635803988791e-02,  3.3741766956092e-05,  4.7458874003000e+01,  9.0978088460796e-01,             28665444
  3.7132462817036e+00,  1.1225440620283e+00,  1.1222778106013e+00, -3.7837855812618e-03,  3.2200755590954e-02,  3.3516116766590e-05,  4.4006746971000e+01,  9.0221061986690e-01,             28665444
  3.7137103885715e+00,  1.1225245302109e+00,  1.1222694506553e+00, -3.7937958524116e-03,  3.3077208085302e-02,  3.3969181788824e-05,  4.5482163010000e+01,  9.0883744902050e-01,             28665444
  3.7143050657889e+00,  1.1225541468321e+00,  1.1222674648893e+00, -3.6586253755447e-03,  3.2757739023914e-02,  3.3804741775120e-05,  4.4721875902000e+01,  9.0382639808405e-01,             28665444
  3.7135503338733e+00,  1.1225213877711e+00,  1.1222711148559e+00, -3.8759840570236e-03,  3.2655781604454e-02,  3.3752092684950e-05,  4.6721788418000e+01,  9.0536246359903e-01,             28665444
  3.7137867306532e+00,  1.1225379897454e+00,  1.1222714552125e+00, -3.7426098225424e-03,  3.3163459979539e-02,  3.4013441853835e-05,  4.8270957149000e+01,  9.0864955728577e-01,             28665444
  3.7137294740920e+00,  1.1225278950945e+00,  1.1222699517946e+00, -3.7510263614525e-03,  3.3198097702593e-02,  3.4031199963359e-05,  4.2639569833000e+01,  8.9724659419195e-01,             28665444
  3.7138476724819e+00,  1.1225361960817e+00,  1.1222701219729e+00, -3.9107084348324e-03,  3.2334421597690e-02,  3.3585607775794e-05,  4.7833793613000e+01,  9.0453100953189e-01,             28665444
  3.7140797259159e+00,  1.1225264301730e+00,  1.1222659419999e+00, -3.4938711805735e-03,  3.3077441546446e-02,  3.3969301666990e-05,  4.4576287421000e+01,  9.0675047628776e-01,             28665444
  3.7139996985668e+00,  1.1225248589531e+00,  1.1222667741002e+00, -3.8338580308914e-03,  3.2463885169196e-02,  3.3652777201840e-05,  4.4815385087000e+01,  9.0782644078354e-01,             28665444
  3.7141178969568e+00,  1.1225331599402e+00,  1.1222669442785e+00, -3.6512778205329e-03,  3.2784873470759e-02,  3.3818739735938e-05,  4.3543251289000e+01,  9.0369526458408e-01,             28665444
  3.7141083541966e+00,  1.1225314774984e+00,  1.1222666937089e+00, -3.9120011235653e-03,  3.3037403023493e-02,  3.3948736405184e-05,  4.3420819680000e+01,  9.0228966975010e-01,             28665444
  3.7142703613924e+00,  1.1225391435237e+00,  1.1222660585840e+00, -3.5793459370841e-03,  3.3499491122989e-02,  3.4185329358588e-05,  4.2616564346000e+01,  9.0469026051018e-01,             28665444
  3.7140673642732e+00,  1.1225284300957e+00,  1.1222665952212e+00, -3.8255150961629e-03,  3.3061836660504e-02,  3.3961287903114e-05,  4.4618283366000e+01,  9.0599817675945e-01,             28665444
  3.7141483678711e+00,  1.1225322631084e+00,  1.1222662776587e+00, -3.8507892021786e-03,  3.2951896726435e-02,  3.3904775452434e-05,  4.1199445274000e+01,  8.9825059050193e-01,             28665444
  3.7142787087284e+00,  1.1225299038167e+00,  1.1222645635267e+00, -3.8769393579650e-03,  3.3352524350602e-02,  3.4110259113793e-05,  4.0931025550000e+01,  9.1093373610400e-01,             28665444
  3.7142787087284e+00,  1.1225299038167e+00,  1.1222645635267e+00, -3.8225044600136e-03,  3.2291347693655e-02,  3.0638897305697e-05,  5.5838013550000e+01,  9.0863804885627e-01,             34398532
  3.7142787087284e+00,  1.1225299038167e+00,  1.1222645635267e+00, -3.9574895499670e-03,  3.2947301559019e-02,  2.8252009236372e-05,  6.0439854818000e+01,  9.0718681319746e-01,             41278240
  3.7142787087284e+00,  1.1225299038167e+00,  1.1222645635267e+00, -3.7861358403253e-03,  3.3128385499233e-02,  2.5861215108872e-05,  7.8731432146000e+01,  9.0083633249221e-01,             49533888
  3.7142787087284e+00,  1.1225299038167e+00,  1.1222645635267e+00, -3.8111066241505e-03,  3.2944540887787e-02,  2.3542354180083e-05,  9.0184650654000e+01,  9.0300420244268e-01,             59440668
  3.7142787087284e+00,  1.1225299038167e+00,  1.1222645635267e+00, -3.7878561698178e-03,  3.2861741591850e-02,  2.1464107227633e-05,  1.0068341689400e+02,  9.0570367088750e-01,             71328800
  3.7142243809136e+00,  1.1225265945441e+00,  1.1222646037224e+00, -3.5051007920051e-03,  3.3028321156115e-02,  2.1518440348505e-05,  1.0678923992300e+02,  9.0504954520474e-01,             71328800
  3.7143597123264e+00,  1.1225337368294e+00,  1.1222642459643e+00, -3.8517525119491e-03,  3.2930268137261e-02,  2.1486475109701e-05,  1.0744454503200e+02,  9.0456682293828e-01,             71328800
  3.7143593869101e+00,  1.1225329828985e+00,  1.1222640744517e+00, -3.7896255936298e-03,  3.2788749545628e-02,  2.1440256086661e-05,  1.1173214327900e+02,  9.0368803344512e-01,             71328800
  3.7143392173647e+00,  1.1225322131280e+00,  1.1222641967204e+00, -3.7574805674032e-03,  3.3013806978794e-02,  2.1513711728222e-05,  1.0902124354200e+02,  9.0462239656352e-01,             71328800
  3.7142987155657e+00,  1.1225302966217e+00,  1.1222643555016e+00, -3.7201158729948e-03,  3.2806632513337e-02,  2.1446102042183e-05,  1.0711832224500e+02,  9.0830643442761e-01,             71328800
  3.7143638859944e+00,  1.1225291169759e+00,  1.1222634984356e+00, -3.7628194731382e-03,  3.3011975827707e-02,  2.1513115077812e-05,  1.0784378678300e+02,  9.0187224515203e-01,             71328800
  3.7144043877933e+00,  1.1225310334822e+00,  1.1222633396544e+00, -3.7197371284090e-03,  3.2886686933685e-02,  2.1472252382051e-05,  1.0767690872100e+02,  9.1177957571135e-01,             71328800
  3.7143367220869e+00,  1.1225274623396e+00,  1.1222635185335e+00, -3.8044320842700e-03,  3.3209996042912e-02,  2.1577541127418e-05,  1.0489328916500e+02,  9.0613468893350e-01,             71328800
  3.7144677319954e+00,  1.1225263096786e+00,  1.1222619447075e+00, -3.7411607378787e-03,  3.3086878830589e-02,  2.1537507497006e-05,  1.0016994638000e+02,  9.0340670248203e-01,             71328800
  3.7144254778880e+00,  1.1225273064144e+00,  1.1222625474060e+00, -3.7043744355169e-03,  3.2795896927102e-02,  2.1442592762216e-05,  1.0879191780600e+02,  9.0377858592883e-01,             71328800
  3.7144254778880e+00,  1.1225273064144e+00,  1.1222625474060e+00, -3.7071774560189e-03,  3.2934345490020e-02,  1.9615592764928e-05,  1.3360157450600e+02,  9.0899221866436e-01,             85594560
  3.7144254778880e+00,  1.1225273064144e+00,  1.1222625474060e+00, -3.7749813450016e-03,  3.3220003831858e-02,  1.7983993387036e-05,  1.5621046359900e+02,  8.9401536343743e-01,            102713472
  3.7144254778880e+00,  1.1225273064144e+00,  1.1222625474060e+00, -3.6877217483751e-03,  3.2790912782265e-02,  1.6310693593887e-05,  1.8869847535400e+02,  8.9795102661154e-01,            123256164
  3.7144254778880e+00,  1.1225273064144e+00,  1.1222625474060e+00, -3.7202329908118e-03,  3.2988937816299e-02,  1.4934449363831e-05,  2.1478377137500e+02,  9.0028955954874e-01,            147907400
  3.7144254778880e+00,  1.1225273064144e+00,  1.1222625474060e+00, -3.7471164315011e-03,  3.3167691375855e-02,  1.3670111200560e-05,  2.6123661671000e+02,  9.0549258071830e-01,            177488880
  3.7143409696731e+00,  1.1225292998860e+00,  1.1222637528031e+00, -3.7494887522775e-03,  3.3073239275055e-02,  1.3650633039737e-05,  2.6301996908600e+02,  8.9596327950236e-01,            177488880
  3.7143620967268e+00,  1.1225288015181e+00,  1.1222634514538e+00, -3.7731639307705e-03,  3.3038897645219e-02,  1.3643544125085e-05,  2.7091567638700e+02,  9.0339945803929e-01,            177488880
  3.7144013687217e+00,  1.1225272790192e+00,  1.1222627704523e+00, -3.7738716335442e-03,  3.3195288163512e-02,  1.3675797045748e-05,  2.6422962391900e+02,  9.0047387194060e-01,            177488880
  3.7143919980399e+00,  1.1225277385084e+00,  1.1222629524481e+00, -3.7191403579449e-03,  3.3090408954695e-02,  1.3654175882689e-05,  2.6070615419100e+02,  9.1200546761014e-01,            177488880
  3.7144055799936e+00,  1.1225285658266e+00,  1.1222629423992e+00, -3.7689262213275e-03,  3.2886445860913e-02,  1.3612029943792e-05,  2.6883032543600e+02,  9.0931942327880e-01,            177488880
  3.7144064746273e+00,  1.1225287235555e+00,  1.1222629658901e+00, -3.8004188631626e-03,  3.3005152275966e-02,  1.3636574702826e-05,  2.7099316639800e+02,  9.0454345646893e-01,            177488880
  3.7143928926736e+00,  1.1225278962373e+00,  1.1222629759390e+00, -3.8108337579407e-03,  3.2787532530448e-02,  1.3591543918100e-05,  2.4828419707900e+02,  9.0457244983460e-01,            177488880
