#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,             gradE[0],          gradVarE[0],             gradE[1],          gradVarE[1],             gradE[2],          gradVarE[2],         elapsed time,        accept. ratio,             MC steps
  2.7141116742786e+00,  1.2020165756477e+00,  1.1997952563493e+00,  2.1545629071981e-01,  2.1893055934625e-01,  1.3507114154716e-04,  4.2817066750738e-01,  1.6157356721335e-01,  4.2728416595616e-01,  1.7421563126529e+00, -3.7646542386131e-03, -1.1781015769657e-01,  1.7727210764987e-01, -1.6468042048626e+00,  3.4637060649887e-01, -2.5603064855682e+00,  1.1423435593000e+01,  9.0677100000000e-01,             12000000
  2.7168433364085e+00,  1.2008709996670e+00,  1.1983435730824e+00,  2.1399238150884e-01,  2.2722053737234e-01,  1.3760466845652e-04,  4.2739614174771e-01,  1.6297396231741e-01,  4.2859315681669e-01,  1.8316367369188e+00, -3.5719243997346e-03, -1.2076707233169e-01,  1.8160358534530e-01, -1.6988303590129e+00,  3.4912771526145e-01, -2.7850390290596e+00,  9.4109717830000e+00,  8.9994250000000e-01,             12000000
  2.7194949553530e+00,  1.1996838402766e+00,  1.1968437303285e+00,  2.1410186460427e-01,  2.1491198364464e-01,  1.3382575226909e-04,  4.2695432209697e-01,  1.6125215994538e-01,  4.2589370158293e-01,  1.7797807103791e+00, -2.9642638655958e-03, -1.1656905811994e-01,  1.7619906124357e-01, -1.5665046713721e+00,  3.3789813804677e-01, -2.7432637830916e+00,  8.6367830460000e+00,  9.0330741666667e-01,             12000000
  2.7220608913050e+00,  1.1984556407274e+00,  1.1953062629724e+00,  2.1282202059416e-01,  2.0654775309657e-01,  1.3119570403808e-04,  4.2637050101068e-01,  1.6219414607057e-01,  4.2656527570585e-01,  1.7728736399222e+00, -2.5620769194481e-03, -1.1245889274056e-01,  1.7227871093150e-01, -1.2508566237157e+00,  3.4221019595110e-01, -2.6994000004900e+00,  8.4537169150000e+00,  9.0741550000000e-01,             12000000
  2.7245394308116e+00,  1.1971705876206e+00,  1.1937273181625e+00,  2.1211756233201e-01,  1.9848452396019e-01,  1.2860939699992e-04,  4.2577363854731e-01,  1.6262511739287e-01,  4.2627821673730e-01,  1.7606887589712e+00, -2.6622913630753e-03, -9.5650249113052e-02,  1.7348929781603e-01, -1.3916251845833e+00,  3.3422974844750e-01, -2.3548706644679e+00,  9.5088943390000e+00,  9.0588933333333e-01,             12000000
  2.7269264426729e+00,  1.1958412814498e+00,  1.1921008881632e+00,  2.1198812698259e-01,  1.8174095807936e-01,  1.2306534784393e-04,  4.2495840863084e-01,  1.6056968883196e-01,  4.2365944711219e-01,  1.6785359584418e+00, -2.0262403028269e-03, -1.0030227668142e-01,  1.6506451340676e-01, -1.1588405308920e+00,  3.2489957782699e-01, -2.1856818545857e+00,  8.8566509700000e+00,  9.0516708333333e-01,             12000000
  2.7292239892835e+00,  1.1944652695421e+00,  1.1904303504801e+00,  2.1069793494058e-01,  1.9466010097303e-01,  1.2736433991147e-04,  4.2462061685412e-01,  1.6263145196196e-01,  4.2477047289247e-01,  1.8172270150271e+00, -1.6361069857953e-03, -1.0637106159225e-01,  1.7001272918367e-01, -1.5577058190096e+00,  3.2737502337277e-01, -2.4408693015554e+00,  8.3295607440000e+00,  8.9650408333333e-01,             12000000
  2.7314395894080e+00,  1.1930689423197e+00,  1.1887272498559e+00,  2.1029623440805e-01,  1.8791477361300e-01,  1.2513818149450e-04,  4.2360384178603e-01,  1.6150862631215e-01,  4.2299928210040e-01,  1.8010115746005e+00, -1.3506418823044e-03, -1.1026199553875e-01,  1.6772881112042e-01, -1.9643226558417e+00,  3.1849742125411e-01, -2.1552020505416e+00,  9.3343077720000e+00,  9.0948975000000e-01,             12000000
  2.7335799881113e+00,  1.1916889089262e+00,  1.1869880706246e+00,  2.0895283016176e-01,  1.8263181913974e-01,  1.2336660107843e-04,  4.2407871852251e-01,  1.6306296707783e-01,  4.2402678363424e-01,  1.8316493861484e+00, -1.2519655990177e-03, -9.7823074285170e-02,  1.6481856072219e-01, -1.2531919433058e+00,  3.2129484616528e-01, -2.4729042363738e+00,  8.4920642940000e+00,  9.0199625000000e-01,             12000000
  2.7356395967667e+00,  1.1902702927709e+00,  1.1852264458854e+00,  2.0822454667248e-01,  1.6603672399512e-01,  1.1762820098199e-04,  4.2321802007067e-01,  1.6258377652756e-01,  4.2335748609335e-01,  1.7529837552393e+00, -8.1577568584000e-04, -8.3633689169138e-02,  1.6597621608648e-01, -1.1730196488524e+00,  3.0921755195103e-01, -1.9580382979574e+00,  8.3078052030000e+00,  9.1028200000000e-01,             12000000
  2.7376051113823e+00,  1.1888068440794e+00,  1.1834303136966e+00,  2.0758554062353e-01,  1.6513713479782e-01,  1.1730911260349e-04,  4.2265543029743e-01,  1.6247592556501e-01,  4.2230486892921e-01,  1.7975126353103e+00, -7.5035626000410e-04, -9.0131209643770e-02,  1.5971511990717e-01, -1.1991382482671e+00,  3.0917611161348e-01, -2.1335723420500e+00,  8.6077393510000e+00,  9.0307341666667e-01,             12000000
  2.7394906857288e+00,  1.1873135982999e+00,  1.1816094389758e+00,  2.0660254705144e-01,  1.6137221792236e-01,  1.1596415319772e-04,  4.2223353226345e-01,  1.6332617711402e-01,  4.2262912413125e-01,  1.8364799168407e+00, -6.8160163402153e-04, -8.1731758499197e-02,  1.5833948316181e-01, -1.0600905812936e+00,  3.0674275868201e-01, -2.1898600614852e+00,  8.9087553850000e+00,  8.9319850000000e-01,             12000000
  2.7412949755822e+00,  1.1857827324983e+00,  1.1797695002808e+00,  2.0567317296068e-01,  1.5388435310268e-01,  1.1324175948779e-04,  4.2212609756358e-01,  1.6405570460395e-01,  4.2278178867838e-01,  1.8291303001392e+00,  3.2763862071600e-04, -8.2147105706797e-02,  1.6168279535258e-01, -1.1763419201708e+00,  2.9824879318900e-01, -1.8513515179837e+00,  7.8502560900000e+00,  9.0530733333333e-01,             12000000
  2.7430069489898e+00,  1.1842204086565e+00,  1.1779027788420e+00,  2.0544907002417e-01,  1.3454262827890e-01,  1.0588619215889e-04,  4.2103247555158e-01,  1.6177897697914e-01,  4.2011038387899e-01,  1.7096656026289e+00, -1.6709860244582e-04, -6.8220327239395e-02,  1.5086564097697e-01, -9.0552684700312e-01,  2.8723711337461e-01, -1.6072294174979e+00,  7.9832875420000e+00,  8.8876183333333e-01,             12000000
  2.7446315966784e+00,  1.1826235721259e+00,  1.1760090622742e+00,  2.0436704488710e-01,  1.3184325581956e-01,  1.0481859560671e-04,  4.2088638425180e-01,  1.6340261794073e-01,  4.2081905698542e-01,  1.7535923635137e+00,  5.4782602130437e-04, -7.1722399210533e-02,  1.5243519338326e-01, -9.4026374974390e-01,  2.8473166558693e-01, -1.5255797612444e+00,  8.0851050760000e+00,  9.0060850000000e-01,             12000000
  2.7461667464610e+00,  1.1809942904299e+00,  1.1740877814191e+00,  2.0344132709552e-01,  1.2781060981511e-01,  1.0320312084070e-04,  4.2067784374380e-01,  1.6372848750994e-01,  4.2040130709938e-01,  1.7854655905652e+00,  1.1649026568573e-03, -6.8949734846805e-02,  1.5152316457860e-01, -9.2314627897616e-01,  2.7941276275604e-01, -1.5288924184543e+00,  8.7524782130000e+00,  9.1438516666667e-01,             12000000
