#              p[0],               p[1],               p[2],             energy,           variance,              error,           gradE[0],        gradVarE[0],           gradE[1],        gradVarE[1],           gradE[2],        gradVarE[2],       elapsed time,      accept. ratio,           MC steps
 5.654769072458e+00, 1.150014540548e+00, 2.126009037191e+00, 4.120846312816e-01, 8.948873545976e-02, 7.883207163356e-05, 7.888895900982e-03,-2.352066137732e-02, 5.201646045115e-02,-8.475875352058e-02, 5.210796887450e-02,-9.615583852487e-01, 9.812221213000e+00, 8.970738194444e-01,           14400000
 5.651027630717e+00, 1.132713857465e+00, 2.129281582400e+00, 4.115219449264e-01, 8.503942153587e-02, 7.684735118685e-05, 7.883962698548e-03,-2.045245391149e-02, 3.659265184069e-02,-1.058310687442e-02, 5.075116024062e-02,-9.863947250995e-01, 9.855288210000e+00, 8.975820138889e-01,           14400000
 5.627672773804e+00, 1.072385880252e+00, 2.151741973297e+00, 4.124847252442e-01, 1.462607280624e-01, 1.007819180425e-04, 7.318404105477e-03,-3.614679200583e-02,-5.564082600752e-02,-1.230677518729e+00, 5.328810126902e-02,-9.615389922350e-01, 1.043797293000e+01, 9.044356250000e-01,           14400000
 5.648034744754e+00, 1.124982927798e+00, 2.132159844035e+00, 4.116322224445e-01, 7.999879201405e-02, 7.453503651064e-05, 7.812162112086e-03,-1.857785601995e-02, 2.832136826497e-02,-6.550103381304e-03, 4.743244341779e-02,-8.744819885274e-01, 9.641461024000e+00, 8.990865972222e-01,           14400000
 5.630226866996e+00, 1.096276072796e+00, 2.130000155099e+00, 4.104931905790e-01, 1.080204949600e-01, 8.661075719051e-05, 7.618600528842e-03,-2.863111913779e-02,-1.153022102460e-02,-3.354242599607e-01, 5.421547677281e-02,-1.126054205016e+00, 1.050562474300e+01, 9.182852777778e-01,           14400000
 5.642911004692e+00, 1.116723298827e+00, 2.131538451364e+00, 4.110135426336e-01, 8.502470646044e-02, 7.684070213238e-05, 7.848553258491e-03,-2.144640909843e-02, 1.823649820075e-02,-3.750382532393e-02, 5.092651025807e-02,-9.232870028675e-01, 1.131212707200e+01, 9.019835416667e-01,           14400000
 5.628100211149e+00, 1.101336492695e+00, 2.124178504691e+00, 4.103037927137e-01, 9.706662770600e-02, 8.210199775364e-05, 7.663834525844e-03,-2.571471056325e-02,-6.392096454686e-03,-2.826481061826e-01, 5.163599397817e-02,-9.429626510085e-01, 1.009046244800e+01, 9.046320833333e-01,           14400000
 5.628676512885e+00, 1.106449042016e+00, 2.122360923796e+00, 4.103825906371e-01, 8.780654156779e-02, 7.808762064350e-05, 7.670330001212e-03,-2.187201231460e-02, 6.740400645331e-03,-1.275757911141e-01, 4.915500202888e-02,-9.005313252622e-01, 1.204914914000e+01, 9.068327777778e-01,           14400000
 5.622416701500e+00, 1.106485828837e+00, 2.115850854573e+00, 4.101037361990e-01, 8.415764164364e-02, 7.644789512928e-05, 7.548985316165e-03,-2.144978741365e-02, 5.313730275137e-03,-1.317111664062e-01, 4.678048126621e-02,-8.106919166221e-01, 1.172801088900e+01, 9.076379861111e-01,           14400000
 5.621790720361e+00, 1.106489507519e+00, 2.115199847651e+00, 4.101327997302e-01, 9.139579888343e-02, 7.966762503060e-05, 7.517591406220e-03,-2.358937181820e-02, 1.691925144155e-03,-1.626882942433e-01, 4.977521440200e-02,-9.387550491659e-01, 1.103826738400e+01, 9.067170833333e-01,           14400000
