#                p[0],                 p[1],                 p[2],               energy,             variance,                error,      -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,  Var -(ℏ/4)⟨∇ᵢ²ln(ψ)⟩,    (ℏ/2)⟨|∇ᵢln(ψ)|²⟩, Var (ℏ/2)⟨|∇ᵢln(ψ)|²⟩,         elapsed time,        accept. ratio,    Monte Carlo steps 
 1.44765625000000e+01, 0.00000000000000e+00, 1.14023437500000e+00, 3.40147917071514e-02, 1.28615344989186e-02, 3.05020852767421e-05, 2.43225150695543e-02, 2.68945927806526e-03, 2.42953214653970e-02, 2.79073194085929e-02, 5.55333306900000e+00, 9.02440248842593e-01,             13824000
 1.44902343750000e+01, 0.00000000000000e+00, 1.14072265625000e+00, 3.40704631728719e-02, 1.35316930157977e-02, 3.12866602276906e-05, 2.43167381653230e-02, 2.73557938374916e-03, 2.43439519033271e-02, 2.92541465677898e-02, 5.68490028500000e+00, 8.95110821759259e-01,             13824000
 1.45039062500000e+01, 0.00000000000000e+00, 1.14121093750000e+00, 3.41590787649518e-02, 1.90919799643264e-02, 3.71628166256149e-05, 2.42860639305964e-02, 2.83846817917127e-03, 2.43930079045087e-02, 3.83487016347771e-02, 5.73471203900000e+00, 9.08143952546296e-01,             13824000
 1.45195312500000e+01, 0.00000000000000e+00, 1.14355468750000e+00, 3.41679434584915e-02, 1.31618912317955e-02, 3.08561890136836e-05, 2.42636271737136e-02, 2.78877288028090e-03, 2.43581419122454e-02, 3.02127228866713e-02, 5.61662780100000e+00, 9.06463614004630e-01,             13824000
 1.45234375000000e+01, 0.00000000000000e+00, 1.14726562500000e+00, 3.40889232781088e-02, 1.15579556978818e-02, 2.89150301954008e-05, 2.42437887497778e-02, 2.65709828010002e-03, 2.42161598868434e-02, 2.80275185370518e-02, 5.74837874200000e+00, 9.04080873842593e-01,             13824000
 1.45117187500000e+01, 0.00000000000000e+00, 1.14863281250000e+00, 3.40992427848430e-02, 1.03922867620998e-02, 2.74181847483976e-05, 2.42771514279988e-02, 2.65922155082782e-03, 2.42586647415211e-02, 2.65655147639282e-02, 6.76892975300000e+00, 8.99625940393519e-01,             13824000
 1.44960937500000e+01, 0.00000000000000e+00, 1.14628906250000e+00, 3.40890634954519e-02, 1.28234160874473e-02, 3.04568514129814e-05, 2.43357358398413e-02, 2.76297327893411e-03, 2.43426966687351e-02, 3.03092360295228e-02, 5.67742390700000e+00, 9.07724826388889e-01,             13824000
 1.45166015625000e+01, 0.00000000000000e+00, 1.14702148437500e+00, 3.40397463391826e-02, 1.19277298351382e-02, 2.93739285599739e-05, 2.42746769773205e-02, 2.65026232662784e-03, 2.42212415902747e-02, 2.84600884263343e-02, 5.95632619900000e+00, 8.96198712384259e-01,             13824000
 1.45029296875000e+01, 0.00000000000000e+00, 1.14653320312500e+00, 3.41363379690006e-02, 1.33370171087392e-02, 3.10607895850762e-05, 2.43112852820010e-02, 2.76447907462319e-03, 2.43561923925069e-02, 3.12576088544926e-02, 6.40494495600000e+00, 9.05619068287037e-01,             13824000
 1.45131835937500e+01, 0.00000000000000e+00, 1.14689941406250e+00, 3.40611590575789e-02, 9.32485713485182e-03, 2.59719304260548e-05, 2.42598699147212e-02, 2.60842962864923e-03, 2.42100473780055e-02, 2.39652249752315e-02, 5.71725525200000e+00, 9.07176215277778e-01,             13824000
 1.45092773437500e+01, 0.00000000000000e+00, 1.14318847656250e+00, 3.41063343208119e-02, 1.50628222435431e-02, 3.30092998649034e-05, 2.42624337821007e-02, 2.71217100028758e-03, 2.42919693813221e-02, 3.23483810365171e-02, 5.82839523700000e+00, 9.02151331018519e-01,             13824000
 1.45111083984375e+01, 0.00000000000000e+00, 1.14727172851562e+00, 3.40700375847536e-02, 1.01401410734150e-02, 2.70835217320036e-05, 2.43050887788002e-02, 2.66999692379558e-03, 2.42839112246980e-02, 2.56385882103972e-02, 6.05587851600000e+00, 9.04474320023148e-01,             13824000
 1.45098876953125e+01, 0.00000000000000e+00, 1.14454956054687e+00, 3.40933870666486e-02, 1.33541793163092e-02, 3.10807678280949e-05, 2.42530487352978e-02, 2.68596948692567e-03, 2.42473324624329e-02, 3.01364383644366e-02, 5.76814687200000e+00, 9.05117693865741e-01,             13824000
 1.45108032226562e+01, 0.00000000000000e+00, 1.14659118652344e+00, 3.41295750536857e-02, 1.34951074122426e-02, 3.12443367695333e-05, 2.42731579779483e-02, 2.72844794727629e-03, 2.43071903066934e-02, 3.14473896932927e-02, 6.58797437500000e+00, 9.03681061921296e-01,             13824000
 1.45108032226562e+01, 0.00000000000000e+00, 1.14659118652344e+00, 3.40962490329534e-02, 1.23974749053844e-02, 2.73375212321204e-05, 2.42528960672134e-02, 2.67020981641426e-03, 2.42382939534059e-02, 2.93421961345468e-02, 6.88895972900000e+00, 9.07128665123457e-01,             16588800
 1.45108032226562e+01, 0.00000000000000e+00, 1.14659118652344e+00, 3.40726352441747e-02, 1.12389323570228e-02, 2.37609839013917e-05, 2.42865232259582e-02, 2.67598207240703e-03, 2.42645087478538e-02, 2.73521664585554e-02, 8.48870792300000e+00, 9.08812220695087e-01,             19906560
 1.45104980468750e+01, 0.00000000000000e+00, 1.14591064453125e+00, 3.40954731780946e-02, 1.17257080335357e-02, 2.42700923841753e-05, 2.42855519785079e-02, 2.68296790821839e-03, 2.42899117522160e-02, 2.79178505112962e-02, 8.56656886700000e+00, 9.10106969762732e-01,             19906560
 1.45121459960938e+01, 0.00000000000000e+00, 1.14708557128906e+00, 3.40942756006547e-02, 1.25231888089879e-02, 2.50818378325328e-05, 2.42680384926916e-02, 2.67481728465146e-03, 2.42558394356572e-02, 2.96645535218737e-02, 8.40802478300000e+00, 9.10646490403164e-01,             19906560
 1.45115356445312e+01, 0.00000000000000e+00, 1.14572448730469e+00, 3.40538422444817e-02, 1.11764993878052e-02, 2.36948951190299e-05, 2.42703373323898e-02, 2.64260337542403e-03, 2.42285792308165e-02, 2.67697916358095e-02, 8.30564359900000e+00, 9.05700382185571e-01,             19906560
 1.45142211914062e+01, 0.00000000000000e+00, 1.14671325683594e+00, 3.41179088899318e-02, 1.22621049062283e-02, 2.48190072009492e-05, 2.42775513908884e-02, 2.69926992716463e-03, 2.42936382387120e-02, 2.91624276698409e-02, 8.51596438100000e+00, 9.06250653051055e-01,             19906560
 1.45114288330078e+01, 0.00000000000000e+00, 1.14611129760742e+00, 3.40462445578683e-02, 1.19779270582029e-02, 2.45297274850865e-05, 2.42648754526494e-02, 2.64530089111153e-03, 2.42102882289399e-02, 2.82570493477040e-02, 8.97234590400000e+00, 9.05437554253472e-01,             19906560
 1.45132904052734e+01, 0.00000000000000e+00, 1.14651260375977e+00, 3.40620612953878e-02, 1.13806706983613e-02, 2.39103437558317e-05, 2.42695677487990e-02, 2.63402518972007e-03, 2.42313482085939e-02, 2.72686313310976e-02, 8.38585444500000e+00, 8.98013217753344e-01,             19906560
 1.45128250122070e+01, 0.00000000000000e+00, 1.14641227722168e+00, 3.40823301054839e-02, 1.11953825339843e-02, 2.37149034115499e-05, 2.42720200490283e-02, 2.64732931939004e-03, 2.42531495029608e-02, 2.70350479007273e-02, 8.21969764600000e+00, 9.10899874212320e-01,             19906560
 1.45123062133789e+01, 0.00000000000000e+00, 1.14650535583496e+00, 3.40917839134082e-02, 1.40459940050950e-02, 2.65630616818858e-05, 2.42584328300300e-02, 2.67326508153267e-03, 2.42461315191536e-02, 3.18680040104520e-02, 8.53734622000000e+00, 9.02652894322274e-01,             19906560
 1.45123596191406e+01, 0.00000000000000e+00, 1.14631195068359e+00, 3.40908265020406e-02, 1.31477271278440e-02, 2.56996513976185e-05, 2.42599562496202e-02, 2.68428397317633e-03, 2.42441061831191e-02, 3.04426057286227e-02, 8.23215506800000e+00, 9.11741054205247e-01,             19906560
 1.45132369995117e+01, 0.00000000000000e+00, 1.14670600891113e+00, 3.41518442949395e-02, 1.39097825830294e-02, 2.64339498839672e-05, 2.43064748656167e-02, 2.81251999183267e-03, 2.43783863353028e-02, 3.26160481173285e-02, 8.48414272100000e+00, 9.01997331532922e-01,             19906560
 1.45132369995117e+01, 0.00000000000000e+00, 1.14670600891113e+00, 3.40944072930860e-02, 1.17412183323650e-02, 2.21701101239700e-05, 2.42697384794096e-02, 2.69911288243398e-03, 2.42599446731926e-02, 2.84506279708870e-02, 1.04247732270000e+01, 8.97651578173225e-01,             23887872
 1.45132369995117e+01, 0.00000000000000e+00, 1.14670600891113e+00, 3.41132056893274e-02, 1.34631213698072e-02, 2.16717281364780e-05, 2.42716040064625e-02, 2.71444834342658e-03, 2.42854963984840e-02, 3.13117194895625e-02, 1.21681859850000e+01, 9.03423369266494e-01,             28665444
 1.45132369995117e+01, 0.00000000000000e+00, 1.14670600891113e+00, 3.40875157734241e-02, 1.29234710272079e-02, 1.93829391478784e-05, 2.42494959312424e-02, 2.66508862127610e-03, 2.42209998013440e-02, 3.01420578742717e-02, 1.53550422240000e+01, 9.01614086322056e-01,             34398532
 1.45132369995117e+01, 0.00000000000000e+00, 1.14670600891113e+00, 3.41023278961418e-02, 1.25756432983022e-02, 1.74543837172685e-05, 2.42801958468598e-02, 2.71483332913610e-03, 2.42899765366237e-02, 2.98870175759513e-02, 1.80107195440000e+01, 9.08975503800550e-01,             41278240
 1.45132369995117e+01, 0.00000000000000e+00, 1.14670600891113e+00, 3.40900003068401e-02, 1.27410991438612e-02, 1.60380749478656e-05, 2.42726326351989e-02, 2.69743531103641e-03, 2.42627894275635e-02, 3.00348810617774e-02, 1.96482160830000e+01, 8.89546707902275e-01,             49533888
 1.45140609741211e+01, 0.00000000000000e+00, 1.14729347229004e+00, 3.41244917051859e-02, 1.16642895271969e-02, 1.53453902182459e-05, 2.42738624388034e-02, 2.68465931801413e-03, 2.42977313304564e-02, 2.83831664893633e-02, 2.12221923320000e+01, 9.06696239955967e-01,             49533888
 1.45140075683594e+01, 0.00000000000000e+00, 1.14748687744141e+00, 3.40796012843450e-02, 1.30573844995865e-02, 1.62359194322633e-05, 2.42844492189886e-02, 2.69989117488323e-03, 2.42676017996598e-02, 3.07980621053640e-02, 2.13699259160000e+01, 9.05410372793672e-01,             49533888
 1.45134296417236e+01, 0.00000000000000e+00, 1.14690122604370e+00, 3.40995282219090e-02, 1.24084351122780e-02, 1.58273169009873e-05, 2.42756582155861e-02, 2.68810159917125e-03, 2.42757779428061e-02, 2.94535415615048e-02, 2.29535644150000e+01, 9.06113729655140e-01,             49533888
 1.45138149261475e+01, 0.00000000000000e+00, 1.14729166030884e+00, 3.41507958191177e-02, 1.40955703649063e-02, 1.68690302894560e-05, 2.42827177469383e-02, 2.75101303135782e-03, 2.43364151616847e-02, 3.27704820044688e-02, 2.16035741890000e+01, 9.04111282360876e-01,             49533888
 1.45135259628296e+01, 0.00000000000000e+00, 1.14699883460999e+00, 3.41165774125319e-02, 1.30623862634078e-02, 1.62390288014867e-05, 2.42968679475459e-02, 2.73536927569700e-03, 2.43279111672319e-02, 3.08199180474178e-02, 2.01950398520000e+01, 8.95950000936732e-01,             49533888
 1.45133066177368e+01, 0.00000000000000e+00, 1.14690032005310e+00, 3.40841109492335e-02, 1.29464355705477e-02, 1.61667937676652e-05, 2.42691757885075e-02, 2.69239863204531e-03, 2.42517477229579e-02, 3.04520846448508e-02, 2.13088473100000e+01, 8.98933433208393e-01,             49533888
 1.45136222839355e+01, 0.00000000000000e+00, 1.14709644317627e+00, 3.41125910331853e-02, 1.31817308400878e-02, 1.63130441214251e-05, 2.42844930285870e-02, 2.71489557874159e-03, 2.42981576822473e-02, 3.08939306508652e-02, 2.10980725480000e+01, 9.05872157663053e-01,             49533888
 1.45128679275513e+01, 0.00000000000000e+00, 1.14670329093933e+00, 3.40843801906456e-02, 1.19703157601727e-02, 1.55453890113355e-05, 2.42708694550892e-02, 2.68458084635739e-03, 2.42543464835783e-02, 2.87272664192885e-02, 2.10292903580000e+01, 9.03409035850366e-01,             49533888
 1.45127449035645e+01, 0.00000000000000e+00, 1.14670238494873e+00, 3.41326910718057e-02, 1.43869901238839e-02, 1.70425180963040e-05, 2.42798463496261e-02, 2.74844303901315e-03, 2.43172594140552e-02, 3.29823650128815e-02, 2.19169025620000e+01, 9.15850659653448e-01,             49533888
 1.45131661891937e+01, 0.00000000000000e+00, 1.14685083627701e+00, 3.40542946067090e-02, 1.17044039355138e-02, 1.53717545718656e-05, 2.42832890833902e-02, 2.64938247473960e-03, 2.42440269847642e-02, 2.79734395955728e-02, 2.10601884110000e+01, 8.96997142643033e-01,             49533888
 1.45134818553925e+01, 0.00000000000000e+00, 1.14704695940018e+00, 3.41040611275795e-02, 1.22175713243859e-02, 1.57051190414752e-05, 2.42681982138562e-02, 2.68604809333325e-03, 2.42658822377422e-02, 2.92205802829209e-02, 2.18354807810000e+01, 9.00853573214362e-01,             49533888
 1.45130214095116e+01, 0.00000000000000e+00, 1.14678920805454e+00, 3.41231416290175e-02, 1.32939268449120e-02, 1.63823210750709e-05, 2.42803867880609e-02, 2.73110696744023e-03, 2.43104914302276e-02, 3.11559715202853e-02, 2.16541845670000e+01, 9.03313283221378e-01,             49533888
 1.45131748914719e+01, 0.00000000000000e+00, 1.14687512516975e+00, 3.40845854286114e-02, 1.13753129705271e-02, 1.51541111467793e-05, 2.42681579359777e-02, 2.65669276997304e-03, 2.42488112075662e-02, 2.75891943663688e-02, 2.13989083290000e+01, 8.95012985857278e-01,             49533888
 1.45130257606506e+01, 0.00000000000000e+00, 1.14680135250092e+00, 3.41023442542296e-02, 1.35155721067857e-02, 1.65183250517019e-05, 2.42858259458927e-02, 2.72192042102656e-03, 2.42947428326009e-02, 3.13820767554720e-02, 2.09822310710000e+01, 9.04969280828511e-01,             49533888
 1.45133327245712e+01, 0.00000000000000e+00, 1.14697318673134e+00, 3.41016106571147e-02, 1.27163890067477e-02, 1.60225152476788e-05, 2.42769377242665e-02, 2.69698971577265e-03, 2.42808271315778e-02, 3.00415200735540e-02, 2.30707593820000e+01, 9.06742915072606e-01,             49533888
 1.45132559835911e+01, 0.00000000000000e+00, 1.14693022817373e+00, 3.41004791985350e-02, 1.21604228258439e-02, 1.56683451210445e-05, 2.42769778112864e-02, 2.68726876014458e-03, 2.42756602086039e-02, 2.90532353121613e-02, 2.04980806610000e+01, 9.13907161900960e-01,             49533888
