#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error, radial probability A,probability error A, radial probability B,probability error B
 3.107500000000e+00,  4.506295704617e-03,  8.216876524112e-06,  2.254226616026e-03,  5.811599851935e-06,  2.252069088591e-03,  5.808818035840e-06,  5.468436363636e-01,  9.971264498672e-04,  2.735527272727e-01,  7.052436423261e-04,  2.732909090909e-01,  7.049060660708e-04
 3.162500000000e+00,  4.221058496886e-03,  7.814269791469e-06,  2.098746502311e-03,  5.510077517182e-06,  2.122311994575e-03,  5.540925746526e-06,  5.305218181818e-01,  9.821329461773e-04,  2.637800000000e-01,  6.925315877272e-04,  2.667418181818e-01,  6.964087334080e-04
 3.217500000000e+00,  3.887019017848e-03,  7.370521422997e-06,  1.937688546900e-03,  5.203935034648e-06,  1.949330470948e-03,  5.219544635504e-06,  5.056781818182e-01,  9.588612391963e-04,  2.520818181818e-01,  6.770011658132e-04,  2.535963636364e-01,  6.790318825509e-04
 3.272500000000e+00,  3.620579788165e-03,  6.993877448085e-06,  1.807229861014e-03,  4.941236645675e-06,  1.813349927151e-03,  4.949596162342e-06,  4.872563636364e-01,  9.412335848008e-04,  2.432163636364e-01,  6.649899023654e-04,  2.440400000000e-01,  6.661149231995e-04
 3.327500000000e+00,  3.406179135666e-03,  6.671514857255e-06,  1.705722601918e-03,  4.721118674693e-06,  1.700456533748e-03,  4.713825299058e-06,  4.739400000000e-01,  9.282828722480e-04,  2.373363636364e-01,  6.569023223867e-04,  2.366036363636e-01,  6.558875130326e-04
 3.382500000000e+00,  3.143754561204e-03,  6.305150391983e-06,  1.568102544430e-03,  4.453058119798e-06,  1.575652016774e-03,  4.463764649623e-06,  4.520054545455e-01,  9.065473507620e-04,  2.254600000000e-01,  6.402556307658e-04,  2.265454545455e-01,  6.417950034445e-04
 3.437500000000e+00,  2.922841062684e-03,  5.982310961981e-06,  1.469458892195e-03,  4.241750352644e-06,  1.453382170489e-03,  4.218482949080e-06,  4.340200000000e-01,  8.883283586193e-04,  2.182036363636e-01,  6.298681483434e-04,  2.158163636364e-01,  6.264131132326e-04
 3.492500000000e+00,  2.707413094450e-03,  5.666959166294e-06,  1.356310182615e-03,  4.010996951643e-06,  1.351102911834e-03,  4.003289852902e-06,  4.149981818182e-01,  8.686438561115e-04,  2.078981818182e-01,  6.148143575217e-04,  2.071000000000e-01,  6.136329966238e-04
 3.547500000000e+00,  2.506560792853e-03,  5.368167898062e-06,  1.256890366379e-03,  3.801330833167e-06,  1.249670426474e-03,  3.790397139958e-06,  3.964072727273e-01,  8.489643666655e-04,  1.987745454545e-01,  6.011724082681e-04,  1.976327272727e-01,  5.994432678786e-04
 3.602500000000e+00,  2.312816721903e-03,  5.077806243899e-06,  1.160956892329e-03,  3.597605703257e-06,  1.151859829574e-03,  3.583482866497e-06,  3.771963636364e-01,  8.281374102454e-04,  1.893400000000e-01,  5.867320900160e-04,  1.878563636364e-01,  5.844288021593e-04
 3.657500000000e+00,  2.132782123952e-03,  4.802844684461e-06,  1.070993099521e-03,  3.403444185828e-06,  1.061789024431e-03,  3.388788092668e-06,  3.585363636364e-01,  8.073935208563e-04,  1.800418181818e-01,  5.721440031413e-04,  1.784945454545e-01,  5.696802060719e-04
 3.712500000000e+00,  1.977637689105e-03,  4.556345562275e-06,  9.915849402315e-04,  3.226326018449e-06,  9.860527488733e-04,  3.217313367633e-06,  3.425290909091e-01,  7.891642194685e-04,  1.717436363636e-01,  5.588033258892e-04,  1.707854545455e-01,  5.572423245451e-04
 3.767500000000e+00,  1.834634364429e-03,  4.324454856325e-06,  9.186372097178e-04,  3.060050700420e-06,  9.159971547110e-04,  3.055650424255e-06,  3.272454545455e-01,  7.713570739529e-04,  1.638581818182e-01,  5.458241172229e-04,  1.633872727273e-01,  5.450392358308e-04
 3.822500000000e+00,  1.685754119057e-03,  4.085635304381e-06,  8.446643789396e-04,  2.892041846222e-06,  8.410897401176e-04,  2.885915764555e-06,  3.095327272727e-01,  7.501911602115e-04,  1.550945454545e-01,  5.310273840817e-04,  1.544381818182e-01,  5.299025327500e-04
 3.877500000000e+00,  1.570774607381e-03,  3.887901128122e-06,  7.888179511091e-04,  2.755159010342e-06,  7.819566562714e-04,  2.743150380454e-06,  2.967800000000e-01,  7.345747068883e-04,  1.490381818182e-01,  5.205559647115e-04,  1.477418181818e-01,  5.182870706503e-04
 3.932500000000e+00,  1.420132697186e-03,  3.645070358899e-06,  7.082934164287e-04,  2.574234194178e-06,  7.118392807568e-04,  2.580669726030e-06,  2.759836363636e-01,  7.083702631760e-04,  1.376472727273e-01,  5.002676969334e-04,  1.383363636364e-01,  5.015183557528e-04
 3.987500000000e+00,  1.316757218502e-03,  3.461484876194e-06,  6.614269532604e-04,  2.453299265295e-06,  6.553302652419e-04,  2.441966474589e-06,  2.631018181818e-01,  6.916407609075e-04,  1.321600000000e-01,  4.901947664867e-04,  1.309418181818e-01,  4.879303567702e-04
 4.042500000000e+00,  1.210634621391e-03,  3.273911156281e-06,  6.033473810979e-04,  2.311234762864e-06,  6.072872402933e-04,  2.318768666803e-06,  2.486163636364e-01,  6.723315789594e-04,  1.239036363636e-01,  4.746360066861e-04,  1.247127272727e-01,  4.761831719235e-04
 4.097500000000e+00,  1.118538667405e-03,  3.104681127626e-06,  5.613978645801e-04,  2.199514750837e-06,  5.571408028250e-04,  2.191159456792e-06,  2.359963636364e-01,  6.550452637190e-04,  1.184472727273e-01,  4.640675356949e-04,  1.175490909091e-01,  4.623046829037e-04
 4.152500000000e+00,  1.024194164085e-03,  2.931514563414e-06,  5.118621404833e-04,  2.072418267912e-06,  5.123320236016e-04,  2.073369276886e-06,  2.219309090909e-01,  6.352249552731e-04,  1.109145454545e-01,  4.490688253680e-04,  1.110163636364e-01,  4.492748979014e-04
 4.207500000000e+00,  9.393617462865e-04,  2.770785726515e-06,  4.711887621798e-04,  1.962383883807e-06,  4.681729841067e-04,  1.956093820560e-06,  2.089763636364e-01,  6.164065418159e-04,  1.048236363636e-01,  4.365643477794e-04,  1.041527272727e-01,  4.351650204708e-04
 4.262500000000e+00,  8.566352026142e-04,  2.611826218293e-06,  4.266094751884e-04,  1.843153761993e-06,  4.300257274257e-04,  1.850518955379e-06,  1.955872727273e-01,  5.963331477794e-04,  9.740363636364e-02,  4.208295624848e-04,  9.818363636364e-02,  4.225111862180e-04
 4.317500000000e+00,  7.835747129018e-04,  2.466145219926e-06,  3.896994590147e-04,  1.739175232199e-06,  3.938752538870e-04,  1.748468403338e-06,  1.835527272727e-01,  5.776956217637e-04,  9.128727272727e-02,  4.074025767029e-04,  9.226545454546e-02,  4.095795062022e-04
 4.372500000000e+00,  7.160527676675e-04,  2.327842301134e-06,  3.583517935675e-04,  1.646780945475e-06,  3.577009741000e-04,  1.645284867909e-06,  1.720363636364e-01,  5.592793474014e-04,  8.609636363636e-02,  3.956498995011e-04,  8.594000000000e-02,  3.952904570750e-04
 4.427500000000e+00,  6.598528527038e-04,  2.206865728106e-06,  3.289189441717e-04,  1.558105299546e-06,  3.309339085321e-04,  1.562870505646e-06,  1.625472727273e-01,  5.436363636364e-04,  8.102545454545e-02,  3.838215838960e-04,  8.152181818182e-02,  3.849954384188e-04
 4.482500000000e+00,  5.909201385184e-04,  2.062790374375e-06,  2.955140753404e-04,  1.458746363108e-06,  2.954060631780e-04,  1.458479748483e-06,  1.492054545455e-01,  5.208480053030e-04,  7.461636363636e-02,  3.683288146514e-04,  7.458909090909e-02,  3.682614953068e-04
 4.537500000000e+00,  5.398165501190e-04,  1.947679639202e-06,  2.737557249884e-04,  1.386998628589e-06,  2.660608251306e-04,  1.367366366874e-06,  1.396672727273e-01,  5.039250895399e-04,  7.082909090909e-02,  3.588595342042e-04,  6.883818181818e-02,  3.537800596112e-04
 4.592500000000e+00,  4.977888223389e-04,  1.847925817800e-06,  2.489355711515e-04,  1.306788916160e-06,  2.488532511874e-04,  1.306572828698e-06,  1.319345454545e-01,  4.897764711943e-04,  6.597818181818e-02,  3.463528989030e-04,  6.595636363636e-02,  3.462956268234e-04
 4.647500000000e+00,  4.498507008642e-04,  1.735905148490e-06,  2.262114802577e-04,  1.230974655434e-06,  2.236392206065e-04,  1.223955915152e-06,  1.221018181818e-01,  4.711722676316e-04,  6.140000000000e-02,  3.341202831861e-04,  6.070181818182e-02,  3.322152045719e-04
 4.702500000000e+00,  4.113470126672e-04,  1.640539220256e-06,  2.068839277960e-04,  1.163444899769e-06,  2.044630848712e-04,  1.156617870518e-06,  1.143090909091e-01,  4.558889236906e-04,  5.749090909091e-02,  3.233093342603e-04,  5.681818181818e-02,  3.214121732666e-04
 4.757500000000e+00,  3.799396249468e-04,  1.558438981190e-06,  1.911779790579e-04,  1.105481402918e-06,  1.887616458889e-04,  1.098472997344e-06,  1.080654545455e-01,  4.432636288126e-04,  5.437636363636e-02,  3.144298263563e-04,  5.368909090909e-02,  3.124364398172e-04
