#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 2.612500000000e+00, 2.622735625861e-02, 2.357906946028e-05, 1.307640110982e-02, 1.664920577427e-05, 1.315095514880e-02, 1.669660036350e-05, 2.249536363636e+00, 2.022391187605e-03, 1.121570909091e+00, 1.428012547113e-03, 1.127965454545e+00, 1.432077609975e-03
 2.667500000000e+00, 2.468617077663e-02, 2.240414975435e-05, 1.234897181546e-02, 1.584590332898e-05, 1.233719896118e-02, 1.583834820630e-05, 2.207434545455e+00, 2.003376488674e-03, 1.104243636364e+00, 1.416938849238e-03, 1.103190909091e+00, 1.416263271038e-03
 2.722500000000e+00, 2.320237040496e-02, 2.128161722117e-05, 1.159343581447e-02, 1.504334898669e-05, 1.160893459048e-02, 1.505340103807e-05, 2.161189090909e+00, 1.982280179678e-03, 1.079872727273e+00, 1.401215528988e-03, 1.081316363636e+00, 1.402151829178e-03
 2.777500000000e+00, 2.174889995974e-02, 2.019627185415e-05, 1.088474619160e-02, 1.428767995658e-05, 1.086415376814e-02, 1.427415840829e-05, 2.108480000000e+00, 1.957958120083e-03, 1.055238181818e+00, 1.385140742319e-03, 1.053241818182e+00, 1.383829875370e-03
 2.832500000000e+00, 2.050750020944e-02, 1.923062257618e-05, 1.027893353606e-02, 1.361479200744e-05, 1.022856667337e-02, 1.358139474655e-05, 2.067645454545e+00, 1.938905715062e-03, 1.036361818182e+00, 1.372695965928e-03, 1.031283636364e+00, 1.369328724969e-03
 2.887500000000e+00, 1.907306889232e-02, 1.819262861376e-05, 9.546121885133e-03, 1.287059583488e-05, 9.526947007183e-03, 1.285766303546e-05, 1.998423636364e+00, 1.906173528476e-03, 1.000216363636e+00, 1.348545589371e-03, 9.982072727273e-01, 1.347190526262e-03
 2.942500000000e+00, 1.796400847212e-02, 1.732577041616e-05, 9.002457530817e-03, 1.226511064236e-05, 8.961550941302e-03, 1.223721297699e-05, 1.954603636364e+00, 1.885159089676e-03, 9.795272727273e-01, 1.334525637703e-03, 9.750763636364e-01, 1.331490186108e-03
 2.997500000000e+00, 1.666825345889e-02, 1.638300210856e-05, 8.361565615042e-03, 1.160358639958e-05, 8.306687843845e-03, 1.156544598174e-05, 1.882047272727e+00, 1.849838947647e-03, 9.441218181818e-01, 1.310185148735e-03, 9.379254545455e-01, 1.305878634585e-03
 3.052500000000e+00, 1.547552103981e-02, 1.550153895498e-05, 7.738257403123e-03, 1.096159524844e-05, 7.737263636684e-03, 1.096089136805e-05, 1.812083636364e+00, 1.815130166313e-03, 9.061000000000e-01, 1.283532058600e-03, 9.059836363636e-01, 1.283449638750e-03
 3.107500000000e+00, 1.435408995647e-02, 1.466509056062e-05, 7.161942286191e-03, 1.035886864078e-05, 7.192147670281e-03, 1.038068984384e-05, 1.741883636364e+00, 1.779623880775e-03, 8.691090909091e-01, 1.257059404765e-03, 8.727745454545e-01, 1.259707430286e-03
