#                 r,             density,       density error,           density A,     density error A,           density B,     density error B,  radial probability,   probability error,      radial prob. A,      prob. error A,      radial prob. B,      prob. error B
 2.062500000000e+00,  1.364626149133e-02,  2.154337508756e-05,  6.855610831512e-03,  1.526968143170e-05,  6.790650659821e-03,  1.519716549682e-05,  7.295200000000e-01,  1.151694403911e-03,  3.664963636364e-01,  8.163069427571e-04,  3.630236363636e-01,  8.124302894443e-04
 2.117500000000e+00,  1.292463687035e-02,  2.042148272772e-05,  6.468884733443e-03,  1.444750331290e-05,  6.455752136905e-03,  1.443283079725e-05,  7.282818181818e-01,  1.150716629032e-03,  3.645109090909e-01,  8.140928125454e-04,  3.637709090909e-01,  8.132660406611e-04
 2.172500000000e+00,  1.238941796796e-02,  1.948802341648e-05,  6.196456252037e-03,  1.378205676924e-05,  6.192961715928e-03,  1.377816997611e-05,  7.348581818182e-01,  1.155900421803e-03,  3.675327272727e-01,  8.174602879125e-04,  3.673254545455e-01,  8.172297490975e-04
 2.227500000000e+00,  1.177637296479e-02,  1.853065431107e-05,  5.894134881844e-03,  1.310976822495e-05,  5.882238082950e-03,  1.309653107829e-05,  7.343090909091e-01,  1.155468492871e-03,  3.675254545455e-01,  8.174521999319e-04,  3.667836363636e-01,  8.166268051215e-04
 2.282500000000e+00,  1.118593177518e-02,  1.762497515324e-05,  5.592993658166e-03,  1.246277038948e-05,  5.592938117017e-03,  1.246270850864e-05,  7.323600000000e-01,  1.153933982671e-03,  3.661818181818e-01,  8.159565699024e-04,  3.661781818182e-01,  8.159525184695e-04
 2.337500000000e+00,  1.063559212727e-02,  1.678158289528e-05,  5.334438214442e-03,  1.188492458438e-05,  5.301153912823e-03,  1.184778848962e-05,  7.302890909091e-01,  1.152301326523e-03,  3.662872727273e-01,  8.160740527085e-04,  3.640018181818e-01,  8.135241161781e-04
 2.392500000000e+00,  1.004155867314e-02,  1.593135734531e-05,  5.006827110464e-03,  1.124950755131e-05,  5.034731562677e-03,  1.128081232523e-05,  7.223272727273e-01,  1.146002754818e-03,  3.601600000000e-01,  8.092196016140e-04,  3.621672727273e-01,  8.114714723348e-04
 2.447500000000e+00,  9.529550632798e-03,  1.517113580151e-05,  4.767359643890e-03,  1.073052184029e-05,  4.762190988907e-03,  1.072470337785e-05,  7.173745454545e-01,  1.142067141359e-03,  3.588818181818e-01,  8.077823943948e-04,  3.584927272727e-01,  8.073443866639e-04
 2.502500000000e+00,  9.012574672659e-03,  1.442963462863e-05,  4.521904727523e-03,  1.022095792359e-05,  4.490669945135e-03,  1.018559643025e-05,  7.092909090909e-01,  1.135614298391e-03,  3.558745454545e-01,  8.043908428738e-04,  3.534163636364e-01,  8.016078883167e-04
 2.557500000000e+00,  8.509186910811e-03,  1.371935657454e-05,  4.264436726252e-03,  9.712265580389e-06,  4.244750184559e-03,  9.689821572942e-06,  6.994327272727e-01,  1.127694935596e-03,  3.505254545455e-01,  7.983226216665e-04,  3.489072727273e-01,  7.964777834341e-04
 2.612500000000e+00,  7.991294175666e-03,  1.301541328892e-05,  3.996706997401e-03,  9.204507575452e-06,  3.994587178266e-03,  9.202066255732e-06,  6.854181818182e-01,  1.116339946447e-03,  3.428000000000e-01,  7.894762360405e-04,  3.426181818182e-01,  7.892668425573e-04
 2.667500000000e+00,  7.509129054653e-03,  1.235652597804e-05,  3.753568206325e-03,  8.736223946689e-06,  3.755560848328e-03,  8.738542521454e-06,  6.714654545455e-01,  1.104919128711e-03,  3.356436363636e-01,  7.811921383532e-04,  3.358218181818e-01,  7.813994650414e-04
 2.722500000000e+00,  7.083740952025e-03,  1.175898361440e-05,  3.539674490746e-03,  8.312279018239e-06,  3.544066461279e-03,  8.317434289890e-06,  6.598163636364e-01,  1.095292707774e-03,  3.297036363636e-01,  7.742487694693e-04,  3.301127272727e-01,  7.747289582026e-04
 2.777500000000e+00,  6.667762950117e-03,  1.118259601861e-05,  3.344412117837e-03,  7.919767902496e-06,  3.323350832280e-03,  7.894791326306e-06,  6.464163636364e-01,  1.084113683771e-03,  3.242290909091e-01,  7.677938772981e-04,  3.221872727273e-01,  7.653724853444e-04
 2.832500000000e+00,  6.272558879313e-03,  1.063553534941e-05,  3.127921029038e-03,  7.510431198651e-06,  3.144637850274e-03,  7.530473781837e-06,  6.324236363636e-01,  1.072315791651e-03,  3.153690909091e-01,  7.572307093003e-04,  3.170545454545e-01,  7.592514800232e-04
 2.887500000000e+00,  5.893993072438e-03,  1.011323212802e-05,  2.945695073915e-03,  7.149555789178e-06,  2.948297998523e-03,  7.152713897025e-06,  6.175563636364e-01,  1.059636613215e-03,  3.086418181818e-01,  7.491107676097e-04,  3.089145454545e-01,  7.494416654533e-04
 2.942500000000e+00,  5.488250629337e-03,  9.576523916065e-06,  2.752254830926e-03,  6.781648108402e-06,  2.735995798411e-03,  6.761587036249e-06,  5.971581818182e-01,  1.041989514707e-03,  2.994636363636e-01,  7.378884325174e-04,  2.976945454545e-01,  7.357056544008e-04
 2.997500000000e+00,  5.166835553449e-03,  9.121384409975e-06,  2.578723859382e-03,  6.443930660072e-06,  2.588111694067e-03,  6.455649556994e-06,  5.833981818182e-01,  1.029914543514e-03,  2.911690909091e-01,  7.275976546880e-04,  2.922290909091e-01,  7.289208597884e-04
 3.052500000000e+00,  4.820233058064e-03,  8.651396059807e-06,  2.409759394218e-03,  6.117007556401e-06,  2.410473663846e-03,  6.117914051258e-06,  5.644181818182e-01,  1.013022643396e-03,  2.821672727273e-01,  7.162621063261e-04,  2.822509090909e-01,  7.163682510234e-04
 3.107500000000e+00,  4.530388094308e-03,  8.238812534421e-06,  2.257777546596e-03,  5.816175360663e-06,  2.272610547712e-03,  5.835249450652e-06,  5.497672727273e-01,  9.997884073663e-04,  2.739836363636e-01,  7.057988850343e-04,  2.757836363636e-01,  7.081135455479e-04
