#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 1.512500000000e+00, 7.009105826899e-02, 6.657722996265e-05, 3.507961525630e-02, 4.710009942695e-05, 3.501144301270e-02, 4.705431099773e-05, 3.150803473525e-02, 4.463803526446e-05, 4.722844027776e-02, 5.465076112407e-05, 2.015167272727e+00, 1.914142235015e-03, 1.008563636364e+00, 1.354161019272e-03, 1.006603636364e+00, 1.352844569695e-03, 9.058781818182e-01, 1.283374941188e-03, 1.357850909091e+00, 1.571247859095e-03
 1.567500000000e+00, 6.779466622445e-02, 6.318029654104e-05, 3.402816446972e-02, 4.476134812189e-05, 3.376650175472e-02, 4.458891774112e-05, 3.154507715718e-02, 4.309726334143e-05, 4.772247460803e-02, 5.300848282326e-05, 2.093461818182e+00, 1.950972633041e-03, 1.050770909091e+00, 1.382205687292e-03, 1.042690909091e+00, 1.376881132448e-03, 9.740945454545e-01, 1.330819669127e-03, 1.473643636364e+00, 1.636872648105e-03
 1.622500000000e+00, 6.575461655865e-02, 6.011340798940e-05, 3.295012520325e-02, 4.255364437069e-05, 3.280449135540e-02, 4.245950036061e-05, 3.190524356206e-02, 4.187349946170e-05, 4.811159797536e-02, 5.142012358186e-05, 2.175440000000e+00, 1.988805031808e-03, 1.090129090909e+00, 1.407854002573e-03, 1.085310909091e+00, 1.404739321719e-03, 1.055560000000e+00, 1.385351940844e-03, 1.591734545455e+00, 1.701194524420e-03
 1.677500000000e+00, 6.345439320235e-02, 5.711663201588e-05, 3.184179368184e-02, 4.046043101334e-05, 3.161259952051e-02, 4.031455289411e-05, 3.172611695170e-02, 4.038687063402e-05, 4.763824806706e-02, 4.948910886317e-05, 2.244065454545e+00, 2.019930446393e-03, 1.126085454545e+00, 1.430883677723e-03, 1.117980000000e+00, 1.425724696108e-03, 1.121994545455e+00, 1.428282213936e-03, 1.684727272727e+00, 1.750182989252e-03
 1.732500000000e+00, 6.130926872124e-02, 5.436073396000e-05, 3.063342648518e-02, 3.842554469025e-05, 3.067584223606e-02, 3.845213793702e-05, 3.156025884175e-02, 3.900250686760e-05, 4.732672364288e-02, 4.776122571849e-05, 2.312698181818e+00, 2.050586692906e-03, 1.155549090909e+00, 1.449482096167e-03, 1.157149090909e+00, 1.450485242261e-03, 1.190510909091e+00, 1.471246168816e-03, 1.785250909091e+00, 1.801641125142e-03
 1.787500000000e+00, 5.935768312716e-02, 5.184286715212e-05, 2.958567910806e-02, 3.660086191760e-05, 2.977200401911e-02, 3.671593361799e-05, 3.109475240951e-02, 3.752270103265e-05, 4.678661531928e-02, 4.602686081856e-05, 2.383489090909e+00, 2.081734019736e-03, 1.188003636364e+00, 1.469696094970e-03, 1.195485454545e+00, 1.474316762896e-03, 1.248600000000e+00, 1.506712254607e-03, 1.878701818182e+00, 1.848194115239e-03
 1.842500000000e+00, 5.735058037663e-02, 4.943778580271e-05, 2.874098389013e-02, 3.499781398636e-05, 2.860959648650e-02, 3.491772732082e-05, 3.059438583107e-02, 3.610862679439e-05, 4.613351396893e-02, 4.434027383178e-05, 2.446780000000e+00, 2.109192003847e-03, 1.226192727273e+00, 1.493131381464e-03, 1.220587272727e+00, 1.489714599102e-03, 1.305265454545e+00, 1.540522611764e-03, 1.968220000000e+00, 1.891713989530e-03
 1.897500000000e+00, 5.466797357072e-02, 4.686873413161e-05, 2.735249067828e-02, 3.315241539114e-05, 2.731548289244e-02, 3.312998027214e-05, 3.019698705137e-02, 3.483361459205e-05, 4.508400177480e-02, 4.256258191732e-05, 2.473641818182e+00, 2.120738215460e-03, 1.237658181818e+00, 1.500095864705e-03, 1.235983636364e+00, 1.499080710038e-03, 1.366367272727e+00, 1.576167545736e-03, 2.039981818182e+00, 1.925891443265e-03
 1.952500000000e+00, 5.246934691653e-02, 4.462324528286e-05, 2.620465467202e-02, 3.153534182610e-05, 2.626469224451e-02, 3.157144652191e-05, 2.945214844766e-02, 3.343234292336e-05, 4.435364851145e-02, 4.102730572698e-05, 2.513774545455e+00, 2.137872581225e-03, 1.255449090909e+00, 1.510839075065e-03, 1.258325454545e+00, 1.512568829115e-03, 1.411034545455e+00, 1.601723245561e-03, 2.124956363636e+00, 1.965593300964e-03
 2.007500000000e+00, 5.067995297457e-02, 4.265428717834e-05, 2.530420257177e-02, 3.013983807815e-05, 2.537575040280e-02, 3.018241831456e-05, 2.884142251102e-02, 3.217754640932e-05, 4.327240104183e-02, 3.941396110635e-05, 2.566754545455e+00, 2.160283880947e-03, 1.281565454545e+00, 1.526472734203e-03, 1.285189090909e+00, 1.528629267683e-03, 1.460712727273e+00, 1.629675219887e-03, 2.191589090909e+00, 1.996173198402e-03
