##               p[0],,                p[1],,                p[2],,               energy,             variance,                error
  1.8000000000000e+00,  1.1000000000000e+00,  9.5000000000000e-01,  3.1743976383646e+00,  3.4730207108450e+02,  8.4103623191038e-02
  1.8000000000000e+00,  1.1000000000000e+00,  1.0000000000000e+00,  9.8464180043920e-01,  8.5759555275513e+01,  4.2139681142709e-02
  1.8000000000000e+00,  1.1000000000000e+00,  1.0500000000000e+00, -3.4348406607882e-02,  1.7501624024023e+01,  1.7936206957614e-02
  1.8000000000000e+00,  1.1000000000000e+00,  1.1000000000000e+00, -3.8938624905760e-01,  3.1273545621919e+00,  7.8477329592759e-03
  1.8000000000000e+00,  1.1000000000000e+00,  1.1500000000000e+00, -4.4210424937177e-01,  1.7600716410199e+00,  5.3825660711219e-03
  1.8000000000000e+00,  1.1500000000000e+00,  9.5000000000000e-01,  3.0766918446085e+00,  3.8081914468543e+02,  8.7284678236329e-02
  1.8000000000000e+00,  1.1500000000000e+00,  1.0000000000000e+00,  8.8285610218834e-01,  8.3522094462516e+01,  3.8272197308943e-02
  1.8000000000000e+00,  1.1500000000000e+00,  1.0500000000000e+00, -3.4818215946794e-02,  1.8210833680020e+01,  1.7999113399180e-02
  1.8000000000000e+00,  1.1500000000000e+00,  1.1000000000000e+00, -4.4299797706014e-01,  1.9117159846915e+00,  5.3431922188265e-03
  1.8000000000000e+00,  1.1500000000000e+00,  1.1500000000000e+00, -4.9070169370246e-01,  6.6492142680385e-01,  3.4505786745035e-03
  1.9000000000000e+00,  9.5000000000000e-01,  9.5000000000000e-01,  5.8361863297686e+00,  6.8041666437551e+02,  1.1472602272297e-01
  1.9000000000000e+00,  9.5000000000000e-01,  1.0000000000000e+00,  3.5935855627172e+00,  4.3610009098105e+02,  9.0256095921434e-02
  1.9000000000000e+00,  9.5000000000000e-01,  1.0500000000000e+00,  2.7382206439432e+00,  3.1266067898181e+02,  8.3666459921467e-02
  1.9000000000000e+00,  9.5000000000000e-01,  1.1000000000000e+00,  2.3774420876748e+00,  3.2060968634445e+02,  8.3648994457896e-02
  1.9000000000000e+00,  9.5000000000000e-01,  1.1500000000000e+00,  2.3674141552337e+00,  2.9479700123988e+02,  7.9488926327478e-02
  1.9000000000000e+00,  1.0000000000000e+00,  9.5000000000000e-01,  3.7774521400803e+00,  4.1229654523008e+02,  8.7201575127695e-02
  1.9000000000000e+00,  1.0000000000000e+00,  1.0000000000000e+00,  1.8315440464943e+00,  1.4489280073129e+02,  5.1562698442960e-02
  1.9000000000000e+00,  1.0000000000000e+00,  1.0500000000000e+00,  1.0205463439838e+00,  8.7023684570106e+01,  4.1762129568279e-02
  1.9000000000000e+00,  1.0000000000000e+00,  1.1000000000000e+00,  6.5184453592158e-01,  7.0348586424643e+01,  3.6084356014017e-02
  1.9000000000000e+00,  1.0000000000000e+00,  1.1500000000000e+00,  6.7896006278012e-01,  8.6096514327404e+01,  4.2222214152249e-02
  1.9000000000000e+00,  1.0500000000000e+00,  9.5000000000000e-01,  3.1680291956952e+00,  3.6371842441018e+02,  9.0688156924404e-02
  1.9000000000000e+00,  1.0500000000000e+00,  1.0000000000000e+00,  1.0740697937271e+00,  8.2319715689019e+01,  4.1860690861211e-02
  1.9000000000000e+00,  1.0500000000000e+00,  1.0500000000000e+00,  1.9850802047481e-01,  2.7895260824137e+01,  2.3191013893187e-02
  1.9000000000000e+00,  1.0500000000000e+00,  1.1000000000000e+00, -1.2824087331124e-01,  1.4828106154728e+01,  1.6320464291652e-02
  1.9000000000000e+00,  1.0500000000000e+00,  1.1500000000000e+00, -1.5444228677660e-01,  1.3291581358400e+01,  1.5722697875077e-02
  1.9000000000000e+00,  1.1000000000000e+00,  9.5000000000000e-01,  2.9727331889996e+00,  4.5015426462484e+02,  1.0520165200184e-01
  1.9000000000000e+00,  1.1000000000000e+00,  1.0000000000000e+00,  8.4859602906160e-01,  8.4837068453351e+01,  4.3210099612823e-02
  1.9000000000000e+00,  1.1000000000000e+00,  1.0500000000000e+00, -7.6541020631840e-02,  1.8184963184055e+01,  1.8174240511318e-02
  1.9000000000000e+00,  1.1000000000000e+00,  1.1000000000000e+00, -4.2264122867979e-01,  2.8464181748691e+00,  7.2360776800798e-03
  1.9000000000000e+00,  1.1000000000000e+00,  1.1500000000000e+00, -4.6793719374562e-01,  1.6391823079855e+00,  5.2012493385167e-03
  1.9000000000000e+00,  1.1500000000000e+00,  9.5000000000000e-01,  2.7589409568124e+00,  3.0133415715954e+02,  7.4186939915494e-02
  1.9000000000000e+00,  1.1500000000000e+00,  1.0000000000000e+00,  7.1816213741179e-01,  7.1132874537514e+01,  3.8433270252499e-02
