#                p[0],                 p[1],                 p[2],               energy,             variance,                error
  3.7000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.6036132837342e-01,  2.8542248118976e+00,  6.9471126836188e-04
  3.7000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4538063335905e-01,  8.6139604517045e-01,  3.7792932354047e-04
  3.7000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3738957914744e-01,  2.8233092822452e-01,  2.2186878795427e-04
  3.7000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3369332079590e-01,  6.2824211927168e-02,  1.0544874224811e-04
  3.7000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3248971905585e-01,  5.9091165378639e-03,  3.6846895609039e-05
  3.7000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3330283324218e-01,  4.2020055768857e-03,  3.3151142416530e-05
  3.7000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3512305322429e-01,  1.6924994420141e-02,  5.7162957298509e-05
  3.7000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3755400390155e-01,  3.9103299946418e-02,  8.0835658320013e-05
  3.8000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.1758557745333e-01,  1.3208561949617e+01,  1.5129657109018e-03
  3.8000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.8378720495357e-01,  6.4830045387588e+00,  1.0355700471559e-03
  3.8000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5897254106779e-01,  2.2145060284227e+00,  6.3018406578190e-04
  3.8000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4467647406491e-01,  7.3091241506358e-01,  3.5326834670481e-04
  3.8000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3751175222703e-01,  2.6061210797002e-01,  2.1323961041160e-04
  3.8000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3374335775523e-01,  6.4493790846002e-02,  1.0644127879263e-04
  3.8000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3291224859323e-01,  6.5558222014707e-03,  3.8455267098373e-05
  3.8000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3357872569926e-01,  4.0655061192127e-03,  3.2491074569873e-05
  3.8000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3533663234999e-01,  1.5543955409611e-02,  5.3666570819409e-05
  3.8000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3760334391700e-01,  3.1483672958426e-02,  7.4663855625043e-05
  3.9000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.1699677007972e-01,  1.3554765840998e+01,  1.5282346510072e-03
  3.9000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.8197716701287e-01,  6.5619166844604e+00,  1.1113268588578e-03
  3.9000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5781040174600e-01,  2.1935793721560e+00,  6.1453231275504e-04
  3.9000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4454951697863e-01,  8.0014513840547e-01,  3.7134755893395e-04
  3.9000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3705414739530e-01,  2.0913790546616e-01,  1.8952601391255e-04
  3.9000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3415769963555e-01,  5.5343706082904e-02,  9.9130202880764e-05
  3.9000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3322205013867e-01,  5.7305115861369e-03,  3.7018117520068e-05
  3.9000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3394194512445e-01,  3.8352433615150e-03,  3.2295750409375e-05
  3.9000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3569241109461e-01,  1.6939056295075e-02,  5.5907054837795e-05
  3.9000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3806837966619e-01,  3.2415438384550e-02,  7.5069453546258e-05
  4.0000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.1978947055229e-01,  1.5476140931094e+01,  1.6069432303377e-03
  4.0000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.7974974401224e-01,  5.4349127564047e+00,  9.6858551161389e-04
  4.0000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5774632551432e-01,  2.2706675683772e+00,  6.0576224383082e-04
  4.0000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4390814535514e-01,  6.3774889055359e-01,  3.2525111480224e-04
  4.0000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3795826454625e-01,  2.5141548123933e-01,  2.0685459700135e-04
  4.0000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3455159072676e-01,  5.3323450438127e-02,  9.6901101069566e-05
  4.0000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3370962037305e-01,  5.6453343234651e-03,  3.7434807688397e-05
  4.0000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3441582585049e-01,  3.9040051041994e-03,  3.3192240058164e-05
  4.0000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3600766288649e-01,  1.9364328397385e-02,  5.8998015708176e-05
  4.0000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3832441388643e-01,  2.9406919038264e-02,  7.2012200295785e-05
  4.1000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.1438234937648e-01,  1.3628060358206e+01,  1.5188588304612e-03
  4.1000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.7799400029782e-01,  4.9443761585542e+00,  9.0476485632528e-04
  4.1000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5687022203857e-01,  1.9557809323918e+00,  5.6943263526465e-04
  4.1000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4442820091064e-01,  6.2286746037843e-01,  3.3437437384047e-04
  4.1000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3798598215394e-01,  2.1257575530707e-01,  1.8808973795829e-04
  4.1000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3491070939802e-01,  5.0297536504972e-02,  9.4363218533202e-05
  4.1000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3419973454086e-01,  5.0229754893625e-03,  3.7161448055971e-05
  4.1000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3488913012697e-01,  3.9577585704927e-03,  3.3928125485015e-05
  4.1000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3657528213573e-01,  1.5556876623424e-02,  5.3806157139539e-05
  4.1000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3873775779782e-01,  3.2436971722062e-02,  7.5554132944341e-05
  4.2000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.1461706315981e-01,  1.4987331091212e+01,  1.5808129570298e-03
  4.2000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.7818610143476e-01,  5.8469198057435e+00,  1.0477660977611e-03
  4.2000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5711519622390e-01,  1.9150093293449e+00,  5.7971031334665e-04
  4.2000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4477301342376e-01,  6.9004410094785e-01,  3.4218240771601e-04
  4.2000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3824788929533e-01,  1.9023452593919e-01,  1.8454458089531e-04
  4.2000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3549566086832e-01,  5.5841777729738e-02,  9.9714689316671e-05
  4.2000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3466363487029e-01,  4.9345233124578e-03,  3.7746429166408e-05
  4.2000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3547792408882e-01,  4.1556674335512e-03,  3.5387681379522e-05
  4.2000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3726466675221e-01,  1.3698802842504e-02,  5.2095087381360e-05
  4.2000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3924804612213e-01,  3.0727846715300e-02,  7.4430066905009e-05
  4.3000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.1053492597128e-01,  1.4104920708887e+01,  1.5539724304590e-03
  4.3000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.7487491514577e-01,  4.5520430263511e+00,  8.6843477732613e-04
  4.3000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5622733433719e-01,  1.8570773768976e+00,  5.4733770702321e-04
  4.3000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4525007956884e-01,  6.7254606408229e-01,  3.3851633714085e-04
  4.3000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3891427543000e-01,  1.9976349360495e-01,  1.8348629899721e-04
  4.3000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3591941437282e-01,  4.5673177036998e-02,  8.8889929751472e-05
  4.3000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3539100763592e-01,  5.0533167185494e-03,  3.9385241867266e-05
  4.3000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3613633205967e-01,  3.9480465882301e-03,  3.6504932362183e-05
  4.3000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3776723289761e-01,  1.3732794772014e-02,  5.2760741673491e-05
  4.3000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.3974805878209e-01,  2.6999990528953e-02,  6.9708348047359e-05
  4.4000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.0959759040745e-01,  1.3936671203379e+01,  1.5578730543687e-03
  4.4000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.7634395890820e-01,  5.1348479859648e+00,  9.3023948267141e-04
  4.4000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5619353959306e-01,  2.2048743123920e+00,  6.4153271777586e-04
  4.4000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4546371669676e-01,  6.4159192974008e-01,  3.3007133836744e-04
  4.4000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3956248368413e-01,  1.9966404344399e-01,  1.7872947161820e-04
  4.4000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3673514543239e-01,  4.7353997787429e-02,  9.4517598298856e-05
  4.4000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3617089914964e-01,  5.1571844020840e-03,  3.9781812145335e-05
  4.4000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3685774856618e-01,  3.6912248487747e-03,  3.6269119162715e-05
  4.4000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3835777513239e-01,  1.4632717477842e-02,  5.5568592475967e-05
  4.4000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.4046427531509e-01,  2.3869694496241e-02,  6.6560910092371e-05
  4.5000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.0805329822921e-01,  1.3602152708619e+01,  1.5011121365548e-03
  4.5000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.7592398231511e-01,  5.5828345741786e+00,  9.4932700853120e-04
  4.5000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5547913998845e-01,  1.7213256027975e+00,  5.2683216556729e-04
  4.5000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4580910713029e-01,  6.0230134615300e-01,  3.2025461126437e-04
  4.5000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.3979334953720e-01,  1.6619804079892e-01,  1.6782235638224e-04
  4.5000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3750956355694e-01,  4.4902482189576e-02,  9.1034267757511e-05
  4.5000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3689764831109e-01,  4.6711061864073e-03,  4.0863640809241e-05
  4.5000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3762594957829e-01,  4.0026421130897e-03,  3.8286000829900e-05
  4.5000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3909321753546e-01,  1.4850072572125e-02,  5.4378359861414e-05
  4.5000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.4105698610593e-01,  2.7056021211587e-02,  7.0950327831401e-05
  4.6000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.0154791558901e-01,  1.0458312936099e+01,  1.2981828946798e-03
  4.6000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.7395546679057e-01,  4.2012630168347e+00,  8.5506776045297e-04
  4.6000000000000e+00,  0.0000000000000e+00,  9.7000000000000e-01,  1.5687174020395e-01,  1.7323838957425e+00,  5.4931914312848e-04
  4.6000000000000e+00,  0.0000000000000e+00,  1.0050000000000e+00,  1.4649827569052e-01,  6.5870536337097e-01,  3.3894311066528e-04
  4.6000000000000e+00,  0.0000000000000e+00,  1.0400000000000e+00,  1.4092308672300e-01,  1.9851395190708e-01,  1.7969955783363e-04
  4.6000000000000e+00,  0.0000000000000e+00,  1.0750000000000e+00,  1.3819682352860e-01,  3.9900799239549e-02,  8.7645329570378e-05
  4.6000000000000e+00,  0.0000000000000e+00,  1.1100000000000e+00,  1.3769493154321e-01,  4.8276235028247e-03,  3.8450435464135e-05
  4.6000000000000e+00,  0.0000000000000e+00,  1.1450000000000e+00,  1.3842104802609e-01,  3.9155364305543e-03,  3.8643410954541e-05
  4.6000000000000e+00,  0.0000000000000e+00,  1.1800000000000e+00,  1.3984466476550e-01,  1.4864981320930e-02,  5.6388416699632e-05
  4.6000000000000e+00,  0.0000000000000e+00,  1.2150000000000e+00,  1.4185150550277e-01,  2.8767086168594e-02,  7.0798983058478e-05
  4.7000000000000e+00,  0.0000000000000e+00,  9.0000000000000e-01,  2.0256599355038e-01,  1.0955183351760e+01,  1.3203270583992e-03
  4.7000000000000e+00,  0.0000000000000e+00,  9.3500000000000e-01,  1.7431598781433e-01,  4.7200570238061e+00,  8.6230514148299e-04
