#              p[0],               p[1],               p[2],             energy,               error
 3.360000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.357626367072e-01, 3.447226326052e-04
 3.480000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.370422724123e-01, 2.440922211747e-03
 3.480000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.379108418299e-01, 2.610310110827e-03
 3.480000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.338912415734e-01, 2.391947120769e-03
 3.480000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.319398559837e-01, 3.166016492138e-04
 3.480000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.324226806631e-01, 4.142470017124e-04
 3.480000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.322918058031e-01, 1.205592745446e-04
 3.480000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.331830770893e-01, 1.272753953158e-04
 3.480000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.337461936897e-01, 1.996722290421e-04
 3.480000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.346008220012e-01, 5.155408716817e-04
 3.480000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.341467734398e-01, 1.875203377400e-03
 3.600000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.362558088915e-01, 1.843250047426e-03
 3.600000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.330598757634e-01, 7.339951406318e-04
 3.600000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.327664106280e-01, 4.936360624939e-04
 3.600000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.317328885124e-01, 2.577272351128e-04
 3.600000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.321629915842e-01, 2.542923958118e-04
 3.600000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.325519932895e-01, 1.229463589897e-04
 3.600000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.334299057467e-01, 1.280920386559e-04
 3.600000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.337043628704e-01, 1.621650976223e-04
 3.600000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.339972206387e-01, 3.230389116903e-04
 3.600000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.359668467335e-01, 2.159053836817e-04
 3.720000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.392007098914e-01, 2.851243727567e-03
 3.720000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.323309962852e-01, 4.099179661812e-04
 3.720000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.328031132953e-01, 5.534981438279e-04
 3.720000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.323899028521e-01, 3.791504236770e-04
 3.720000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.321617789973e-01, 1.566168020228e-04
 3.720000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.326446094362e-01, 1.340316210247e-04
 3.720000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.332948226900e-01, 1.426957814255e-04
 3.720000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.337526578703e-01, 2.157055494970e-04
 3.720000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.340999008321e-01, 3.200687092746e-04
 3.720000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.359496593418e-01, 2.919789890918e-04
 3.840000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.354559677213e-01, 7.557993722289e-04
 3.840000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.343321093957e-01, 9.430861905596e-04
 3.840000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.357598092441e-01, 2.827311271745e-03
 3.840000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.324622377033e-01, 2.014758492710e-04
 3.840000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.327218018471e-01, 1.655129273971e-04
 3.840000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.328755626242e-01, 1.288652930248e-04
 3.840000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.337092315544e-01, 1.396856905990e-04
 3.840000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.344340652192e-01, 1.592515481189e-04
 3.840000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.355432808613e-01, 2.525139407134e-04
 3.840000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.360755421447e-01, 4.027101999765e-04
 3.960000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.404501001263e-01, 5.067513157459e-03
 3.960000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.359492609917e-01, 2.275762738307e-03
 3.960000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.341967824552e-01, 7.489524915403e-04
 3.960000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.334148770389e-01, 3.736827075062e-04
 3.960000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.331819925293e-01, 1.809976241474e-04
 3.960000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.333504662188e-01, 1.410195918328e-04
 3.960000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.340544621674e-01, 1.729201370030e-04
 3.960000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.349255589502e-01, 1.934394431524e-04
 3.960000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.355007832146e-01, 2.370801858283e-04
 3.960000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.360560431649e-01, 5.354759900886e-04
 4.080000000000e+00, 1.050000000000e+00, 5.000000000000e+00, 1.349422945583e-01, 5.369996891860e-04
 4.080000000000e+00, 1.065000000000e+00, 5.000000000000e+00, 1.349360530383e-01, 6.983849732599e-04
 4.080000000000e+00, 1.080000000000e+00, 5.000000000000e+00, 1.345832218308e-01, 5.630532444184e-04
 4.080000000000e+00, 1.095000000000e+00, 5.000000000000e+00, 1.339417846682e-01, 2.117802775565e-04
 4.080000000000e+00, 1.110000000000e+00, 5.000000000000e+00, 1.340709998019e-01, 2.069506607184e-04
 4.080000000000e+00, 1.125000000000e+00, 5.000000000000e+00, 1.344069909390e-01, 1.524388036608e-04
 4.080000000000e+00, 1.140000000000e+00, 5.000000000000e+00, 1.347977904734e-01, 1.531933386211e-04
 4.080000000000e+00, 1.155000000000e+00, 5.000000000000e+00, 1.355322327885e-01, 1.704283533870e-04
 4.080000000000e+00, 1.170000000000e+00, 5.000000000000e+00, 1.360550459148e-01, 2.762215988210e-04
 4.080000000000e+00, 1.185000000000e+00, 5.000000000000e+00, 1.372171025857e-01, 2.829981131983e-04
