# r, density, density error estimate, density A, density error estimate A, density B, density error estimate B, radial probability, probability error estimate, radial probability A, probability error estimate A, radial probability B, probability error estimate B
1.072500000e+00, 2.673992436e-02, 5.798944151e-05, 1.331066700e-02, 4.091369924e-05, 1.342925736e-02, 4.109555379e-05, 3.865981818e-01, 8.383947669e-04, 1.924418182e-01, 5.915185668e-04, 1.941563636e-01, 5.941477680e-04
1.127500000e+00, 2.597804937e-02, 5.436975635e-05, 1.302441371e-02, 3.849756042e-05, 1.295363566e-02, 3.839281504e-05, 4.150836364e-01, 8.687332851e-04, 2.081072727e-01, 6.151234506e-04, 2.069763636e-01, 6.134498033e-04
1.182500000e+00, 2.511612367e-02, 5.097412000e-05, 1.254699227e-02, 3.602825648e-05, 1.256913140e-02, 3.606002835e-05, 4.414109091e-01, 8.958600835e-04, 2.205109091e-01, 6.331894863e-04, 2.209000000e-01, 6.337478707e-04
1.237500000e+00, 2.465543740e-02, 4.826020139e-05, 1.227689716e-02, 3.405470191e-05, 1.237854024e-02, 3.419538443e-05, 4.745527273e-01, 9.288827378e-04, 2.362981818e-01, 6.554640019e-04, 2.382545455e-01, 6.581717729e-04
1.292500000e+00, 2.394768206e-02, 4.553885940e-05, 1.201415175e-02, 3.225499385e-05, 1.193353032e-02, 3.214658749e-05, 5.028054545e-01, 9.561337435e-04, 2.522490909e-01, 6.772257458e-04, 2.505563636e-01, 6.749496461e-04
1.347500000e+00, 2.324435486e-02, 4.303418209e-05, 1.164870844e-02, 3.046447459e-05, 1.159564642e-02, 3.039500973e-05, 5.304509091e-01, 9.820673085e-04, 2.658309091e-01, 6.952186171e-04, 2.646200000e-01, 6.936333850e-04
1.402500000e+00, 2.246969457e-02, 4.065197136e-05, 1.132185361e-02, 2.885637638e-05, 1.114784097e-02, 2.863376186e-05, 5.554800000e-01, 1.004969470e-03, 2.798909091e-01, 7.133670598e-04, 2.755890909e-01, 7.078637400e-04
1.457500000e+00, 2.168198845e-02, 3.842633350e-05, 1.083329872e-02, 2.716187540e-05, 1.084868973e-02, 2.718116317e-05, 5.788654545e-01, 1.025905768e-03, 2.892272727e-01, 7.251674073e-04, 2.896381818e-01, 7.256823520e-04
1.512500000e+00, 2.094576375e-02, 3.639506619e-05, 1.045324599e-02, 2.571106098e-05, 1.049251776e-02, 2.575931261e-05, 6.022054545e-01, 1.046383777e-03, 3.005381818e-01, 7.392111051e-04, 3.016672727e-01, 7.405983732e-04
1.567500000e+00, 2.020596697e-02, 3.449242399e-05, 1.006082541e-02, 2.433888635e-05, 1.014514157e-02, 2.444066128e-05, 6.239490909e-01, 1.065106986e-03, 3.106727273e-01, 7.515713566e-04, 3.132763636e-01, 7.547141104e-04
1.622500000e+00, 1.945574782e-02, 3.269882819e-05, 9.745707186e-03, 2.314274684e-05, 9.710040632e-03, 2.310036004e-05, 6.436781818e-01, 1.081815126e-03, 3.224290909e-01, 7.656596573e-04, 3.212490909e-01, 7.642573233e-04
1.677500000e+00, 1.880836797e-02, 3.109619845e-05, 9.407397226e-03, 2.199208898e-05, 9.400970741e-03, 2.198457596e-05, 6.651581818e-01, 1.099717469e-03, 3.326927273e-01, 7.777505177e-04, 3.324654545e-01, 7.774848195e-04
1.732500000e+00, 1.805223998e-02, 2.949767544e-05, 9.018552633e-03, 2.084926099e-05, 9.033687344e-03, 2.086674801e-05, 6.809636364e-01, 1.112706476e-03, 3.401963636e-01, 7.864724045e-04, 3.407672727e-01, 7.871320471e-04
1.787500000e+00, 1.740532762e-02, 2.807318210e-05, 8.703659958e-03, 1.985187350e-05, 8.701667662e-03, 1.984960129e-05, 6.989054545e-01, 1.127269795e-03, 3.494927273e-01, 7.971457347e-04, 3.494127273e-01, 7.970544949e-04
1.842500000e+00, 1.651436957e-02, 2.652901361e-05, 8.286526411e-03, 1.879214533e-05, 8.227843162e-03, 1.872548631e-05, 7.045618182e-01, 1.131822198e-03, 3.535327273e-01, 8.017398436e-04, 3.510290909e-01, 7.988959324e-04
1.897500000e+00, 1.582137091e-02, 2.521382835e-05, 7.928908071e-03, 1.784939200e-05, 7.892462835e-03, 1.780832237e-05, 7.158927273e-01, 1.140886997e-03, 3.587709091e-01, 8.076575659e-04, 3.571218182e-01, 8.057992285e-04
1.952500000e+00, 1.510700162e-02, 2.394404170e-05, 7.553766461e-03, 1.693129198e-05, 7.553235155e-03, 1.693069653e-05, 7.237672727e-01, 1.147144497e-03, 3.618963636e-01, 8.111679163e-04, 3.618709091e-01, 8.111393884e-04
2.007500000e+00, 1.456908415e-02, 2.286971291e-05, 7.268836017e-03, 1.615388634e-05, 7.300248136e-03, 1.618875304e-05, 7.378709091e-01, 1.158267444e-03, 3.681400000e-01, 8.181353522e-04, 3.697309091e-01, 8.199012236e-04
2.062500000e+00, 1.385556248e-02, 2.170795832e-05, 6.909109444e-03, 1.532914508e-05, 6.946453040e-03, 1.537051611e-05, 7.407090909e-01, 1.160492913e-03, 3.693563636e-01, 8.194858295e-04, 3.713527273e-01, 8.216974972e-04
2.117500000e+00, 1.318809547e-02, 2.062857069e-05, 6.598436024e-03, 1.459145505e-05, 6.589659448e-03, 1.458174778e-05, 7.431272727e-01, 1.162385692e-03, 3.718109091e-01, 8.222042536e-04, 3.713163636e-01, 8.216572650e-04
2.172500000e+00, 1.260797974e-02, 1.965916609e-05, 6.304388372e-03, 1.390156902e-05, 6.303591372e-03, 1.390069027e-05, 7.478218182e-01, 1.166051471e-03, 3.739345455e-01, 8.245489626e-04, 3.738872727e-01, 8.244968413e-04
2.227500000e+00, 1.186836904e-02, 1.860289350e-05, 5.945600201e-03, 1.316687856e-05, 5.922768844e-03, 1.314157355e-05, 7.400454545e-01, 1.159972926e-03, 3.707345455e-01, 8.210132824e-04, 3.693109091e-01, 8.194354033e-04
2.282500000e+00, 1.131264891e-02, 1.772452416e-05, 5.655532991e-03, 1.253225435e-05, 5.657115914e-03, 1.253400804e-05, 7.406563636e-01, 1.160451608e-03, 3.702763636e-01, 8.205057904e-04, 3.703800000e-01, 8.206206077e-04
2.337500000e+00, 1.068492280e-02, 1.682045657e-05, 5.344976919e-03, 1.189665871e-05, 5.339945879e-03, 1.189105844e-05, 7.336763636e-01, 1.154970573e-03, 3.670109091e-01, 8.168797720e-04, 3.666654545e-01, 8.164952313e-04
2.392500000e+00, 1.013737912e-02, 1.600718847e-05, 5.077750927e-03, 1.132890438e-05, 5.059628198e-03, 1.130866961e-05, 7.292200000e-01, 1.151457574e-03, 3.652618182e-01, 8.149309153e-04, 3.639581818e-01, 8.134753523e-04
2.447500000e+00, 9.614084710e-03, 1.523827676e-05, 4.817572886e-03, 1.078688458e-05, 4.796511824e-03, 1.076328016e-05, 7.237381818e-01, 1.147121442e-03, 3.626618182e-01, 8.120253222e-04, 3.610763636e-01, 8.102484059e-04
2.502500000e+00, 9.069730628e-03, 1.447531725e-05, 4.523267784e-03, 1.022249828e-05, 4.546462844e-03, 1.024867496e-05, 7.137890909e-01, 1.139209527e-03, 3.559818182e-01, 8.045120692e-04, 3.578072727e-01, 8.065721776e-04
2.557500000e+00, 8.557474237e-03, 1.375822832e-05, 4.280053241e-03, 9.730032656e-06, 4.277420996e-03, 9.727040196e-06, 7.034018182e-01, 1.130890090e-03, 3.518090909e-01, 7.997830284e-04, 3.515927273e-01, 7.995370561e-04
2.612500000e+00, 8.080474967e-03, 1.308783613e-05, 4.059305256e-03, 9.276310127e-06, 4.021169710e-03, 9.232633697e-06, 6.930672727e-01, 1.122551698e-03, 3.481690909e-01, 7.956347848e-04, 3.448981818e-01, 7.918886306e-04
2.667500000e+00, 7.567789995e-03, 1.240469637e-05, 3.777398578e-03, 8.763912011e-06, 3.790391417e-03, 8.778971363e-06, 6.767109091e-01, 1.109226519e-03, 3.377745455e-01, 7.836680019e-04, 3.389363636e-01, 7.850146074e-04
2.722500000e+00, 7.108296947e-03, 1.177934741e-05, 3.557788929e-03, 8.333521101e-06, 3.550508018e-03, 8.324989580e-06, 6.621036364e-01, 1.097189497e-03, 3.313909091e-01, 7.762273672e-04, 3.307127273e-01, 7.754326971e-04
2.777500000e+00, 6.735560410e-03, 1.123930425e-05, 3.377776345e-03, 7.959174109e-06, 3.357784065e-03, 7.935584893e-06, 6.529890909e-01, 1.089611349e-03, 3.274636364e-01, 7.716141716e-04, 3.255254545e-01, 7.693272794e-04
2.832500000e+00, 6.280691874e-03, 1.064242813e-05, 3.132212942e-03, 7.515582075e-06, 3.148478932e-03, 7.535071504e-06, 6.332436364e-01, 1.073010748e-03, 3.158018182e-01, 7.577500406e-04, 3.174418182e-01, 7.597150401e-04
2.887500000e+00, 5.891181914e-03, 1.011082007e-05, 2.932003690e-03, 7.132921121e-06, 2.959178223e-03, 7.165899720e-06, 6.172618182e-01, 1.059383885e-03, 3.072072727e-01, 7.473678329e-04, 3.100545455e-01, 7.508232396e-04
2.942500000e+00, 5.483438089e-03, 9.572324262e-06, 2.729729470e-03, 6.753839471e-06, 2.753708619e-03, 6.783438963e-06, 5.966345455e-01, 1.041532564e-03, 2.970127273e-01, 7.348626678e-04, 2.996218182e-01, 7.380832894e-04
2.997500000e+00, 5.134018389e-03, 9.092371023e-06, 2.562138148e-03, 6.423174351e-06, 2.571880241e-03, 6.435374276e-06, 5.796927273e-01, 1.026638581e-03, 2.892963636e-01, 7.252540165e-04, 2.903963636e-01, 7.266315355e-04
3.052500000e+00, 4.797360902e-03, 8.630846082e-06, 2.395908774e-03, 6.099402803e-06, 2.401452128e-03, 6.106454743e-06, 5.617400000e-01, 1.010616374e-03, 2.805454545e-01, 7.142007033e-04, 2.811945455e-01, 7.150264400e-04
3.107500000e+00, 4.483162216e-03, 8.195758336e-06, 2.242210387e-03, 5.796089693e-06, 2.240951829e-03, 5.794462785e-06, 5.440363636e-01, 9.945637359e-04, 2.720945455e-01, 7.033614685e-04, 2.719418182e-01, 7.031640416e-04
3.162500000e+00, 4.184661457e-03, 7.780506689e-06, 2.083904148e-03, 5.490559289e-06, 2.100757309e-03, 5.512716484e-06, 5.259472727e-01, 9.778894460e-04, 2.619145455e-01, 6.900784480e-04, 2.640327273e-01, 6.928632651e-04
3.217500000e+00, 3.865873482e-03, 7.350446121e-06, 1.928855779e-03, 5.192060667e-06, 1.937017704e-03, 5.203034135e-06, 5.029272727e-01, 9.562495611e-04, 2.509327273e-01, 6.754563808e-04, 2.519945455e-01, 6.768839641e-04
3.272500000e+00, 3.608501777e-03, 6.982202150e-06, 1.800704492e-03, 4.932307912e-06, 1.807797284e-03, 4.942012295e-06, 4.856309091e-01, 9.396623273e-04, 2.423381818e-01, 6.637882765e-04, 2.432927273e-01, 6.650942890e-04
3.327500000e+00, 3.343822616e-03, 6.610165464e-06, 1.676190805e-03, 4.680071007e-06, 1.667631811e-03, 4.668106985e-06, 4.652636364e-01, 9.197466414e-04, 2.332272727e-01, 6.511908989e-04, 2.320363636e-01, 6.495262100e-04
3.382500000e+00, 3.098192168e-03, 6.259293404e-06, 1.548362634e-03, 4.424940902e-06, 1.549829533e-03, 4.427036472e-06, 4.454545455e-01, 8.999540851e-04, 2.226218182e-01, 6.362129692e-04, 2.228327273e-01, 6.365142679e-04
3.437500000e+00, 2.874598653e-03, 5.932735586e-06, 1.439803279e-03, 4.198730145e-06, 1.434795374e-03, 4.191421800e-06, 4.268563636e-01, 8.809667867e-04, 2.138000000e-01, 6.234799698e-04, 2.130563636e-01, 6.223947354e-04
3.492500000e+00, 2.662042227e-03, 5.619275058e-06, 1.325968044e-03, 3.965877996e-06, 1.336074183e-03, 3.980962685e-06, 4.080436364e-01, 8.613347321e-04, 2.032472727e-01, 6.078984256e-04, 2.047963636e-01, 6.102106397e-04
3.547500000e+00, 2.464195381e-03, 5.322608695e-06, 1.233621006e-03, 3.765978597e-06, 1.230574375e-03, 3.761325369e-06, 3.897072727e-01, 8.417592754e-04, 1.950945455e-01, 5.955815271e-04, 1.946127273e-01, 5.948456290e-04
3.602500000e+00, 2.268245574e-03, 5.028640074e-06, 1.137478444e-03, 3.561042062e-06, 1.130767130e-03, 3.550521148e-06, 3.699272727e-01, 8.201189190e-04, 1.855109091e-01, 5.807689403e-04, 1.844163636e-01, 5.790530885e-04
3.657500000e+00, 2.091801818e-03, 4.756478791e-06, 1.041877506e-03, 3.356863079e-06, 1.049924312e-03, 3.369801294e-06, 3.516472727e-01, 7.995990731e-04, 1.751472727e-01, 5.643133764e-04, 1.765000000e-01, 5.664883855e-04
3.712500000e+00, 1.945746233e-03, 4.519458351e-06, 9.684379157e-04, 3.188446847e-06, 9.773083174e-04, 3.203015843e-06, 3.370054545e-01, 7.827753126e-04, 1.677345455e-01, 5.522426105e-04, 1.692709091e-01, 5.547659770e-04
3.767500000e+00, 1.790426185e-03, 4.272035138e-06, 8.996165818e-04, 3.028205415e-06, 8.908096029e-04, 3.013346344e-06, 3.193600000e-01, 7.620069196e-04, 1.604654545e-01, 5.401438437e-04, 1.588945455e-01, 5.374934172e-04
3.822500000e+00, 1.647641142e-03, 4.039185483e-06, 8.251672492e-04, 2.858468918e-06, 8.224738925e-04, 2.853800065e-06, 3.025345455e-01, 7.416621939e-04, 1.515145455e-01, 5.248628314e-04, 1.510200000e-01, 5.240055517e-04
3.877500000e+00, 1.516432767e-03, 3.820057114e-06, 7.628547345e-04, 2.709437884e-06, 7.535780329e-04, 2.692913423e-06, 2.865127273e-01, 7.217563518e-04, 1.441327273e-01, 5.119174779e-04, 1.423800000e-01, 5.087953688e-04
3.932500000e+00, 1.399755672e-03, 3.618824904e-06, 6.964395639e-04, 2.552602380e-06, 7.033161082e-04, 2.565173439e-06, 2.720236364e-01, 7.032698129e-04, 1.353436364e-01, 4.960638455e-04, 1.366800000e-01, 4.985068614e-04
3.987500000e+00, 1.275135948e-03, 3.406338705e-06, 6.402978345e-04, 2.413796210e-06, 6.348381139e-04, 2.403483145e-06, 2.547854545e-01, 6.806219810e-04, 1.279381818e-01, 4.823016442e-04, 1.268472727e-01, 4.802409863e-04
4.042500000e+00, 1.179213138e-03, 3.231145386e-06, 5.903856870e-04, 2.286273882e-06, 5.888274506e-04, 2.283254747e-06, 2.421636364e-01, 6.635491848e-04, 1.212418182e-01, 4.695100312e-04, 1.209218182e-01, 4.688900204e-04
4.097500000e+00, 1.071383522e-03, 3.038533172e-06, 5.390612167e-04, 2.155313972e-06, 5.323223051e-04, 2.141799598e-06, 2.260472727e-01, 6.410889496e-04, 1.137345455e-01, 4.547417758e-04, 1.123127273e-01, 4.518904277e-04
4.152500000e+00, 9.758549383e-04, 2.861498613e-06, 4.858004090e-04, 2.018969906e-06, 4.900545293e-04, 2.027790627e-06, 2.114563636e-01, 6.200533168e-04, 1.052672727e-01, 4.374871899e-04, 1.061890909e-01, 4.393985371e-04
4.207500000e+00, 8.894992476e-04, 2.696244667e-06, 4.459592042e-04, 1.909123715e-06, 4.435400434e-04, 1.903938535e-06, 1.978836364e-01, 5.998236655e-04, 9.921090909e-02, 4.247157533e-04, 9.867272727e-02, 4.235622253e-04
4.262500000e+00, 8.307783937e-04, 2.572106311e-06, 4.204538505e-04, 1.829807846e-06, 4.103245432e-04, 1.807632187e-06, 1.896836364e-01, 5.872642836e-04, 9.599818182e-02, 4.177824180e-04, 9.368545455e-02, 4.127192630e-04
4.317500000e+00, 7.517439791e-04, 2.415535473e-06, 3.701632588e-04, 1.695021048e-06, 3.815807203e-04, 1.720963471e-06, 1.760963636e-01, 5.658402660e-04, 8.671090909e-02, 3.970594393e-04, 8.938545455e-02, 4.031364636e-04
4.372500000e+00, 6.827701628e-04, 2.273098781e-06, 3.424142843e-04, 1.609744607e-06, 3.403558785e-04, 1.604898865e-06, 1.640400000e-01, 5.461268584e-04, 8.226727273e-02, 3.867516768e-04, 8.177272727e-02, 3.855874556e-04
4.427500000e+00, 6.259010723e-04, 2.149340434e-06, 3.141794430e-04, 1.522794304e-06, 3.117216293e-04, 1.516826228e-06, 1.541836364e-01, 5.294656592e-04, 7.739454545e-02, 3.751231203e-04, 7.678909091e-02, 3.736529525e-04
4.482500000e+00, 5.681655763e-04, 2.022684560e-06, 2.815156991e-04, 1.423777122e-06, 2.866498772e-04, 1.436701618e-06, 1.434600000e-01, 5.107214149e-04, 7.108181818e-02, 3.594991925e-04, 7.237818182e-02, 3.627625866e-04
4.537500000e+00, 5.202455034e-04, 1.912047135e-06, 2.600454514e-04, 1.351820591e-06, 2.602000521e-04, 1.352222370e-06, 1.346036364e-01, 4.947058563e-04, 6.728181818e-02, 3.497578856e-04, 6.732181818e-02, 3.498618381e-04
4.592500000e+00, 4.604086987e-04, 1.777189436e-06, 2.317992986e-04, 1.261008522e-06, 2.286094000e-04, 1.252301800e-06, 1.220272727e-01, 4.710284159e-04, 6.143636364e-02, 3.342192085e-04, 6.059090909e-02, 3.319115684e-04
4.647500000e+00, 4.246572932e-04, 1.686596070e-06, 2.129616636e-04, 1.194379954e-06, 2.116956296e-04, 1.190824432e-06, 1.152636364e-01, 4.577884314e-04, 5.780363636e-02, 3.241874776e-04, 5.746000000e-02, 3.232224115e-04
4.702500000e+00, 3.861113609e-04, 1.589420221e-06, 1.928168676e-04, 1.123194467e-06, 1.932944933e-04, 1.124584736e-06, 1.072963636e-01, 4.416834811e-04, 5.358181818e-02, 3.121241541e-04, 5.371454545e-02, 3.125104957e-04
4.757500000e+00, 3.562812941e-04, 1.509138221e-06, 1.782780840e-04, 1.067533437e-06, 1.780032101e-04, 1.066710144e-06, 1.013363636e-01, 4.292411139e-04, 5.070727273e-02, 3.036363636e-04, 5.062909091e-02, 3.034021960e-04
4.812500000e+00, 3.198848006e-04, 1.413635425e-06, 1.590271943e-04, 9.967272128e-07, 1.608576063e-04, 1.002446994e-06, 9.310000000e-02, 4.114276696e-04, 4.628363636e-02, 2.900897553e-04, 4.681636364e-02, 2.917544535e-04
4.867500000e+00, 2.915184378e-04, 1.334253856e-06, 1.447851905e-04, 9.403023547e-07, 1.467332472e-04, 9.466070115e-07, 8.679454545e-02, 3.972508835e-04, 4.310727273e-02, 2.799586746e-04, 4.368727273e-02, 2.818357766e-04
4.922500000e+00, 2.626908400e-04, 1.252414837e-06, 1.317633942e-04, 8.869989920e-07, 1.309274458e-04, 8.841808145e-07, 7.998909091e-02, 3.813590313e-04, 4.012181818e-02, 2.700902818e-04, 3.986727273e-02, 2.692321497e-04
4.977500000e+00, 2.381717833e-04, 1.179357299e-06, 1.177485697e-04, 8.292358421e-07, 1.204232136e-04, 8.386009526e-07, 7.415272727e-02, 3.671827072e-04, 3.666000000e-02, 2.581754161e-04, 3.749272727e-02, 2.610911623e-04
5.032500000e+00, 2.127592998e-04, 1.102483388e-06, 1.068252550e-04, 7.812045200e-07, 1.059340448e-04, 7.779390206e-07, 6.771272727e-02, 3.508761172e-04, 3.399818182e-02, 2.486259762e-04, 3.371454545e-02, 2.475866991e-04
5.087500000e+00, 1.888201349e-04, 1.027380546e-06, 9.370572330e-05, 7.237527797e-07, 9.511441161e-05, 7.291726136e-07, 6.141454545e-02, 3.341598568e-04, 3.047818182e-02, 2.354036449e-04, 3.093636364e-02, 2.371664687e-04
5.142500000e+00, 1.726460527e-04, 9.718867911e-07, 8.557895667e-05, 6.842595174e-07, 8.706709605e-05, 6.901831985e-07, 5.737454545e-02, 3.229819738e-04, 2.844000000e-02, 2.273963300e-04, 2.893454545e-02, 2.293649155e-04
5.197500000e+00, 1.576248404e-04, 9.188180725e-07, 7.896238609e-05, 6.503203295e-07, 7.866245435e-05, 6.490840619e-07, 5.350909091e-02, 3.119122572e-04, 2.680545455e-02, 2.207650110e-04, 2.670363636e-02, 2.203453338e-04
5.252500000e+00, 1.403806599e-04, 8.580237672e-07, 6.997006743e-05, 6.057617184e-07, 7.041059251e-05, 6.076656363e-07, 4.866909091e-02, 2.974714376e-04, 2.425818182e-02, 2.100137737e-04, 2.441090909e-02, 2.106738500e-04
5.307500000e+00, 1.273268753e-04, 8.086895252e-07, 6.385861397e-05, 5.727057207e-07, 6.346826130e-05, 5.709526299e-07, 4.507272727e-02, 2.862698259e-04, 2.260545455e-02, 2.027333876e-04, 2.246727273e-02, 2.021128071e-04
5.362500000e+00, 1.171964497e-04, 7.678948278e-07, 5.873155703e-05, 5.436010310e-07, 5.846489271e-05, 5.423655461e-07, 4.235090909e-02, 2.774917168e-04, 2.122363636e-02, 1.964393793e-04, 2.112727273e-02, 1.959929160e-04
5.417500000e+00, 1.021988780e-04, 7.098000117e-07, 5.102795747e-05, 5.015532289e-07, 5.117092055e-05, 5.022553287e-07, 3.769272727e-02, 2.617866143e-04, 1.882000000e-02, 1.849815716e-04, 1.887272727e-02, 1.852405182e-04
5.472500000e+00, 9.371018953e-05, 6.728519778e-07, 4.637922459e-05, 4.733559788e-07, 4.733096493e-05, 4.781881443e-07, 3.526727273e-02, 2.532238418e-04, 1.745454545e-02, 1.781447086e-04, 1.781272727e-02, 1.799632653e-04
