#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  3.0000000000000e-02,  2.7888956463094e-02,  1.0136413638617e-03,  1.3594484722433e-02,  7.0770060667983e-04,  1.4294471740661e-02,  7.2569185322455e-04,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,  4.2055555555556e-04,  1.5285351657997e-05,  2.0500000000000e-04,  1.0671873729055e-05,  2.1555555555556e-04,  1.0943175335329e-05,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00,                 -nan,                 -nan,  0.0000000000000e+00,  0.0000000000000e+00
  1.5900000000000e+00,  1.2877676893585e-02,  1.5005645654384e-05,  6.4389958140436e-03,  1.0610723460642e-05,  6.4386810795413e-03,  1.0610464134369e-05,                 -nan,                 -nan,  6.2518162114624e-03,  1.4786113092284e-05,                 -nan,                 -nan,  1.0862173722841e+00,  3.7106017443083e-03,  4.0916000000000e-01,  4.7677155023251e-04,  2.0458500000000e-01,  3.3713251598345e-04,  2.0457500000000e-01,  3.3712427645867e-04,                 -nan,                 -nan,  1.9863777777778e-01,  4.6979638352728e-04,                 -nan,                 -nan,  1.0862173722841e+00,  3.7106017443083e-03
  1.6500000000000e+00,  1.2225961472418e-02,  1.4089398602438e-05,  6.1186311614451e-03,  9.9673126578583e-06,  6.1073303109733e-03,  9.9581038033800e-06,                 -nan,                 -nan,  6.2733359075581e-03,  1.4272998284505e-05,                 -nan,                 -nan,  1.1083813370665e+00,  3.6616805836737e-03,  4.1832000000000e-01,  4.8207883172776e-04,  2.0935333333333e-01,  3.4103871834061e-04,  2.0896666666667e-01,  3.4072363081036e-04,                 -nan,                 -nan,  2.1464666666667e-01,  4.8836082592310e-04,                 -nan,                 -nan,  1.1083813370665e+00,  3.6616805836737e-03
  1.7100000000000e+00,  1.1613513750906e-02,  1.3250194308614e-05,  5.8134161476715e-03,  9.3746731334689e-06,  5.8000976032347e-03,  9.3639282812632e-06,                 -nan,                 -nan,  6.2152401103631e-03,  1.3708324653382e-05,                 -nan,                 -nan,  1.1319603524229e+00,  3.6454172787083e-03,  4.2678611111111e-01,  4.8693263914193e-04,  2.1363777777778e-01,  3.4451074630697e-04,  2.1314833333333e-01,  3.4411588272084e-04,                 -nan,                 -nan,  2.2840444444444e-01,  5.0376851434898e-04,                 -nan,                 -nan,  1.1319603524229e+00,  3.6454172787083e-03
  1.7700000000000e+00,  1.0981368234683e-02,  1.2447810951066e-05,  5.4931392714702e-03,  8.8038992021068e-06,  5.4882289632128e-03,  8.7999634267779e-06,                 -nan,                 -nan,  6.1540554748569e-03,  1.3178332402602e-05,                 -nan,                 -nan,  1.1512001731501e+00,  3.6156826832792e-03,  4.3236888888889e-01,  4.9010706817144e-04,  2.1628111111111e-01,  3.4663550429739e-04,  2.1608777777778e-01,  3.4648054120268e-04,                 -nan,                 -nan,  2.4230333333333e-01,  5.1886985451646e-04,                 -nan,                 -nan,  1.1512001731501e+00,  3.6156826832792e-03
  1.8300000000000e+00,  1.0412460347070e-02,  1.1723706958451e-05,  5.1959077113302e-03,  8.2816903529175e-06,  5.2165526357396e-03,  8.2981268817744e-06,                 -nan,                 -nan,  6.0695813762206e-03,  1.2658511521908e-05,                 -nan,                 -nan,  1.1648823246270e+00,  3.5745642337816e-03,  4.3823222222222e-01,  4.9341903659974e-04,  2.1868166666667e-01,  3.4855389083299e-04,  2.1955055555556e-01,  3.4924565976429e-04,                 -nan,                 -nan,  2.5545222222222e-01,  5.3276242591716e-04,                 -nan,                 -nan,  1.1648823246270e+00,  3.5745642337816e-03
  1.8900000000000e+00,  9.8350632568381e-03,  1.1032332790430e-05,  4.9185216565551e-03,  7.8018225656429e-06,  4.9165416002830e-03,  7.8002520121481e-06,                 -nan,                 -nan,  5.9345999079143e-03,  1.2119633745410e-05,                 -nan,                 -nan,  1.1712968164565e+00,  3.5247199030476e-03,  4.4151666666667e-01,  4.9526461314840e-04,  2.2080277777778e-01,  3.5024021738878e-04,  2.2071388888889e-01,  3.5016971194050e-04,                 -nan,                 -nan,  2.6641666666667e-01,  5.4407583894023e-04,                 -nan,                 -nan,  1.1712968164565e+00,  3.5247199030476e-03
  1.9500000000000e+00,  9.2112506716668e-03,  1.0348237163240e-05,  4.5996788582824e-03,  7.3125833342116e-06,  4.6115718133844e-03,  7.3220309591578e-06,                 -nan,                 -nan,  5.7959497087198e-03,  1.1608721033176e-05,                 -nan,                 -nan,  1.1721974823307e+00,  3.4602717224087e-03,  4.4018166666667e-01,  4.9451528830803e-04,  2.1980666666667e-01,  3.4944930220965e-04,  2.2037500000000e-01,  3.4990077958695e-04,                 -nan,                 -nan,  2.7697333333333e-01,  5.5475052784846e-04,                 -nan,                 -nan,  1.1721974823307e+00,  3.4602717224087e-03
  2.0100000000000e+00,  8.6778454094307e-03,  9.7443435860366e-06,  4.3444100742250e-03,  6.8946470745553e-06,  4.3334353352057e-03,  6.8859330261091e-06,                 -nan,                 -nan,  5.6903201171676e-03,  1.1159120866317e-05,                 -nan,                 -nan,  1.1885779063761e+00,  3.4482753780938e-03,  4.4060166666667e-01,  4.9475115331215e-04,  2.2057944444444e-01,  3.5006304546820e-04,  2.2002222222222e-01,  3.4962060565881e-04,                 -nan,                 -nan,  2.8891555555556e-01,  5.6658387194714e-04,                 -nan,                 -nan,  1.1885779063761e+00,  3.4482753780938e-03
  2.0700000000000e+00,  8.1399837489437e-03,  9.1639990656852e-06,  4.0727052023882e-03,  6.4820854975513e-06,  4.0672785465556e-03,  6.4777655467232e-06,                 -nan,                 -nan,  5.5049812529359e-03,  1.0657766161904e-05,                 -nan,                 -nan,  1.1869047036475e+00,  3.3981388720948e-03,  4.3833333333333e-01,  4.9347595536005e-04,  2.1931277777778e-01,  3.4905648840663e-04,  2.1902055555556e-01,  3.4882386159744e-04,                 -nan,                 -nan,  2.9644000000000e-01,  5.7391443419536e-04,                 -nan,                 -nan,  1.1869047036475e+00,  3.3981388720948e-03
  2.1300000000000e+00,  7.5661133870918e-03,  8.5862054581417e-06,  3.7788424869814e-03,  6.0679815071810e-06,  3.7872709001103e-03,  6.0747448175155e-06,                 -nan,                 -nan,  5.3892150490939e-03,  1.0248082394912e-05,                 -nan,                 -nan,  1.1981551845899e+00,  3.3779976309242e-03,  4.3139055555556e-01,  4.8955226457763e-04,  2.1545500000000e-01,  3.4597286341883e-04,  2.1593555555556e-01,  3.4635848124575e-04,                 -nan,                 -nan,  3.0727222222222e-01,  5.8430606726861e-04,                 -nan,                 -nan,  1.1981551845899e+00,  3.3779976309242e-03
  2.1900000000000e+00,  7.0690826511061e-03,  8.0720277824838e-06,  3.5296146955642e-03,  5.7038062896116e-06,  3.5394679555419e-03,  5.7117621039201e-06,                 -nan,                 -nan,  5.1897645686815e-03,  9.7811505708051e-06,                 -nan,                 -nan,  1.1927466847435e+00,  3.3287772707861e-03,  4.2607722222222e-01,  4.8652807514185e-04,  2.1274166666667e-01,  3.4378745587182e-04,  2.1333555555556e-01,  3.4426697937273e-04,                 -nan,                 -nan,  3.1280444444445e-01,  5.8954261408923e-04,                 -nan,                 -nan,  1.1927466847435e+00,  3.3287772707861e-03
  2.2500000000000e+00,  6.5943700367570e-03,  7.5883977479454e-06,  3.2960891192407e-03,  5.3649157038924e-06,  3.2982809175163e-03,  5.3666991597398e-06,                 -nan,                 -nan,  5.0307621043339e-03,  9.3733604486295e-06,                 -nan,                 -nan,  1.1905452711890e+00,  3.2830958943838e-03,  4.1954055555556e-01,  4.8278161358916e-04,  2.0970055555556e-01,  3.4132141544587e-04,  2.0984000000000e-01,  3.4143488072805e-04,                 -nan,                 -nan,  3.2006222222222e-01,  5.9634276331488e-04,                 -nan,                 -nan,  1.1905452711890e+00,  3.2830958943838e-03
  2.3100000000000e+00,  6.1390219337400e-03,  7.1315547420204e-06,  3.0546816110343e-03,  5.0305747072692e-06,  3.0843403227057e-03,  5.0549373045585e-06,                 -nan,                 -nan,  4.8381146219113e-03,  8.9533941195306e-06,                 -nan,                 -nan,  1.1854817100402e+00,  3.2432467757371e-03,  4.1167777777778e-01,  4.7823621416954e-04,  2.0484444444444e-01,  3.3734621553502e-04,  2.0683333333333e-01,  3.3897995133548e-04,                 -nan,                 -nan,  3.2444000000000e-01,  6.0040726918392e-04,                 -nan,                 -nan,  1.1854817100402e+00,  3.2432467757371e-03
  2.3700000000000e+00,  5.6741771415425e-03,  6.6826746350731e-06,  2.8342630910656e-03,  4.7230109501879e-06,  2.8399140504770e-03,  4.7277169799656e-06,                 -nan,                 -nan,  4.6641507861386e-03,  8.5684084487932e-06,                 -nan,                 -nan,  1.1900342179668e+00,  3.2352845069741e-03,  4.0052777777778e-01,  4.7171541431118e-04,  2.0006444444444e-01,  3.3338703271160e-04,  2.0046333333333e-01,  3.3371922108041e-04,                 -nan,                 -nan,  3.2923222222222e-01,  6.0482524769301e-04,                 -nan,                 -nan,  1.1900342179668e+00,  3.2352845069741e-03
  2.4300000000000e+00,  5.2535373675362e-03,  6.2714421816560e-06,  2.6278617233157e-03,  4.4355018474199e-06,  2.6256756442205e-03,  4.4336565495524e-06,                 -nan,                 -nan,  4.5264264980685e-03,  8.2325474774570e-06,                 -nan,                 -nan,  1.1902817589064e+00,  3.2038969771643e-03,  3.8984888888889e-01,  4.6538448196022e-04,  1.9500555555556e-01,  3.2914498287698e-04,  1.9484333333333e-01,  3.2900804898406e-04,                 -nan,                 -nan,  3.3589222222222e-01,  6.1091208880404e-04,                 -nan,                 -nan,  1.1902817589064e+00,  3.2038969771643e-03
  2.4900000000000e+00,  4.8401015317322e-03,  5.8745715492019e-06,  2.4187709061310e-03,  4.1528508120411e-06,  2.4213306256012e-03,  4.1550476555175e-06,                 -nan,                 -nan,  4.3149169718060e-03,  7.8442275086901e-06,                 -nan,                 -nan,  1.1816371240789e+00,  3.1728761658364e-03,  3.7712388888889e-01,  4.5772619720193e-04,  1.8846222222222e-01,  3.2357570144852e-04,  1.8866166666667e-01,  3.2374687185676e-04,                 -nan,                 -nan,  3.3620333333333e-01,  6.1119494374484e-04,                 -nan,                 -nan,  1.1816371240789e+00,  3.1728761658364e-03
  2.5500000000000e+00,  4.4462341078000e-03,  5.4980005614225e-06,  2.2180045332591e-03,  3.8832006495204e-06,  2.2282295745409e-03,  3.8921411702258e-06,                 -nan,                 -nan,  4.1402307114611e-03,  7.5030162322183e-06,                 -nan,                 -nan,  1.1791268452114e+00,  3.1543735757943e-03,  3.6333111111111e-01,  4.4927788425867e-04,  1.8124777777778e-01,  3.1732193412455e-04,  1.8208333333333e-01,  3.1805252303261e-04,                 -nan,                 -nan,  3.3832555555556e-01,  6.1312093745901e-04,                 -nan,                 -nan,  1.1791268452114e+00,  3.1543735757943e-03
  2.6100000000000e+00,  4.0714865654132e-03,  5.1402619139554e-06,  2.0344550984069e-03,  3.6335638813205e-06,  2.0370314670063e-03,  3.6358638676968e-06,                 -nan,                 -nan,  3.9615982795352e-03,  7.1706571865994e-06,                 -nan,                 -nan,  1.1727096340409e+00,  3.1288148482267e-03,  3.4854833333334e-01,  4.4004313761604e-04,  1.7416388888889e-01,  3.1105902341740e-04,  1.7438444444445e-01,  3.1125591868040e-04,                 -nan,                 -nan,  3.3914111111111e-01,  6.1385947641959e-04,                 -nan,                 -nan,  1.1727096340409e+00,  3.1288148482267e-03
