# r, density, density error estimate, density A, density error estimate A, density B, density error estimate B, radial probability, probability error estimate, radial probability A, probability error estimate A, radial probability B, probability error estimate B
4.042500000e+00, 1.220940231e-03, 3.287816322e-06, 6.095891805e-04, 2.323159191e-06, 6.113510501e-04, 2.326514032e-06, 2.507327273e-01, 6.751871488e-04, 1.251854545e-01, 4.770848115e-04, 1.255472727e-01, 4.777737630e-04
4.097500000e+00, 1.137143923e-03, 3.130395554e-06, 5.699723108e-04, 2.216248118e-06, 5.671716123e-04, 2.210796374e-06, 2.399218182e-01, 6.604706561e-04, 1.202563636e-01, 4.675980473e-04, 1.196654545e-01, 4.664478039e-04
4.152500000e+00, 1.033902285e-03, 2.945375400e-06, 5.142535099e-04, 2.077253694e-06, 5.196487750e-04, 2.088121964e-06, 2.240345455e-01, 6.382284365e-04, 1.114327273e-01, 4.501166056e-04, 1.126018182e-01, 4.524716328e-04
4.207500000e+00, 9.556583899e-04, 2.794717053e-06, 4.763131331e-04, 1.973025892e-06, 4.793452568e-04, 1.979295894e-06, 2.126018182e-01, 6.217304563e-04, 1.059636364e-01, 4.389318364e-04, 1.066381818e-01, 4.403267007e-04
4.262500000e+00, 8.711682104e-04, 2.633888148e-06, 4.349868583e-04, 1.861162899e-06, 4.361813521e-04, 1.863716567e-06, 1.989054545e-01, 6.013703360e-04, 9.931636364e-02, 4.249414155e-04, 9.958909091e-02, 4.255244698e-04
4.317500000e+00, 8.009376369e-04, 2.493318684e-06, 4.024519329e-04, 1.767402436e-06, 3.984857040e-04, 1.758671854e-06, 1.876200000e-01, 5.840610180e-04, 9.427454545e-02, 4.140148119e-04, 9.334545455e-02, 4.119696691e-04
4.372500000e+00, 7.314756755e-04, 2.352778194e-06, 3.659497325e-04, 1.664147278e-06, 3.655259430e-04, 1.663183413e-06, 1.757418182e-01, 5.652703588e-04, 8.792181818e-02, 3.998222746e-04, 8.782000000e-02, 3.995906997e-04
4.427500000e+00, 6.699941019e-04, 2.223759676e-06, 3.363219085e-04, 1.575541839e-06, 3.336721934e-04, 1.569323106e-06, 1.650454545e-01, 5.477979962e-04, 8.284909091e-02, 3.881168777e-04, 8.219636364e-02, 3.865849633e-04
4.482500000e+00, 6.130554310e-04, 2.101070247e-06, 3.050263464e-04, 1.482038129e-06, 3.080290845e-04, 1.489314999e-06, 1.547945455e-01, 5.305135513e-04, 7.701818182e-02, 3.742099115e-04, 7.777636364e-02, 3.760472979e-04
4.537500000e+00, 5.547776842e-04, 1.974485361e-06, 2.778877808e-04, 1.397427070e-06, 2.768899034e-04, 1.394915777e-06, 1.435381818e-01, 5.108605606e-04, 7.189818182e-02, 3.615576952e-04, 7.164000000e-02, 3.609079460e-04
4.592500000e+00, 5.145889550e-04, 1.878850363e-06, 2.586150269e-04, 1.331952818e-06, 2.559739281e-04, 1.325134098e-06, 1.363872727e-01, 4.979727498e-04, 6.854363636e-02, 3.530223695e-04, 6.784363636e-02, 3.512151280e-04
4.647500000e+00, 4.620220441e-04, 1.759232093e-06, 2.321062420e-04, 1.246910266e-06, 2.299158021e-04, 1.241012629e-06, 1.254054545e-01, 4.775038401e-04, 6.300000000e-02, 3.384456449e-04, 6.240545455e-02, 3.368448646e-04
4.702500000e+00, 4.250345894e-04, 1.667610346e-06, 2.125958085e-04, 1.179396386e-06, 2.124387809e-04, 1.178960742e-06, 1.181127273e-01, 4.634117103e-04, 5.907818182e-02, 3.277420877e-04, 5.903454545e-02, 3.276210268e-04
4.757500000e+00, 3.817742483e-04, 1.562197085e-06, 1.889662032e-04, 1.099068033e-06, 1.928080451e-04, 1.110184305e-06, 1.085872727e-01, 4.443325387e-04, 5.374727273e-02, 3.126056846e-04, 5.484000000e-02, 3.157674633e-04
4.812500000e+00, 3.453294015e-04, 1.468782181e-06, 1.732394376e-04, 1.040312938e-06, 1.720899639e-04, 1.036855866e-06, 1.005054545e-01, 4.274777071e-04, 5.042000000e-02, 3.027750440e-04, 5.008545455e-02, 3.017688897e-04
4.867500000e+00, 3.147668759e-04, 1.386436440e-06, 1.573590109e-04, 9.802825261e-07, 1.574078650e-04, 9.804346848e-07, 9.371636364e-02, 4.127873404e-04, 4.685090909e-02, 2.918620754e-04, 4.686545455e-02, 2.919073780e-04
4.922500000e+00, 2.895546416e-04, 1.314894791e-06, 1.459984027e-04, 9.336837312e-07, 1.435562389e-04, 9.258417802e-07, 8.816909091e-02, 4.003841131e-04, 4.445636364e-02, 2.843057370e-04, 4.371272727e-02, 2.819178709e-04
4.977500000e+00, 2.673242338e-04, 1.249451522e-06, 1.359980504e-04, 8.911823702e-07, 1.313261834e-04, 8.757414513e-07, 8.322909091e-02, 3.890059380e-04, 4.234181818e-02, 2.774619325e-04, 4.088727273e-02, 2.726545358e-04
5.032500000e+00, 2.364906282e-04, 1.162344181e-06, 1.175083518e-04, 8.193362045e-07, 1.189822764e-04, 8.244587189e-07, 7.526545455e-02, 3.699273996e-04, 3.739818182e-02, 2.607617576e-04, 3.786727273e-02, 2.623920479e-04
5.087500000e+00, 2.149982595e-04, 1.096287995e-06, 1.086311114e-04, 7.792634333e-07, 1.063671481e-04, 7.711004270e-07, 6.992909091e-02, 3.565722951e-04, 3.533272727e-02, 2.534587192e-04, 3.459636364e-02, 2.508036669e-04
5.142500000e+00, 1.965657049e-04, 1.037029777e-06, 9.808042170e-05, 7.325352284e-07, 9.848528315e-05, 7.340455698e-07, 6.532363636e-02, 3.446305963e-04, 3.259454545e-02, 2.434395406e-04, 3.272909091e-02, 2.439414643e-04
5.197500000e+00, 1.786682654e-04, 9.782298469e-07, 8.967423389e-05, 6.930284068e-07, 8.899403156e-05, 6.903950034e-07, 6.065272727e-02, 3.320808425e-04, 3.044181818e-02, 2.352631725e-04, 3.021090909e-02, 2.343692079e-04
5.252500000e+00, 1.617303935e-04, 9.209615516e-07, 8.123492314e-05, 6.527051885e-07, 8.049547032e-05, 6.497277249e-07, 5.607090909e-02, 3.192915712e-04, 2.816363636e-02, 2.262887792e-04, 2.790727273e-02, 2.252565113e-04
5.307500000e+00, 1.460483944e-04, 8.661042520e-07, 7.324248654e-05, 6.133428645e-07, 7.280590790e-05, 6.115121470e-07, 5.170000000e-02, 3.065941943e-04, 2.592727273e-02, 2.171186217e-04, 2.577272727e-02, 2.164705618e-04
5.362500000e+00, 1.293472859e-04, 8.067206513e-07, 6.428622498e-05, 5.687265152e-07, 6.506106090e-05, 5.721436535e-07, 4.674181818e-02, 2.915220814e-04, 2.323090909e-02, 2.055188958e-04, 2.351090909e-02, 2.067537362e-04
5.417500000e+00, 1.198326336e-04, 7.686001947e-07, 5.990152751e-05, 5.434153311e-07, 5.993110608e-05, 5.435494801e-07, 4.419636364e-02, 2.834731465e-04, 2.209272727e-02, 2.004210444e-04, 2.210363636e-02, 2.004705209e-04
5.472500000e+00, 1.056286840e-04, 7.143598868e-07, 5.330712127e-05, 5.074797769e-07, 5.232156275e-05, 5.027666695e-07, 3.975272727e-02, 2.688450966e-04, 2.006181818e-02, 1.909869971e-04, 1.969090909e-02, 1.892132471e-04
