#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  2.7300000000000e+00,  4.1797080655794e-03,  2.0327537795232e-06,  2.0928282564285e-03,  1.4383964341853e-06,  2.0868798091509e-03,  1.4363508019592e-06,  3.4864951790506e-03,  1.1741844720544e-06,  3.4799279957136e-03,  1.0708688954542e-06,  1.1171344999230e+00,  5.4742793125877e-04,  1.1168503459666e+00,  5.0004156685425e-04,  3.9147009259259e-01,  1.9038705522070e-04,  1.9601361111111e-01,  1.3471974033605e-04,  1.9545648148148e-01,  1.3452814708973e-04,  3.2654400000000e-01,  1.0997373423787e-04,  3.2592891975309e-01,  1.0029723106986e-04,  1.1171344999230e+00,  5.4742793125877e-04,  1.1168503459666e+00,  5.0004156685425e-04
  2.7900000000000e+00,  3.7940398544895e-03,  1.8950538811650e-06,  1.9003072778086e-03,  1.3411659969181e-06,  1.8937325766808e-03,  1.3388438972595e-06,  3.3517894500656e-03,  1.1265201874124e-06,  3.3531360679950e-03,  1.0285740884029e-06,  1.1183239645894e+00,  5.4704880074666e-04,  1.1182188888731e+00,  4.9922536663867e-04,  3.7113925925926e-01,  1.8537730774749e-04,  1.8589120370370e-01,  1.3119507799869e-04,  1.8524805555556e-01,  1.3096792636606e-04,  3.2787759259259e-01,  1.1019806958593e-04,  3.2800932098765e-01,  1.0061682003983e-04,  1.1183239645894e+00,  5.4704880074666e-04,  1.1182188888731e+00,  4.9922536663867e-04
  2.8500000000000e+00,  3.4335082311295e-03,  1.7648156917040e-06,  1.7171718403600e-03,  1.2480649565476e-06,  1.7163363907694e-03,  1.2477613112781e-06,  3.2123024059423e-03,  1.0796140239960e-06,  3.2174902364584e-03,  9.8634376059177e-07,  1.1171470689036e+00,  5.4630850098442e-04,  1.1198969612385e+00,  4.9985783789312e-04,  3.5047231481481e-01,  1.8014200026821e-04,  1.7527879629630e-01,  1.2739512618457e-04,  1.7519351851852e-01,  1.2736413186234e-04,  3.2789292592593e-01,  1.1020064628531e-04,  3.2842246913580e-01,  1.0068016667140e-04,  1.1171470689036e+00,  5.4630850098442e-04,  1.1198969612385e+00,  4.9985783789312e-04
  2.9100000000000e+00,  3.0934708916624e-03,  1.6406106461551e-06,  1.5451618850237e-03,  1.1594966597488e-06,  1.5483090066386e-03,  1.1606768664486e-06,  3.0804050729059e-03,  1.0354196892188e-06,  3.0857038732450e-03,  9.4601713764537e-07,  1.1168275698291e+00,  5.4618209271716e-04,  1.1209129310583e+00,  5.0047000945650e-04,  3.2919805555556e-01,  1.7458894993764e-04,  1.6443157407407e-01,  1.2339021739019e-04,  1.6476648148148e-01,  1.2351581150901e-04,  3.2780762962963e-01,  1.1018631185232e-04,  3.2837151234568e-01,  1.0067235579118e-04,  1.1168275698291e+00,  5.4618209271716e-04,  1.1209129310583e+00,  5.0047000945650e-04
  2.9700000000000e+00,  2.7639619906765e-03,  1.5194464159247e-06,  1.3786782478065e-03,  1.0731262481024e-06,  1.3852837428700e-03,  1.0756939464830e-06,  2.9566018822190e-03,  9.9390706115765e-07,  2.9509069119387e-03,  9.0643461763908e-07,  1.1220616569717e+00,  5.4947589876921e-04,  1.1181895709586e+00,  4.9989503552161e-04,  3.0638648148148e-01,  1.6843134701027e-04,  1.5282712962963e-01,  1.1895654732251e-04,  1.5355935185185e-01,  1.1924117789087e-04,  3.2774070370370e-01,  1.1017506333839e-04,  3.2710941358025e-01,  1.0047870199672e-04,  1.1220616569717e+00,  5.4947589876921e-04,  1.1181895709586e+00,  4.9989503552161e-04
  3.0300000000000e+00,  2.4679073937211e-03,  1.4073363195984e-06,  1.2358994561876e-03,  9.9592133665321e-07,  1.2320079375335e-03,  9.9435215475181e-07,  2.8303428479782e-03,  9.5319769825964e-07,  2.8192451580931e-03,  8.6843888383250e-07,  1.1258139234962e+00,  5.5280654715549e-04,  1.1201140701303e+00,  5.0239844204695e-04,  2.8473324074074e-01,  1.6237052983062e-04,  1.4259111111111e-01,  1.1490378870358e-04,  1.4214212962963e-01,  1.1472274534302e-04,  3.2654900000000e-01,  1.0997457618653e-04,  3.2526861111111e-01,  1.0019558205791e-04,  1.1258139234962e+00,  5.5280654715549e-04,  1.1201140701303e+00,  5.0239844204695e-04
  3.0900000000000e+00,  2.1815960342254e-03,  1.2974930968620e-06,  1.0873798721082e-03,  9.1602754488195e-07,  1.0942161621171e-03,  9.1890253749905e-07,  2.7052117089595e-03,  9.1379444390731e-07,  2.7026385249759e-03,  8.3377955647482e-07,  1.1245707183599e+00,  5.5369375028199e-04,  1.1220645299088e+00,  5.0426683521279e-04,  2.6176694444444e-01,  1.5568455299468e-04,  1.3047333333333e-01,  1.0991298466301e-04,  1.3129361111111e-01,  1.1025795138502e-04,  3.2459492592593e-01,  1.0964503770601e-04,  3.2428617283951e-01,  1.0004415272792e-04,  1.1245707183599e+00,  5.5369375028199e-04,  1.1220645299088e+00,  5.0426683521279e-04
  3.1500000000000e+00,  1.9290435590430e-03,  1.1968427365125e-06,  9.6129498064711e-04,  8.4487879186074e-07,  9.6774857839586e-04,  8.4771007013398e-07,  2.5769878917736e-03,  8.7488758932491e-07,  2.5759934045632e-03,  7.9850532610586e-07,  1.1220143357921e+00,  5.5489708142414e-04,  1.1235366881099e+00,  5.0751655500432e-04,  2.4053935185185e-01,  1.4923860830397e-04,  1.1986731481482e-01,  1.0535096319359e-04,  1.2067203703704e-01,  1.0570400542406e-04,  3.2133385185185e-01,  1.0909286765087e-04,  3.2120984567901e-01,  9.9568489623453e-05,  1.1220143357921e+00,  5.5489708142414e-04,  1.1235366881099e+00,  5.0751655500432e-04
  3.2100000000000e+00,  1.6906774685637e-03,  1.0995176828257e-06,  8.4489646846310e-04,  7.7727300220869e-07,  8.4578100010063e-04,  7.7767976370992e-07,  2.4610015559316e-03,  8.3899191467915e-07,  2.4606986080169e-03,  7.6584418687584e-07,  1.1257771634642e+00,  5.5957356624182e-04,  1.1269806215987e+00,  5.1154072143347e-04,  2.1892398148148e-01,  1.4237534556960e-04,  1.0940472222222e-01,  1.0064823332989e-04,  1.0951925925926e-01,  1.0070090443305e-04,  3.1867240740741e-01,  1.0864014799249e-04,  3.1863317901235e-01,  9.9168328497178e-05,  1.1257771634642e+00,  5.5957356624182e-04,  1.1269806215987e+00,  5.1154072143347e-04
  3.2700000000000e+00,  1.4849519949387e-03,  1.0115458029194e-06,  7.4523293700980e-04,  7.1659762746143e-07,  7.3971905792889e-04,  7.1394170050535e-07,  2.3383935341456e-03,  8.0281992351090e-07,  2.3428916889879e-03,  7.3357550947931e-07,  1.1236368365761e+00,  5.6216866384462e-04,  1.1220750165528e+00,  5.1179362398314e-04,  1.9954000000000e-01,  1.3592617822158e-04,  1.0014046296296e-01,  9.6292601424841e-05,  9.9399537037037e-02,  9.5935711999040e-05,  3.1422096296296e-01,  1.0787869781877e-04,  3.1482540123457e-01,  9.8573999469623e-05,  1.1236368365761e+00,  5.6216866384462e-04,  1.1220750165528e+00,  5.1179362398314e-04
  3.3300000000000e+00,  1.2915972918998e-03,  9.2639594409418e-07,  6.4420660960568e-04,  6.5425292102517e-07,  6.4739068229409e-04,  6.5586779198569e-07,  2.2263833584445e-03,  7.6924211154424e-07,  2.2242114292850e-03,  7.0187615580934e-07,  1.1229049545421e+00,  5.6529009727035e-04,  1.1209334119597e+00,  5.1514293982931e-04,  1.7998537037037e-01,  1.2909419844180e-04,  8.9770833333333e-02,  9.1170796845979e-05,  9.0214537037037e-02,  9.1395830724381e-05,  3.1024874074074e-01,  1.0719465519096e-04,  3.0994608024691e-01,  9.7807142094316e-05,  1.1229049545421e+00,  5.6529009727035e-04,  1.1209334119597e+00,  5.1514293982931e-04
  3.3900000000000e+00,  1.1104256692279e-03,  8.4376706575178e-07,  5.5565907090437e-04,  5.9687312922133e-07,  5.5476659832352e-04,  5.9639360229710e-07,  2.1137207763457e-03,  7.3626071337727e-07,  2.1160268434282e-03,  6.7247753777868e-07,  1.1193822500377e+00,  5.6763226514910e-04,  1.1235225305894e+00,  5.2031558243383e-04,  1.6036518518519e-01,  1.2185494761349e-04,  8.0247037037037e-02,  8.6199078922765e-05,  8.0118148148148e-02,  8.6129826719636e-05,  3.0525881481481e-01,  1.0632912127060e-04,  3.0559185185185e-01,  9.7117698074955e-05,  1.1193822500377e+00,  5.6763226514910e-04,  1.1235225305894e+00,  5.2031558243383e-04
  3.4500000000000e+00,  9.5715331699876e-04,  7.6974943083531e-07,  4.7846306504340e-04,  5.4423044244178e-07,  4.7869025195536e-04,  5.4435963460832e-07,  2.0066200428781e-03,  7.0488974229649e-07,  2.0043913000660e-03,  6.4311590342147e-07,  1.1184825168291e+00,  5.7187049069380e-04,  1.1200295776866e+00,  5.2324753597775e-04,  1.4316620370370e-01,  1.1513526815257e-04,  7.1566111111111e-02,  8.1403266332177e-05,  7.1600092592593e-02,  8.1422590249990e-05,  3.0014018518518e-01,  1.0543388048918e-04,  2.9980682098765e-01,  9.6194058777366e-05,  1.1184825168291e+00,  5.7187049069380e-04,  1.1200295776866e+00,  5.2324753597775e-04
  3.5100000000000e+00,  8.1748341662712e-04,  6.9921423591482e-07,  4.0838227688878e-04,  4.9420169351296e-07,  4.0910113973834e-04,  4.9463646634156e-07,  1.8973742602339e-03,  6.7371665575559e-07,  1.9011837150216e-03,  6.1563343975486e-07,  1.1169606175440e+00,  5.7705675565515e-04,  1.1166703803833e+00,  5.2607750155446e-04,  1.2656500000000e-01,  1.0825424463494e-04,  6.3226851851852e-02,  7.6513646720247e-05,  6.3338148148148e-02,  7.6580959428899e-05,  2.9375662962963e-01,  1.0430664011206e-04,  2.9434641975309e-01,  9.5314039059112e-05,  1.1169606175440e+00,  5.7705675565515e-04,  1.1166703803833e+00,  5.2607750155446e-04
  3.5700000000000e+00,  7.0338001803662e-04,  6.3768305399926e-07,  3.4994205622897e-04,  4.4978807029890e-07,  3.5343796180765e-04,  4.5202916849979e-07,  1.7987745961793e-03,  6.4495324352073e-07,  1.7957118583731e-03,  5.8825761895603e-07,  1.1140790364506e+00,  5.8080199279078e-04,  1.1125193606453e+00,  5.2971081092125e-04,  1.1265398148148e-01,  1.0213189615026e-04,  5.6047037037037e-02,  7.2038465186263e-05,  5.6606944444445e-02,  7.2397401506242e-05,  2.8809337037037e-01,  1.0329629629630e-04,  2.8760283950617e-01,  9.4215873657023e-05,  1.1140790364506e+00,  5.8080199279078e-04,  1.1125193606453e+00,  5.2971081092125e-04
  3.6300000000000e+00,  5.9788551787485e-04,  5.7820339642421e-07,  2.9997582403725e-04,  4.0955737327662e-07,  2.9790969383760e-04,  4.0814449111957e-07,  1.7006276853998e-03,  6.1674585525807e-07,  1.7026722689463e-03,  5.6334769994327e-07,  1.1114298072421e+00,  5.8568939266225e-04,  1.1137221745049e+00,  5.3573038765826e-04,  9.9003611111111e-02,  9.5744456909038e-05,  4.9672870370370e-02,  6.7818432959693e-05,  4.9330740740741e-02,  6.7584474398328e-05,  2.8160622222222e-01,  1.0212668643555e-04,  2.8194478395062e-01,  9.3284508385094e-05,  1.1114298072421e+00,  5.8568939266225e-04,  1.1137221745049e+00,  5.3573038765826e-04
