#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike
  3.3300000000000e+00,  8.4388424646129e-03,  8.2028570819722e-06,  4.2216418439351e-03,  5.8018219669081e-06,  4.2172006206778e-03,  5.7987693669920e-06,  1.1890262972434e-02,  9.7368714215504e-06,  1.7864274370030e-02,  1.1934834341160e-05,  1.1759611111111e+00,  1.1430763127587e-03,  5.8829000000000e-01,  8.0848967560233e-04,  5.8767111111111e-01,  8.0806429276052e-04,  1.6569200000000e+00,  1.3568427404170e-03,  2.4894044444444e+00,  1.6631310646704e-03
  3.3900000000000e+00,  7.6172688650010e-03,  7.6554035474191e-06,  3.8252682749125e-03,  5.4249956695910e-06,  3.7920005900885e-03,  5.4013540393827e-06,  1.1294032779952e-02,  9.3216537785141e-06,  1.6945900066154e-02,  1.1418282061300e-05,  1.1000688888889e+00,  1.1055762142123e-03,  5.5243666666667e-01,  7.8346570985495e-04,  5.4763222222222e-01,  7.8005143863311e-04,  1.6310588888889e+00,  1.3462123362683e-03,  2.4472888888889e+00,  1.6490026914906e-03
  3.4500000000000e+00,  6.8500011049375e-03,  7.1333669598472e-06,  3.4248891256454e-03,  5.0439700993156e-06,  3.4251119792920e-03,  5.0441341993498e-06,  1.0727840267317e-02,  8.9269971132833e-06,  1.6121032227458e-02,  1.0943233554728e-05,  1.0245888888889e+00,  1.0669733355457e-03,  5.1227777777778e-01,  7.5445180817876e-04,  5.1231111111111e-01,  7.5447635344074e-04,  1.6046166666667e+00,  1.3352555588379e-03,  2.4113033333333e+00,  1.6368341168017e-03
  3.5100000000000e+00,  6.1777829335289e-03,  6.6585203521484e-06,  3.0921747920923e-03,  4.7107865557438e-06,  3.0856081414366e-03,  4.7057819016820e-06,  1.0183195826810e-02,  8.5487665395487e-06,  1.5301831834581e-02,  1.0479320466114e-05,  9.5646111111111e-01,  1.0308901822703e-03,  4.7873888888889e-01,  7.2933675264958e-04,  4.7772222222222e-01,  7.2856191853253e-04,  1.5765900000000e+00,  1.3235432243288e-03,  2.3690711111111e+00,  1.6224368199002e-03
  3.5700000000000e+00,  5.5777794989238e-03,  6.2205839671335e-06,  2.7981859561272e-03,  4.4059419627574e-06,  2.7795935427966e-03,  4.3912800312633e-06,  9.6778991985268e-03,  8.1939070481089e-06,  1.4509658112560e-02,  1.0032959878487e-05,  8.9334222222223e-01,  9.9629436871630e-04,  4.4816000000000e-01,  7.0565965986130e-04,  4.4518222222223e-01,  7.0331139161843e-04,  1.5500211111111e+00,  1.3123435826842e-03,  2.3238800000000e+00,  1.6068879515663e-03
  3.6300000000000e+00,  4.9971743735270e-03,  5.7906124073557e-06,  2.5028480560792e-03,  4.0980710814757e-06,  2.4943263174479e-03,  4.0910885426002e-06,  9.1918291090181e-03,  7.8534994061176e-06,  1.3779604396630e-02,  9.6156936647530e-06,  8.2748000000000e-01,  9.5886506987283e-04,  4.1444555555556e-01,  6.7859786451800e-04,  4.1303444444444e-01,  6.7744162884622e-04,  1.5220711111111e+00,  1.3004576592326e-03,  2.2817588888889e+00,  1.5922586643887e-03
  3.6900000000000e+00,  4.4605621017407e-03,  5.3819227266854e-06,  2.2421091376236e-03,  3.8156720175456e-06,  2.2184529641170e-03,  3.7954893347937e-06,  8.6692635541189e-03,  7.5029796041373e-06,  1.3031272335709e-02,  9.1989037195689e-06,  7.6324111111111e-01,  9.2089395644251e-04,  3.8364444444444e-01,  6.5289478856725e-04,  3.7959666666667e-01,  6.4944135537712e-04,  1.4833866666667e+00,  1.2838253025266e-03,  2.2297644444444e+00,  1.5740127221159e-03
  3.7500000000000e+00,  3.9993455749202e-03,  5.0145547711076e-06,  1.9930269331950e-03,  3.5399285552805e-06,  2.0063186417253e-03,  3.5517130199311e-06,  8.2136471248804e-03,  7.1863097650437e-06,  1.2320483262258e-02,  8.8014005205573e-06,  7.0675777777778e-01,  8.8616387860998e-04,  3.5220444444444e-01,  6.2557035703823e-04,  3.5455333333333e-01,  6.2765288826560e-04,  1.4515022222222e+00,  1.2699528522404e-03,  2.1772555555556e+00,  1.5553690364367e-03
  3.8100000000000e+00,  3.6164102655522e-03,  4.6933527479647e-06,  1.8158919765521e-03,  3.3257481240574e-06,  1.8005182890001e-03,  3.3116399913271e-06,  7.7713625115316e-03,  6.8800712201491e-06,  1.1607475197845e-02,  8.4083974552345e-06,  6.5970000000000e-01,  8.5615419172016e-04,  3.3125222222222e-01,  6.0667785907461e-04,  3.2844777777778e-01,  6.0410427519481e-04,  1.4176400000000e+00,  1.2550520130877e-03,  2.1174177777778e+00,  1.5338469349166e-03
  3.8700000000000e+00,  3.1659831418319e-03,  4.3232743641423e-06,  1.5841191587061e-03,  3.0581052045711e-06,  1.5818639831258e-03,  3.0559276472824e-06,  7.3237594436950e-03,  6.5754508242496e-06,  1.0969628599643e-02,  8.0473790963521e-06,  5.9586666666667e-01,  8.1367934352180e-04,  2.9814555555556e-01,  5.7556306301410e-04,  2.9772111111111e-01,  5.7515322703424e-04,  1.3783977777778e+00,  1.2375593264243e-03,  2.0645833333333e+00,  1.5145895422462e-03
