#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_alike_err,        dens_unlike,    dens_unlike_err,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_alike_err,        prob_unlike,    prob_unlike_err
 1.350000000000e+00, 9.122221475778e-03, 6.072450542670e-06, 4.588155672492e-03, 4.306582315298e-06, 4.534065803286e-03, 4.281121857030e-06, 3.600809604859e-03, 2.412924622353e-06, 3.857650719689e-03, 2.279893206416e-06, 2.089534259259e-01, 1.390954328423e-04, 1.050962037037e-01, 9.864648991508e-05, 1.038572222222e-01, 9.806329315815e-05, 8.248007407407e-02, 5.527040399978e-05, 8.836327160494e-02, 5.222318899960e-05
 1.410000000000e+00, 9.089040428186e-03, 5.803504567799e-06, 4.537472096545e-03, 4.100513978025e-06, 4.551568331642e-03, 4.106878423387e-06, 3.793178284268e-03, 2.371171336670e-06, 3.966394234221e-03, 2.213444437684e-06, 2.271075925926e-01, 1.450120022467e-04, 1.133776851852e-01, 1.024594252055e-04, 1.137299074074e-01, 1.026184534193e-04, 9.478003703704e-02, 5.924839020693e-05, 9.910817901235e-02, 5.530727270406e-05
 1.470000000000e+00, 8.866628376793e-03, 5.498129490729e-06, 4.452046854808e-03, 3.895969730404e-06, 4.414581521985e-03, 3.879542209669e-06, 3.882896320279e-03, 2.301142977508e-06, 4.050559679435e-03, 2.145520167099e-06, 2.408037962963e-01, 1.493206208305e-04, 1.209106481481e-01, 1.058084608341e-04, 1.198931481481e-01, 1.053623149951e-04, 1.054534074074e-01, 6.249545388130e-05, 1.100068827160e-01, 5.826898109546e-05
 1.530000000000e+00, 8.746633852267e-03, 5.246677932741e-06, 4.358768876138e-03, 3.703785721481e-06, 4.387864976129e-03, 3.716127104831e-06, 3.975235384589e-03, 2.237048258381e-06, 4.100229544520e-03, 2.073993497788e-06, 2.573293518519e-01, 1.543592946283e-04, 1.282366666667e-01, 1.089668088553e-04, 1.290926851852e-01, 1.093298971281e-04, 1.169529629630e-01, 6.581482523604e-05, 1.206303395062e-01, 6.101769109638e-05
 1.590000000000e+00, 8.469371401650e-03, 4.968049203894e-06, 4.236064121377e-03, 3.513512978608e-06, 4.233307280274e-03, 3.512369491023e-06, 3.989297117738e-03, 2.156445500108e-06, 4.086571061230e-03, 1.992412233625e-06, 2.690957407407e-01, 1.578488906860e-04, 1.345916666667e-01, 1.116341854363e-04, 1.345040740741e-01, 1.115978536209e-04, 1.267511851852e-01, 6.851633630159e-05, 1.298418518519e-01, 6.330453825224e-05
 1.650000000000e+00, 8.321855902229e-03, 4.745537558987e-06, 4.149260418354e-03, 3.350893814686e-06, 4.172595483875e-03, 3.360303165854e-06, 3.993487828468e-03, 2.079129294120e-06, 4.081053904408e-03, 1.918672529039e-06, 2.847382407407e-01, 1.623719554616e-04, 1.419699074074e-01, 1.146532241020e-04, 1.427683333333e-01, 1.149751717696e-04, 1.366400370370e-01, 7.113889310696e-05, 1.396361728395e-01, 6.564875033824e-05
 1.710000000000e+00, 8.143015011384e-03, 4.529574638045e-06, 4.083910179735e-03, 3.207767578055e-06, 4.059104831649e-03, 3.198010876592e-06, 3.964710466819e-03, 1.998943582735e-06, 4.041687756701e-03, 1.842406913641e-06, 2.992484259259e-01, 1.664577651710e-04, 1.500800000000e-01, 1.178825529767e-04, 1.491684259259e-01, 1.175240030353e-04, 1.456995185185e-01, 7.345936607165e-05, 1.485283641975e-01, 6.770678526949e-05
 1.770000000000e+00, 7.962993753121e-03, 4.327402770870e-06, 3.965031587641e-03, 3.053602180496e-06, 3.997962165480e-03, 3.066256425123e-06, 3.942918268385e-03, 1.925874639916e-06, 3.986448339221e-03, 1.767752964205e-06, 3.135265740741e-01, 1.703826233517e-04, 1.561150000000e-01, 1.202293333284e-04, 1.574115740741e-01, 1.207275682999e-04, 1.552443333333e-01, 7.582737054294e-05, 1.569582407407e-01, 6.960165333036e-05
 1.830000000000e+00, 7.683178900005e-03, 4.111337427241e-06, 3.841553149784e-03, 2.907140839271e-06, 3.841625750221e-03, 2.907168309761e-06, 3.888918555215e-03, 1.849937553460e-06, 3.915744930208e-03, 1.694568849776e-06, 3.233641666667e-01, 1.730350442633e-04, 1.616805555556e-01, 1.223536751009e-04, 1.616836111111e-01, 1.223548312594e-04, 1.636740370370e-01, 7.785885544845e-05, 1.648030864198e-01, 7.131980799859e-05
 1.890000000000e+00, 7.490196054562e-03, 3.930517575756e-06, 3.758037488763e-03, 2.784092779424e-06, 3.732158565799e-03, 2.774490189005e-06, 3.831863474355e-03, 1.778026212086e-06, 3.847560095444e-03, 1.626429445979e-06, 3.362506481481e-01, 1.764491974280e-04, 1.687062037037e-01, 1.249837780969e-04, 1.675444444444e-01, 1.245526976247e-04, 1.720204074074e-01, 7.981933475214e-05, 1.727250617284e-01, 7.301383720718e-05
 1.950000000000e+00, 7.231515418729e-03, 3.743226492464e-06, 3.609467308788e-03, 2.644557437705e-06, 3.622048109941e-03, 2.649162232209e-06, 3.758016479563e-03, 1.706635532159e-06, 3.765995881274e-03, 1.559591072901e-06, 3.455752777778e-01, 1.788790398715e-04, 1.724870370370e-01, 1.263765086868e-04, 1.730882407407e-01, 1.265965598169e-04, 1.795858148148e-01, 8.155566488370e-05, 1.799671296296e-01, 7.452879334829e-05
 2.010000000000e+00, 7.057101859691e-03, 3.587436330520e-06, 3.522209179274e-03, 2.534419966245e-06, 3.534892680417e-03, 2.538979098030e-06, 3.680340251067e-03, 1.638494509525e-06, 3.667613833309e-03, 1.493145682159e-06, 3.583113888889e-01, 1.821454925401e-04, 1.788337037037e-01, 1.286805201608e-04, 1.794776851852e-01, 1.289120017059e-04, 1.868625185185e-01, 8.319155016710e-05, 1.862163580247e-01, 7.581173034269e-05
 2.070000000000e+00, 6.799842203935e-03, 3.419377577207e-06, 3.377783750726e-03, 2.409980692185e-06, 3.422058453209e-03, 2.425723825748e-06, 3.605137933074e-03, 1.574666472097e-06, 3.603017479343e-03, 1.437044441852e-06, 3.661675000000e-01, 1.841314697387e-04, 1.818916666667e-01, 1.297760416551e-04, 1.842758333333e-01, 1.306238001304e-04, 1.941345555556e-01, 8.479486260547e-05, 1.940203703704e-01, 7.738399728705e-05
 2.130000000000e+00, 6.596259623484e-03, 3.272940415268e-06, 3.286395804215e-03, 2.310197780447e-06, 3.309863819268e-03, 2.318431620107e-06, 3.531670096536e-03, 1.514639533952e-06, 3.518259446493e-03, 1.380042726194e-06, 3.760932407407e-01, 1.866104182963e-04, 1.873775925926e-01, 1.317185525729e-04, 1.887156481481e-01, 1.321880143010e-04, 2.013621851852e-01, 8.635889479702e-05, 2.005975617284e-01, 7.868470479957e-05
 2.190000000000e+00, 6.364238132402e-03, 3.126789924020e-06, 3.190591272122e-03, 2.213915697102e-06, 3.173646860280e-03, 2.208029101955e-06, 3.458858641517e-03, 1.457880393916e-06, 3.442531991489e-03, 1.327711931780e-06, 3.835938888889e-01, 1.884620722450e-04, 1.923075925926e-01, 1.334400935753e-04, 1.912862962963e-01, 1.330852888245e-04, 2.084769629630e-01, 8.787132068331e-05, 2.074929012346e-01, 8.002563270575e-05
 2.250000000000e+00, 6.087451921219e-03, 2.976497873514e-06, 3.036273700934e-03, 2.102123675155e-06, 3.051178220284e-03, 2.107276831693e-06, 3.376236749414e-03, 1.401955557528e-06, 3.355305027369e-03, 1.275831089817e-06, 3.872899074074e-01, 1.893678341530e-04, 1.931708333333e-01, 1.337392547893e-04, 1.941190740741e-01, 1.340671038704e-04, 2.147996296296e-01, 8.919384417175e-05, 2.134679320988e-01, 8.116967674447e-05
 2.310000000000e+00, 5.855942786126e-03, 2.843527383767e-06, 2.934222781196e-03, 2.012822807396e-06, 2.921720004930e-03, 2.008529892299e-06, 3.287759318902e-03, 1.347531750675e-06, 3.272891301803e-03, 1.227337958550e-06, 3.926947222222e-01, 1.906846150794e-04, 1.967665740741e-01, 1.349782472441e-04, 1.959281481481e-01, 1.346903678772e-04, 2.204744444444e-01, 9.036437442161e-05, 2.194774074074e-01, 8.230427726300e-05
 2.370000000000e+00, 5.604139612329e-03, 2.711300909071e-06, 2.813684574063e-03, 1.921148568148e-06, 2.790455038266e-03, 1.913201714046e-06, 3.208018176167e-03, 1.297393304900e-06, 3.186034439933e-03, 1.180287621313e-06, 3.955839814815e-01, 1.913848124420e-04, 1.986118518519e-01, 1.356096835870e-04, 1.969721296296e-01, 1.350487325038e-04, 2.264470000000e-01, 9.158016120277e-05, 2.248952160494e-01, 8.331392663831e-05
 2.430000000000e+00, 5.362030276970e-03, 2.586607399738e-06, 2.681008899675e-03, 1.829005504540e-06, 2.681021377295e-03, 1.829009760701e-06, 3.126263799991e-03, 1.249133027130e-06, 3.112963738032e-03, 1.137869058989e-06, 3.978998148148e-01, 1.919441987814e-04, 1.989494444444e-01, 1.357248866493e-04, 1.989503703704e-01, 1.357252024859e-04, 2.319904444444e-01, 9.269432929326e-05, 2.310034876543e-01, 8.443777160301e-05
 2.490000000000e+00, 5.109626682349e-03, 2.464154430737e-06, 2.546184091902e-03, 1.739475181347e-06, 2.563442590447e-03, 1.745360464774e-06, 3.043341981507e-03, 1.202759263813e-06, 3.027773008726e-03, 1.095151911811e-06, 3.981243518519e-01, 1.919983487226e-04, 1.983898148148e-01, 1.355338603363e-04, 1.997345370370e-01, 1.359924211658e-04, 2.371266296296e-01, 9.371482147484e-05, 2.359135493827e-01, 8.533043061157e-05
 2.550000000000e+00, 4.898388515297e-03, 2.355914937593e-06, 2.457702661348e-03, 1.668774526033e-06, 2.440685853949e-03, 1.662987304353e-06, 2.962626394813e-03, 1.158781175025e-06, 2.953713098817e-03, 1.056225185232e-06, 4.002796296296e-01, 1.925173464117e-04, 2.008350925926e-01, 1.363665718082e-04, 1.994445370370e-01, 1.358936597590e-04, 2.420957407407e-01, 9.469165177735e-05, 2.413673765432e-01, 8.631112551193e-05
 2.610000000000e+00, 4.611209828613e-03, 2.233266557362e-06, 2.301825266922e-03, 1.577863015484e-06, 2.309384561691e-03, 1.580451777373e-06, 2.886782294382e-03, 1.117558155604e-06, 2.861671317276e-03, 1.015739561841e-06, 3.947525000000e-01, 1.911835699201e-04, 1.970526851852e-01, 1.350763450743e-04, 1.976998148148e-01, 1.352979615840e-04, 2.471291851852e-01, 9.567096103122e-05, 2.449795061728e-01, 8.695456209729e-05
 2.670000000000e+00, 4.381854406832e-03, 2.128098682010e-06, 2.186623043006e-03, 1.503314170666e-06, 2.195231363826e-03, 1.506270395596e-06, 2.803163609920e-03, 1.076507376338e-06, 2.783412875968e-03, 9.792441362185e-07, 3.925623148148e-01, 1.906524651896e-04, 1.958955555556e-01, 1.346791645588e-04, 1.966667592593e-01, 1.349440073386e-04, 2.511302962963e-01, 9.644232517442e-05, 2.493608641975e-01, 8.772868954373e-05
 2.730000000000e+00, 4.132350832749e-03, 2.021205146561e-06, 2.073598865038e-03, 1.431773024704e-06, 2.058751967711e-03, 1.426638093637e-06, 2.720567294581e-03, 1.037221557917e-06, 2.705960233271e-03, 9.443041106173e-07, 3.870346296296e-01, 1.893054140286e-04, 1.942125925926e-01, 1.340993939669e-04, 1.928220370370e-01, 1.336184579998e-04, 2.548074444444e-01, 9.714583242323e-05, 2.534393518519e-01, 8.844321465013e-05
 2.790000000000e+00, 3.900232730897e-03, 1.921391563934e-06, 1.947338256060e-03, 1.357660917020e-06, 1.952894474837e-03, 1.359596402008e-06, 2.649916535706e-03, 1.001651651740e-06, 2.626044420000e-03, 9.102507069192e-07, 3.815272222222e-01, 1.879537034756e-04, 1.904918518519e-01, 1.328086383890e-04, 1.910353703704e-01, 1.329979707344e-04, 2.592192222222e-01, 9.798322271775e-05, 2.568840123457e-01, 8.904223098933e-05
 2.850000000000e+00, 3.671442641735e-03, 1.824940393472e-06, 1.833078905387e-03, 1.289498644700e-06, 1.838363736348e-03, 1.291356141831e-06, 2.567447440959e-03, 9.651861619590e-07, 2.552910497134e-03, 8.785924710898e-07, 3.747592592593e-01, 1.862791760044e-04, 1.871099074074e-01, 1.316244332433e-04, 1.876493518519e-01, 1.318140356194e-04, 2.620699259259e-01, 9.852052351065e-05, 2.605860802469e-01, 8.968154913099e-05
 2.910000000000e+00, 3.441611105493e-03, 1.730467334741e-06, 1.720620223218e-03, 1.223559293464e-06, 1.720990882275e-03, 1.223691077022e-06, 2.492770905393e-03, 9.314374333611e-07, 2.475756262546e-03, 8.473753460829e-07, 3.662461111111e-01, 1.841512339213e-04, 1.831033333333e-01, 1.302075740719e-04, 1.831427777778e-01, 1.302215980898e-04, 2.652733333333e-01, 9.912082662894e-05, 2.634626851852e-01, 9.017518703927e-05
 2.970000000000e+00, 3.209754389945e-03, 1.637401774087e-06, 1.603897396577e-03, 1.157464412583e-06, 1.605856993368e-03, 1.158171275497e-06, 2.412306416049e-03, 8.977710307286e-07, 2.396104632389e-03, 8.167922678824e-07, 3.558027777778e-01, 1.815067537203e-04, 1.777927777778e-01, 1.283054723645e-04, 1.780100000000e-01, 1.283838284497e-04, 2.674052962963e-01, 9.951833932912e-05, 2.656093209877e-01, 9.054180553204e-05
 3.030000000000e+00, 3.006712990012e-03, 1.553386237712e-06, 1.502877378356e-03, 1.098234898035e-06, 1.503835611656e-03, 1.098584959049e-06, 2.342733072741e-03, 8.672111761875e-07, 2.322861047581e-03, 7.882871634536e-07, 3.468975925926e-01, 1.792209459362e-04, 1.733935185185e-01, 1.267081505602e-04, 1.735040740741e-01, 1.267485386263e-04, 2.702913333333e-01, 1.000539360718e-04, 2.679986111111e-01, 9.094812846524e-05
 3.090000000000e+00, 2.809655774495e-03, 1.472463187421e-06, 1.402790658934e-03, 1.040433484720e-06, 1.406865115560e-03, 1.041943377629e-06, 2.262097574014e-03, 8.356098502575e-07, 2.245299803452e-03, 7.599664674297e-07, 3.371270370370e-01, 1.766789925043e-04, 1.683190740741e-01, 1.248402957835e-04, 1.688079629630e-01, 1.250214659209e-04, 2.714262222222e-01, 1.002637673602e-04, 2.694106790123e-01, 9.118741368172e-05
 3.150000000000e+00, 2.584346225858e-03, 1.385292296552e-06, 1.292049476521e-03, 9.795027135575e-07, 1.292296749338e-03, 9.795964378352e-07, 2.188223935652e-03, 8.061984317755e-07, 2.172998365670e-03, 7.333902698768e-07, 3.222513888889e-01, 1.727370590342e-04, 1.611102777778e-01, 1.221377022576e-04, 1.611411111111e-01, 1.221493890735e-04, 2.728574814815e-01, 1.005277705287e-04, 2.709589506173e-01, 9.144905999849e-05
 3.210000000000e+00, 2.414255095728e-03, 1.313903332460e-06, 1.211788321682e-03, 9.308618187253e-07, 1.202466774046e-03, 9.272746311044e-07, 2.112614218979e-03, 7.773416371739e-07, 2.098662025468e-03, 7.072654780799e-07, 3.126192592593e-01, 1.701359095229e-04, 1.569131481481e-01, 1.205362816703e-04, 1.557061111111e-01, 1.200717806576e-04, 2.735601111111e-01, 1.006571207967e-04, 2.717534567901e-01, 9.158303538356e-05
 3.270000000000e+00, 2.232891569918e-03, 1.240404012464e-06, 1.122719355578e-03, 8.795589463317e-07, 1.110172214340e-03, 8.746303070807e-07, 2.044029290613e-03, 7.505902150285e-07, 2.026973245156e-03, 6.823272660245e-07, 3.000441666667e-01, 1.666789347337e-04, 1.508650925926e-01, 1.181904820824e-04, 1.491790740741e-01, 1.175281975914e-04, 2.746658518519e-01, 1.008603456659e-04, 2.723739506173e-01, 9.168753139939e-05
 3.330000000000e+00, 2.042903561816e-03, 1.165083401064e-06, 1.020523203783e-03, 8.234638226206e-07, 1.022380358033e-03, 8.242127542506e-07, 1.969137129239e-03, 7.234375687913e-07, 1.953526712328e-03, 6.577822223647e-07, 2.846806481481e-01, 1.623555335459e-04, 1.422109259259e-01, 1.147505046894e-04, 1.424697222222e-01, 1.148548690587e-04, 2.744012222222e-01, 1.008117464904e-04, 2.722258950617e-01, 9.166260850642e-05
 3.390000000000e+00, 1.884823871173e-03, 1.099292361450e-06, 9.420387897227e-04, 7.771631795856e-07, 9.427850814498e-04, 7.774709565237e-07, 1.896699142108e-03, 6.974403073478e-07, 1.886961018157e-03, 6.350364596126e-07, 2.722020370370e-01, 1.587573378406e-04, 1.360471296296e-01, 1.122361637227e-04, 1.361549074074e-01, 1.122806121780e-04, 2.739170370370e-01, 1.007227652808e-04, 2.725106790123e-01, 9.171054152226e-05
 3.450000000000e+00, 1.729783195567e-03, 1.034795327288e-06, 8.628862244829e-04, 7.308620133772e-07, 8.668969710840e-04, 7.325585893157e-07, 1.831040835554e-03, 6.733449894159e-07, 1.817982891208e-03, 6.124813805027e-07, 2.587323148148e-01, 1.547795070938e-04, 1.290662037037e-01, 1.093186828361e-04, 1.296661111111e-01, 1.095724481755e-04, 2.738779259259e-01, 1.007155741986e-04, 2.719247839506e-01, 9.161190012978e-05
