#                   r,             dens_tot,             dens_err,               dens_A,           dens_err_A,               dens_B,           dens_err_B,           dens_alike,       dens_err_alike,          dens_unlike,      dens_err_unlike,         dens_alike_n,     dens_err_alike_n,        dens_unlike_n,    dens_err_unlike_n,             prob_tot,             prob_err,               prob_A,           prob_err_A,               prob_B,           prob_err_B,           prob_alike,       prob_err_alike,          prob_unlike,      prob_err_unlike,         prob_alike_n,     prob_err_alike_n,        prob_unlike_n,    prob_err_unlike_n
  4.6500000000000e+00,  9.9315837406822e-05,  4.5062170263379e-07,  4.9429947198092e-05,  3.1790541321919e-07,  4.9885890208730e-05,  3.1936823124806e-07,                 -nan,                 -nan,  5.3489271204011e-04,  1.4789421546573e-06,                 -nan,                 -nan,  1.0034520585776e+00,  3.9270878148917e-03,  2.6986111111111e-02,  1.2244298244741e-04,  1.3431111111111e-02,  8.6381296558120e-05,  1.3555000000000e-02,  8.6778773646299e-05,                 -nan,                 -nan,  1.4534111111111e-01,  4.0185833754794e-04,                 -nan,                 -nan,  1.0034520585776e+00,  3.9270878148917e-03
  4.7100000000000e+00,  8.7128458472829e-05,  4.1669183148748e-07,  4.3722659108755e-05,  2.9518090180799e-07,  4.3405799364074e-05,  2.9410936339432e-07,                 -nan,                 -nan,  4.9477549490444e-04,  1.4042811316560e-06,                 -nan,                 -nan,  9.9882528060506e-01,  4.0079548588461e-03,  2.4289444444444e-02,  1.1616426215695e-04,  1.2188888888889e-02,  8.2289762050157e-05,  1.2100555555555e-02,  8.1991041365490e-05,                 -nan,                 -nan,  1.3793222222222e-01,  3.9148183187902e-04,                 -nan,                 -nan,  9.9882528060506e-01,  4.0079548588461e-03
  4.7700000000000e+00,  7.6066917902447e-05,  3.8444612089631e-07,  3.7970311110108e-05,  2.7161869047993e-07,  3.8096606792339e-05,  2.7207004034658e-07,                 -nan,                 -nan,  4.6459323966523e-04,  1.3436588413548e-06,                 -nan,                 -nan,  1.0080267784120e+00,  4.1311688654789e-03,  2.1749444444445e-02,  1.0992281242471e-04,  1.0856666666667e-02,  7.7662613151255e-05,  1.0892777777778e-02,  7.7791665426809e-05,                 -nan,                 -nan,  1.3283888888889e-01,  3.8418584751667e-04,                 -nan,                 -nan,  1.0080267784120e+00,  4.1311688654789e-03
  4.8300000000000e+00,  6.5174126116823e-05,  3.5143620506552e-07,  3.2537792086120e-05,  2.4831498702335e-07,  3.2636334030703e-05,  2.4869071846462e-07,                 -nan,                 -nan,  4.3007873697991e-04,  1.2767265092581e-06,                 -nan,                 -nan,  9.9731938829320e-01,  4.1841565490620e-03,  1.9106666666667e-02,  1.0302822338959e-04,  9.5388888888890e-03,  7.2796859245777e-05,  9.5677777777778e-03,  7.2907009942567e-05,                 -nan,                 -nan,  1.2608333333333e-01,  3.7428945028226e-04,                 -nan,                 -nan,  9.9731938829320e-01,  4.1841565490620e-03
  4.8900000000000e+00,  5.6773542788422e-05,  3.2398151355652e-07,  2.8105750861977e-05,  2.2795274594096e-07,  2.8667791926445e-05,  2.3022069139057e-07,                 -nan,                 -nan,  3.9835769735737e-04,  1.2136650242944e-06,                 -nan,                 -nan,  1.0004550351027e+00,  4.3110950132924e-03,  1.7060000000000e-02,  9.7353879110067e-05,  8.4455555555555e-03,  6.8497994924245e-05,  8.6144444444444e-03,  6.9179494571265e-05,                 -nan,                 -nan,  1.1970333333333e-01,  3.6469672839731e-04,                 -nan,                 -nan,  1.0004550351027e+00,  4.3110950132924e-03
  4.9500000000000e+00,  4.7980994934397e-05,  2.9422907231803e-07,  2.3859687775447e-05,  2.0748339038433e-07,  2.4121307158950e-05,  2.0861780775320e-07,                 -nan,                 -nan,  3.7087524659667e-04,  1.1568575352401e-06,                 -nan,                 -nan,  1.0004672487808e+00,  4.4138811054474e-03,  1.4773888888889e-02,  9.0596446118945e-05,  7.3466666666667e-03,  6.3886473384290e-05,  7.4272222222223e-03,  6.4235773272385e-05,                 -nan,                 -nan,  1.1419666666667e-01,  3.5620946812962e-04,                 -nan,                 -nan,  1.0004672487808e+00,  4.4138811054474e-03
  5.0100000000000e+00,  4.1144314108171e-05,  2.6919897853478e-07,  2.0336140868705e-05,  1.8925735446184e-07,  2.0808173239466e-05,  1.9144122812570e-07,                 -nan,                 -nan,  3.4607722562013e-04,  1.1041294716290e-06,                 -nan,                 -nan,  1.0087274370084e+00,  4.5612231641083e-03,  1.2977777777778e-02,  8.4910991886856e-05,  6.4144444444444e-03,  5.9695730558504e-05,  6.5633333333333e-03,  6.0384570018310e-05,                 -nan,                 -nan,  1.0916000000000e-01,  3.4826554364290e-04,                 -nan,                 -nan,  1.0087274370084e+00,  4.5612231641083e-03
  5.0700000000000e+00,  3.5627190933143e-05,  2.4753642386248e-07,  1.7520356941150e-05,  1.7358803887123e-07,  1.8106833991993e-05,  1.7646947016259e-07,                 -nan,                 -nan,  3.1779832684654e-04,  1.0455363171917e-06,                 -nan,                 -nan,  9.9267233969400e-01,  4.6101110111806e-03,  1.1508333333333e-02,  7.9959480479294e-05,  5.6594444444445e-03,  5.6072594040843e-05,  5.8488888888889e-03,  5.7003357059470e-05,                 -nan,                 -nan,  1.0265555555556e-01,  3.3773025981553e-04,                 -nan,                 -nan,  9.9267233969400e-01,  4.6101110111806e-03
  5.1300000000000e+00,  3.1632117846254e-05,  2.3051708014810e-07,  1.5945409590900e-05,  1.6366537680539e-07,  1.5686708255354e-05,  1.6233227859904e-07,                 -nan,                 -nan,  2.9490608349153e-04,  9.9539587934672e-07,                 -nan,                 -nan,  1.0016775268461e+00,  4.7834043479652e-03,  1.0461111111111e-02,  7.6234692857397e-05,  5.2733333333333e-03,  5.4126053150304e-05,  5.1877777777777e-03,  5.3685181991235e-05,                 -nan,                 -nan,  9.7528888888888e-02,  3.2918905221584e-04,                 -nan,                 -nan,  1.0016775268461e+00,  4.7834043479652e-03
  5.1900000000000e+00,  2.6015653776114e-05,  2.0663620218981e-07,  1.2851086307928e-05,  1.4523087678812e-07,  1.3164567468185e-05,  1.4699153881358e-07,                 -nan,                 -nan,  2.7343106982480e-04,  9.4738819268246e-07,                 -nan,                 -nan,  9.9723452651742e-01,  4.8830587002199e-03,  8.8061111111112e-03,  6.9944863647142e-05,  4.3500000000000e-03,  4.9159604012509e-05,  4.4561111111111e-03,  4.9755575405683e-05,                 -nan,                 -nan,  9.2554444444445e-02,  3.2068406821191e-04,                 -nan,                 -nan,  9.9723452651742e-01,  4.8830587002199e-03
  5.2500000000000e+00,  2.2147518618219e-05,  1.8847757537260e-07,  1.1125086119349e-05,  1.3358227616139e-07,  1.1022432498870e-05,  1.3296455134311e-07,                 -nan,                 -nan,  2.5295776841267e-04,  9.0081613613194e-07,                 -nan,                 -nan,  9.9807609548642e-01,  5.0240945260309e-03,  7.6711111111112e-03,  6.5281914762527e-05,  3.8533333333334e-03,  4.6268139585905e-05,  3.8177777777778e-03,  4.6054181724584e-05,                 -nan,                 -nan,  8.7615555555556e-02,  3.1201060444150e-04,                 -nan,                 -nan,  9.9807609548642e-01,  5.0240945260309e-03
  5.3100000000000e+00,  1.9583323868155e-05,  1.7522867907389e-07,  9.8747617070969e-06,  1.2443005586078e-07,  9.7085621610581e-06,  1.2337848746221e-07,                 -nan,                 -nan,  2.3385216879804e-04,  8.5634286351596e-07,                 -nan,                 -nan,  9.9336636828644e-01,  5.1358141135795e-03,  6.9388888888888e-03,  6.2088149204215e-05,  3.4988888888889e-03,  4.4088855286725e-05,  3.4400000000000e-03,  4.3716256828680e-05,                 -nan,                 -nan,  8.2859999999999e-02,  3.0342489460600e-04,                 -nan,                 -nan,  9.9336636828644e-01,  5.1358141135795e-03
  5.3700000000000e+00,  1.6805612254825e-05,  1.6051271483514e-07,  8.4058722854591e-06,  1.1352033507023e-07,  8.3997399693654e-06,  1.1347891940484e-07,                 -nan,                 -nan,  2.1674977849039e-04,  8.1522332981387e-07,                 -nan,                 -nan,  1.0032072660186e+00,  5.3403724866122e-03,  6.0900000000000e-03,  5.8166427888718e-05,  3.0461111111111e-03,  4.1137378995474e-05,  3.0438888888889e-03,  4.1122370830438e-05,                 -nan,                 -nan,  7.8545555555556e-02,  2.9541976830634e-04,                 -nan,                 -nan,  1.0032072660186e+00,  5.3403724866122e-03
  5.4300000000000e+00,  1.3918803489378e-05,  1.4446336547304e-07,  7.0471158461788e-06,  1.0279274929875e-07,  6.8716876431994e-06,  1.0150524447239e-07,                 -nan,                 -nan,  2.0018007284928e-04,  7.7478676914675e-07,                 -nan,                 -nan,  1.0073490576003e+00,  5.5239887636230e-03,  5.1572222222222e-03,  5.3526847999766e-05,  2.6111111111111e-03,  3.8086970002228e-05,  2.5461111111111e-03,  3.7609921202250e-05,                 -nan,                 -nan,  7.4171111111110e-02,  2.8707550518811e-04,                 -nan,                 -nan,  1.0073490576003e+00,  5.5239887636230e-03
  5.4900000000000e+00,  1.1534854588624e-05,  1.3007396282998e-07,  5.6559510800781e-06,  9.1082959170781e-08,  5.8789035085459e-06,  9.2860811729106e-08,                 -nan,                 -nan,  1.8364826219660e-04,  7.3399435356198e-07,                 -nan,                 -nan,  9.9118098766605e-01,  5.5900311421424e-03,  4.3688888888889e-03,  4.9266220616434e-05,  2.1422222222222e-03,  3.4498165991689e-05,  2.2266666666667e-03,  3.5171537314099e-05,                 -nan,                 -nan,  6.9557777777778e-02,  2.7800435203983e-04,                 -nan,                 -nan,  9.9118098766605e-01,  5.5900311421424e-03
  5.5500000000000e+00,  9.9620674816073e-06,  1.1957446792540e-07,  4.8884601415293e-06,  8.3762524247931e-08,  5.0736073400781e-06,  8.5334007940898e-08,                 -nan,                 -nan,  1.6847533918182e-04,  6.9541953289353e-07,                 -nan,                 -nan,  9.9624870571860e-01,  5.8101271882074e-03,  3.8561111111111e-03,  4.6284813390758e-05,  1.8922222222222e-03,  3.2422747692033e-05,  1.9638888888889e-03,  3.3031036658210e-05,                 -nan,                 -nan,  6.5213333333333e-02,  2.6918257606921e-04,                 -nan,                 -nan,  9.9624870571860e-01,  5.8101271882074e-03
  5.6100000000000e+00,  8.1641950941327e-06,  1.0709040756035e-07,  4.0020288752898e-06,  7.4978024436173e-08,  4.1621662188430e-06,  7.6463398061364e-08,                 -nan,                 -nan,  1.5463086647662e-04,  6.5910859777795e-07,                 -nan,                 -nan,  9.9312534959672e-01,  5.9762968488303e-03,  3.2288888888889e-03,  4.2353596783436e-05,  1.5827777777778e-03,  2.9653346989072e-05,  1.6461111111111e-03,  3.0240803111682e-05,                 -nan,                 -nan,  6.1155555555556e-02,  2.6067339197538e-04,                 -nan,                 -nan,  9.9312534959672e-01,  5.9762968488303e-03
  5.6700000000000e+00,  6.9430905803685e-06,  9.7712504688143e-08,  3.4378543178691e-06,  6.8757086357382e-08,  3.5052362624994e-06,  6.9427636054196e-08,                 -nan,                 -nan,  1.4295423338736e-04,  6.2702843859487e-07,                 -nan,                 -nan,  1.0003464203233e+00,  6.2057352923879e-03,  2.8050000000000e-03,  3.9475730941090e-05,  1.3888888888889e-03,  2.7777777777778e-05,  1.4161111111111e-03,  2.8048679025254e-05,                 -nan,                 -nan,  5.7753333333333e-02,  2.5331871302841e-04,                 -nan,                 -nan,  1.0003464203233e+00,  6.2057352923879e-03
  5.7300000000000e+00,  6.0901923087729e-06,  9.0556100462304e-08,  3.0969361729334e-06,  6.4575583147136e-08,  2.9932561358395e-06,  6.3485442363948e-08,                 -nan,                 -nan,  1.3032984610894e-04,  5.9243287260732e-07,                 -nan,                 -nan,  9.9013871271329e-01,  6.3494042869733e-03,  2.5127777777778e-03,  3.7362918171912e-05,  1.2777777777778e-03,  2.6643508462849e-05,  1.2350000000000e-03,  2.6193722742503e-05,                 -nan,                 -nan,  5.3773333333334e-02,  2.4443434322564e-04,                 -nan,                 -nan,  9.9013871271329e-01,  6.3494042869733e-03
  5.7900000000000e+00,  4.7856792240253e-06,  7.9441987539346e-08,  2.2853629361355e-06,  5.4897921060755e-08,  2.5003162878898e-06,  5.7421665313788e-08,                 -nan,                 -nan,  1.1905250729858e-04,  5.6035413297160e-07,                 -nan,                 -nan,  9.8781074929972e-01,  6.5551902161868e-03,  2.0161111111111e-03,  3.3467323292954e-05,  9.6277777777778e-04,  2.3127398107221e-05,  1.0533333333333e-03,  2.4190601174530e-05,                 -nan,                 -nan,  5.0154444444445e-02,  2.3606600876413e-04,                 -nan,                 -nan,  9.8781074929972e-01,  6.5551902161868e-03
  5.8500000000000e+00,  4.3379324350902e-06,  7.4858727004655e-08,  2.2038453645813e-06,  5.3357024778303e-08,  2.1340870705089e-06,  5.2505779830082e-08,                 -nan,                 -nan,  1.1030594841200e-04,  5.3384540650485e-07,                 -nan,                 -nan,  1.0057479387515e+00,  6.8935654862470e-03,  1.8655555555555e-03,  3.2193473765445e-05,  9.4777777777777e-04,  2.2946529364515e-05,  9.1777777777777e-04,  2.2580446036557e-05,                 -nan,                 -nan,  4.7437777777777e-02,  2.2958362741125e-04,                 -nan,                 -nan,  1.0057479387515e+00,  6.8935654862470e-03
  5.9100000000000e+00,  3.5503551978458e-06,  6.7035580067325e-08,  1.7150557194585e-06,  4.6591703178284e-08,  1.8352994783873e-06,  4.8197325547269e-08,                 -nan,                 -nan,  1.0159458478085e-04,  5.0713051908417e-07,                 -nan,                 -nan,  1.0136899800460e+00,  7.1804331895691e-03,  1.5583333333333e-03,  2.9423472615257e-05,  7.5277777777778e-04,  2.0450180354785e-05,  8.0555555555556e-04,  2.1154925294067e-05,                 -nan,                 -nan,  4.4592222222223e-02,  2.2259136007547e-04,                 -nan,                 -nan,  1.0136899800460e+00,  7.1804331895691e-03
