#                 r,           dens_tot,           dens_err,             dens_A,         dens_err_A,             dens_B,         dens_err_B,         dens_alike,     dens_err_alike,        dens_unlike,    dens_err_unlike,       dens_alike_n,   dens_err_alike_n,      dens_unlike_n,  dens_err_unlike_n,           prob_tot,           prob_err,             prob_A,         prob_err_A,             prob_B,         prob_err_B,         prob_alike,     prob_err_alike,        prob_unlike,    prob_err_unlike,       prob_alike_n,   prob_err_alike_n,      prob_unlike_n,  prob_err_unlike_n
 6.666666666667e-02, 2.189926943767e-02, 1.660417914584e-04, 1.088102246334e-02, 1.170408454785e-04, 1.101824697433e-02, 1.177765553936e-04, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 1.630781250000e-03, 1.236469741593e-05, 8.102812500000e-04, 8.715725281782e-06, 8.205000000000e-04, 8.770511672645e-06, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00, 0.000000000000e+00
 3.400000000000e+00, 4.756846224005e-04, 5.540303016257e-07, 2.373944871691e-04, 3.913895959979e-07, 2.382901352313e-04, 3.921272233142e-07, 2.001329466638e-03, 9.278710560909e-07, 2.002673584010e-03, 8.038297010548e-07, 1.069561385016e+00, 7.133684681597e-04, 1.069788620599e+00, 6.177529829569e-04, 6.911025000000e-02, 8.049276947341e-05, 3.449006250000e-02, 5.686337449866e-05, 3.462018750000e-02, 5.697054131852e-05, 2.907648750000e-01, 1.348065454179e-04, 2.909601562500e-01, 1.167850903336e-04, 1.069561385016e+00, 7.133684681597e-04, 1.069788620599e+00, 6.177529829569e-04
 3.533333333333e+00, 3.037870551641e-04, 4.260444979806e-07, 1.513524879078e-04, 3.007219378071e-07, 1.524345672563e-04, 3.017950138440e-07, 1.693792168320e-03, 8.214001159826e-07, 1.697206504096e-03, 7.120699770184e-07, 1.015004611736e+00, 6.987159819102e-04, 1.018133233927e+00, 6.068306646779e-04, 4.766503125000e-02, 6.684756300485e-05, 2.374762500000e-02, 4.718410583820e-05, 2.391740625000e-02, 4.735247444366e-05, 2.657606875000e-01, 1.288799556516e-04, 2.662964062500e-01, 1.117257537140e-04, 1.015004611736e+00, 6.987159819102e-04, 1.018133233927e+00, 6.068306646779e-04
 3.666666666667e+00, 1.891628795473e-04, 3.239688895110e-07, 9.478173836724e-05, 2.293230365842e-07, 9.438114118004e-05, 2.288379039032e-07, 1.423965424882e-03, 7.257540059029e-07, 1.426046921208e-03, 6.289806121228e-07, 9.632313863726e-01, 6.878699967104e-04, 9.647183329617e-01, 5.964226444302e-04, 3.196218750000e-02, 5.473988562397e-05, 1.601493750000e-02, 3.874790820967e-05, 1.594725000000e-02, 3.866593704412e-05, 2.406024375000e-01, 1.226281058475e-04, 2.409541406250e-01, 1.062766453262e-04, 9.632313863726e-01, 6.878699967104e-04, 9.647183329617e-01, 5.964226444302e-04
 3.800000000000e+00, 1.162218504834e-04, 2.450296983316e-07, 5.814269579515e-05, 1.733095179761e-07, 5.807915468824e-05, 1.732147916413e-07, 1.189326277550e-03, 6.399996110836e-07, 1.190776874527e-03, 5.545938259236e-07, 9.097189732566e-01, 6.765044840093e-04, 9.114607974924e-01, 5.869016499130e-04, 2.109159375000e-02, 4.446725665096e-05, 1.055156250000e-02, 3.145169286978e-05, 1.054003125000e-02, 3.143450221791e-05, 2.158353750000e-01, 1.161452148713e-04, 2.160986250000e-01, 1.006460284705e-04, 9.097189732566e-01, 6.765044840093e-04, 9.114607974924e-01, 5.869016499130e-04
 3.933333333333e+00, 6.884249068306e-05, 1.821912217888e-07, 3.486170574649e-05, 1.296502855014e-07, 3.398078493657e-05, 1.280017373566e-07, 9.775816579363e-04, 5.605702604679e-07, 9.781215252964e-04, 4.856021170205e-07, 8.516900036995e-01, 6.645730111637e-04, 8.528004631022e-01, 5.763011786509e-04, 1.338534375000e-02, 3.542422866574e-05, 6.778312500000e-03, 2.520846676962e-05, 6.607031250000e-03, 2.488793241086e-05, 1.900754375000e-01, 1.089941046284e-04, 1.901804062500e-01, 9.441772366970e-05, 8.516900036995e-01, 6.645730111637e-04, 8.528004631022e-01, 5.763011786509e-04
 4.066666666667e+00, 4.031586568704e-05, 1.348530189808e-07, 2.017732891665e-05, 9.540134893857e-08, 2.013853677039e-05, 9.530959736001e-08, 7.986286502077e-04, 4.900602669169e-07, 7.987079636076e-04, 4.244257142467e-07, 7.981868542727e-01, 6.567900823113e-04, 7.974434565106e-01, 5.681214554468e-04, 8.379187500000e-03, 2.802764399883e-05, 4.193625000000e-03, 1.982806959212e-05, 4.185562500000e-03, 1.980900008519e-05, 1.659857500000e-01, 1.018533719373e-04, 1.660022343750e-01, 8.821198748656e-05, 7.981868542727e-01, 6.567900823113e-04, 7.974434565106e-01, 5.681214554468e-04
 4.200000000000e+00, 2.303137915964e-05, 9.869000072157e-08, 1.155628692107e-05, 6.990726921498e-08, 1.147509223856e-05, 6.966125144819e-08, 6.454537454709e-04, 4.265796295336e-07, 6.458140468745e-04, 3.695318917154e-07, 7.379739854181e-01, 6.429803131047e-04, 7.392624308824e-01, 5.578605264671e-04, 5.105812500000e-03, 2.187852650146e-05, 2.561906250000e-03, 1.549770018220e-05, 2.543906250000e-03, 1.544316065245e-05, 1.430902500000e-01, 9.456817976994e-05, 1.431701250000e-01, 8.192130131642e-05, 7.379739854181e-01, 6.429803131047e-04, 7.392624308824e-01, 5.578605264671e-04
 4.333333333333e+00, 1.326356749732e-05, 7.258914035562e-08, 6.602981860392e-06, 5.121669256029e-08, 6.660585636925e-06, 5.143961217537e-08, 5.157206522896e-04, 3.695754458182e-07, 5.183312951688e-04, 3.208707984533e-07, 6.804448904826e-01, 6.321114842642e-04, 6.844400158318e-01, 5.499028008928e-04, 3.130031250000e-03, 1.713010302618e-05, 1.558218750000e-03, 1.208648037323e-05, 1.571812500000e-03, 1.213908653380e-05, 1.217034375000e-01, 8.721504941092e-05, 1.223195156250e-01, 7.572137937810e-05, 6.804448904826e-01, 6.321114842642e-04, 6.844400158318e-01, 5.499028008928e-04
 4.466666666667e+00, 7.244422798916e-06, 5.204546979236e-08, 3.642215354025e-06, 3.690318489569e-08, 3.602207444891e-06, 3.669994373921e-08, 4.077740705054e-04, 3.188197467300e-07, 4.073640829132e-04, 2.759671625962e-07, 6.230255167505e-01, 6.205747684854e-04, 6.226707005137e-01, 5.373389240980e-04, 1.816406250000e-03, 1.304944772538e-05, 9.132187500000e-04, 9.252797296629e-06, 9.031875000000e-04, 9.201838301394e-06, 1.022418750000e-01, 7.993820855824e-05, 1.021390781250e-01, 6.919370843588e-05, 6.230255167505e-01, 6.205747684854e-04, 6.226707005137e-01, 5.373389240980e-04
 4.600000000000e+00, 3.892103826574e-06, 3.704246510058e-08, 1.886824246361e-06, 2.579130967654e-08, 2.005279580213e-06, 2.658857961413e-08, 3.184892579217e-04, 2.735958066702e-07, 3.187661237615e-04, 2.370438841069e-07, 5.662855067722e-01, 6.088153015458e-04, 5.666937734344e-01, 5.274691848031e-04, 1.035000000000e-03, 9.850444152423e-06, 5.017500000000e-04, 6.858502934314e-06, 5.332500000000e-04, 7.070515363112e-06, 8.469362500000e-02, 7.275542290785e-05, 8.476725000000e-02, 6.303542530792e-05, 5.662855067722e-01, 6.088153015458e-04, 5.666937734344e-01, 5.274691848031e-04
 4.733333333333e+00, 2.214549868143e-06, 2.715451125237e-08, 1.082802010405e-06, 1.898776224111e-08, 1.131747857738e-06, 1.941217057493e-08, 2.461549925756e-04, 2.337534089102e-07, 2.451802376908e-04, 2.020351764623e-07, 5.121859294742e-01, 5.981079076922e-04, 5.092590735532e-01, 5.155398050008e-04, 6.235312500000e-04, 7.645655935726e-06, 3.048750000000e-04, 5.346216536019e-06, 3.186562500000e-04, 5.465713442681e-06, 6.930768750000e-02, 6.581588310393e-05, 6.903323437500e-02, 5.688526049275e-05, 5.121859294742e-01, 5.981079076922e-04, 5.092590735532e-01, 5.155398050008e-04
 4.866666666667e+00, 1.092950568758e-06, 1.855392441416e-08, 4.963948404501e-07, 1.250400538938e-08, 5.965557283075e-07, 1.370758769400e-08, 1.888719373644e-04, 1.991469277224e-07, 1.879445042377e-04, 1.720423398065e-07, 4.613706134445e-01, 5.880798375414e-04, 4.569312122313e-01, 5.048659232607e-04, 3.253125000000e-04, 5.522503678134e-06, 1.477500000000e-04, 3.721768732740e-06, 1.775625000000e-04, 4.080010340060e-06, 5.621700000000e-02, 5.927531104937e-05, 5.594095312500e-02, 5.120773552633e-05, 4.613706134445e-01, 5.880798375414e-04, 4.569312122313e-01, 5.048659232607e-04
 5.000000000000e+00, 6.015700362926e-07, 1.339802958307e-08, 3.359959627309e-07, 1.001301493073e-08, 2.655740735617e-07, 8.902063171299e-09, 1.423843068969e-04, 1.682996711858e-07, 1.417871630952e-04, 1.454458362484e-07, 4.096367751887e-01, 5.748753555113e-04, 4.083562543857e-01, 4.971184191724e-04, 1.890000000000e-04, 4.209364560121e-06, 1.055625000000e-04, 3.145867825418e-06, 8.343750000000e-05, 2.796831354408e-06, 4.473400000000e-02, 5.287603426884e-05, 4.454639062500e-02, 4.569586480795e-05, 4.096367751887e-01, 5.748753555113e-04, 4.083562543857e-01, 4.971184191724e-04
 5.133333333333e+00, 3.912425739876e-07, 1.052427253418e-08, 2.075114375781e-07, 7.664609828799e-09, 1.837311364095e-07, 7.212077963109e-09, 1.060295685389e-04, 1.414610573096e-07, 1.059269452154e-04, 1.224495683140e-07, 3.602971403798e-01, 5.606445611162e-04, 3.598854659151e-01, 4.851391068861e-04, 1.295625000000e-04, 3.485180680395e-06, 6.871875000000e-05, 2.538184944503e-06, 6.084375000000e-05, 2.388326100536e-06, 3.511237500000e-02, 4.684574086830e-05, 3.507839062500e-02, 4.054996375519e-05, 3.602971403798e-01, 5.606445611162e-04, 3.598854659151e-01, 4.851391068861e-04
