#                 r,            density,      density error,          density A,    density error A,          density B,    density error B, radial probability,  probability error,     radial prob. A,      prob. error A,     radial prob. B,      prob. error B
 3.382500000000e+00, 3.018600243307e-03, 6.178370312689e-06, 1.507706765682e-03, 4.366460899506e-06, 1.510893477626e-03, 4.371072972829e-06, 4.340109090909e-01, 8.883190551832e-04, 2.167763636364e-01, 6.278047809433e-04, 2.172345454545e-01, 6.284678995991e-04
 3.437500000000e+00, 2.948737685996e-03, 6.008754413273e-06, 1.472740355575e-03, 4.246483859120e-06, 1.475997330422e-03, 4.251176829216e-06, 4.378654545455e-01, 8.922550130229e-04, 2.186909090909e-01, 6.305710385918e-04, 2.191745454545e-01, 6.312679094915e-04
 3.492500000000e+00, 2.855458530933e-03, 5.819836038309e-06, 1.435890090745e-03, 4.126990032592e-06, 1.419568440188e-03, 4.103467409849e-06, 4.376909090909e-01, 8.920771563562e-04, 2.200963636364e-01, 6.325940298577e-04, 2.175945454545e-01, 6.289884309596e-04
 3.547500000000e+00, 2.790161871808e-03, 5.663718625003e-06, 1.396897417600e-03, 4.007460282063e-06, 1.393264454208e-03, 4.002245713459e-06, 4.412581818182e-01, 8.957050872390e-04, 2.209163636364e-01, 6.337713433901e-04, 2.203418181818e-01, 6.329466704260e-04
 3.602500000000e+00, 2.710311541189e-03, 5.496865659530e-06, 1.354135695543e-03, 3.885407813127e-06, 1.356175845646e-03, 3.888333602535e-06, 4.420236363636e-01, 8.964816444540e-04, 2.208454545455e-01, 6.336696221870e-04, 2.211781818182e-01, 6.341467880234e-04
 3.657500000000e+00, 2.630397036810e-03, 5.333790454889e-06, 1.308709158764e-03, 3.762243213043e-06, 1.321687878046e-03, 3.780852631693e-06, 4.421890909091e-01, 8.966494104661e-04, 2.200036363636e-01, 6.324607589173e-04, 2.221854545455e-01, 6.355891390820e-04
 3.712500000000e+00, 2.574778435250e-03, 5.198921032549e-06, 1.288055809942e-03, 3.677143934549e-06, 1.286722625308e-03, 3.675240452988e-06, 4.459545454545e-01, 9.004590197677e-04, 2.230927272727e-01, 6.368855003027e-04, 2.228618181818e-01, 6.365558151373e-04
 3.767500000000e+00, 2.492680816436e-03, 5.040689444486e-06, 1.247736885190e-03, 3.566301963427e-06, 1.244943931245e-03, 3.562308293988e-06, 4.446218181818e-01, 8.991125100815e-04, 2.225600000000e-01, 6.361246304417e-04, 2.220618181818e-01, 6.354122758734e-04
 3.822500000000e+00, 2.429001736736e-03, 4.904292852679e-06, 1.217436825184e-03, 3.472047835734e-06, 1.211564911551e-03, 3.463664563899e-06, 4.460054545455e-01, 9.005104154114e-04, 2.235418181818e-01, 6.375262107721e-04, 2.224636363636e-01, 6.359869014712e-04
 3.877500000000e+00, 2.337699927696e-03, 4.742994900430e-06, 1.163975846267e-03, 3.346803852053e-06, 1.173724081429e-03, 3.360789282503e-06, 4.416818181818e-01, 8.961349514664e-04, 2.199200000000e-01, 6.323405296631e-04, 2.217618181818e-01, 6.349829177113e-04
 3.932500000000e+00, 2.281571900388e-03, 4.620176130489e-06, 1.137604963726e-03, 3.262399872763e-06, 1.143966936663e-03, 3.271509521144e-06, 4.433927272727e-01, 8.978689186297e-04, 2.210781818182e-01, 6.340034152735e-04, 2.223145454545e-01, 6.357737525746e-04
 3.987500000000e+00, 2.193861335066e-03, 4.468010361500e-06, 1.095520239708e-03, 3.157328626986e-06, 1.098341095358e-03, 3.161390917253e-06, 4.383563636364e-01, 8.927550449300e-04, 2.188963636364e-01, 6.308671717800e-04, 2.194600000000e-01, 6.316788597208e-04
 4.042500000000e+00, 2.127523965513e-03, 4.340078407346e-06, 1.069791295368e-03, 3.077583713010e-06, 1.057732670145e-03, 3.060189384880e-06, 4.369090909091e-01, 8.912800711837e-04, 2.196927272727e-01, 6.320137042138e-04, 2.172163636364e-01, 6.284415986989e-04
 4.097500000000e+00, 2.085262239788e-03, 4.239082221184e-06, 1.036603154919e-03, 2.988806257748e-06, 1.048659084869e-03, 3.006136262980e-06, 4.399618181818e-01, 8.943883823666e-04, 2.187090909091e-01, 6.305972506775e-04, 2.212527272727e-01, 6.342536448066e-04
 4.152500000000e+00, 2.007063786067e-03, 4.103755663306e-06, 1.001312534376e-03, 2.898582954494e-06, 1.005751251691e-03, 2.905000413086e-06, 4.349072727273e-01, 8.892359056335e-04, 2.169727272727e-01, 6.280890603797e-04, 2.179345454545e-01, 6.294796486775e-04
 4.207500000000e+00, 1.946680659720e-03, 3.988722873211e-06, 9.748400460562e-04, 2.822625023026e-06, 9.718406136638e-04, 2.818279286845e-06, 4.330709090909e-01, 8.873565534173e-04, 2.168690909091e-01, 6.279390400481e-04, 2.162018181818e-01, 6.269722600530e-04
 4.262500000000e+00, 1.878086658271e-03, 3.867266777279e-06, 9.418503895400e-04, 2.738654707112e-06, 9.362362687305e-04, 2.730480309737e-06, 4.288054545455e-01, 8.829758099698e-04, 2.150436363636e-01, 6.252906762075e-04, 2.137618181818e-01, 6.234242947140e-04
 4.317500000000e+00, 1.803151691395e-03, 3.741059127551e-06, 9.002175481088e-04, 2.643334825336e-06, 9.029341432859e-04, 2.647320229401e-06, 4.223890909091e-01, 8.763447753534e-04, 2.108763636364e-01, 6.192023661518e-04, 2.115127272727e-01, 6.201359488381e-04
 4.372500000000e+00, 1.753860085355e-03, 3.643162258681e-06, 8.789922322696e-04, 2.579131944704e-06, 8.748678530857e-04, 2.573073969960e-06, 4.213763636364e-01, 8.752935753078e-04, 2.111836363636e-01, 6.196533288330e-04, 2.101927272727e-01, 6.181978607544e-04
 4.427500000000e+00, 1.687425629956e-03, 3.529105826037e-06, 8.379520835372e-04, 2.486920793530e-06, 8.494735464188e-04, 2.503959444175e-06, 4.156781818182e-01, 8.693552279688e-04, 2.064200000000e-01, 6.126247553838e-04, 2.092581818182e-01, 6.168220338863e-04
 4.482500000000e+00, 1.641648052101e-03, 3.438196774493e-06, 8.187321905066e-04, 2.428072407908e-06, 8.229158615944e-04, 2.434268153284e-06, 4.145109090909e-01, 8.681337445043e-04, 2.067272727273e-01, 6.130805563668e-04, 2.077836363636e-01, 6.146449623580e-04
 4.537500000000e+00, 1.584425558219e-03, 3.336801301374e-06, 7.911762515029e-04, 2.357930759364e-06, 7.932493067158e-04, 2.361017886186e-06, 4.099400000000e-01, 8.633339183337e-04, 2.047018181818e-01, 6.100697697534e-04, 2.052381818182e-01, 6.108685051453e-04
