# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
 1.749363880733e-01, 1.959833276436e-01, 8.082559983148e-03, 4.200000000000e-02, 1.767098830000e+00, 8.096666666667e-01,               3000
 1.766894564436e-01, 1.476945574726e-01, 7.016517594756e-03, 4.400000000000e-02, 1.706652181000e+00, 8.410000000000e-01,               3000
 1.530902404097e-01, 1.481866237259e-01, 7.028196158472e-03, 4.600000000000e-02, 1.731393596000e+00, 8.763333333333e-01,               3000
 1.266676325704e-01, 1.258321036350e-01, 6.476421430466e-03, 4.800000000000e-02, 1.625691097000e+00, 9.056666666667e-01,               3000
 1.183120069146e-01, 7.074689907994e-02, 4.856161003644e-03, 5.000000000000e-02, 1.620420152000e+00, 9.310000000000e-01,               3000
 1.337438096852e-01, 8.671971432020e-02, 5.376483185137e-03, 5.200000000000e-02, 1.589195261000e+00, 9.180000000000e-01,               3000
 1.103959820816e-01, 8.829531275457e-02, 5.425105613552e-03, 5.400000000000e-02, 1.584916435000e+00, 9.196666666667e-01,               3000
 1.042536171798e-01, 1.237053220788e-01, 6.421456794186e-03, 5.600000000000e-02, 1.651626024000e+00, 9.116666666667e-01,               3000
 1.204377370180e-01, 6.509440389624e-02, 4.658125656536e-03, 5.800000000000e-02, 1.593289411000e+00, 9.276666666667e-01,               3000
 1.356111413125e-01, 7.262849373687e-02, 4.920314818413e-03, 6.000000000000e-02, 1.604473888000e+00, 9.366666666667e-01,               3000
 1.047478516928e-01, 4.532740302914e-02, 3.887046995220e-03, 6.200000000000e-02, 1.650463415000e+00, 9.253333333333e-01,               3000
 1.150380465228e-01, 7.140513370394e-02, 4.878699748360e-03, 6.400000000000e-02, 1.650393972000e+00, 9.303333333333e-01,               3000
 9.694439457836e-02, 1.206643400849e-01, 6.342038055309e-03, 6.600000000000e-02, 1.612168803000e+00, 8.993333333333e-01,               3000
 1.237459746959e-01, 1.162150540343e-01, 6.224014086165e-03, 6.800000000000e-02, 1.627731476000e+00, 8.810000000000e-01,               3000
 1.106702720726e-01, 1.002290421280e-01, 5.780110786943e-03, 7.000000000000e-02, 1.576562343000e+00, 8.990000000000e-01,               3000
 1.298413353163e-01, 8.722445094031e-02, 5.392106914751e-03, 7.200000000000e-02, 1.570387060000e+00, 8.920000000000e-01,               3000
 1.255047937927e-01, 6.897767041230e-02, 4.795055453704e-03, 7.400000000000e-02, 1.598678473000e+00, 9.016666666667e-01,               3000
 1.095362513261e-01, 6.439853994101e-02, 4.633160905941e-03, 7.600000000000e-02, 1.608285010000e+00, 9.226666666667e-01,               3000
 1.173580440168e-01, 6.475902106168e-02, 4.646110239103e-03, 7.800000000000e-02, 1.586563694000e+00, 9.303333333333e-01,               3000
 1.407833621639e-01, 4.252737359095e-02, 3.765075191412e-03, 8.000000000000e-02, 1.611760855000e+00, 9.430000000000e-01,               3000
 1.151460614301e-01, 8.542187951531e-02, 5.336099684080e-03, 8.200000000000e-02, 1.593545042000e+00, 9.333333333333e-01,               3000
 1.184977737605e-01, 9.405117485313e-02, 5.599142043002e-03, 8.400000000000e-02, 1.624048454000e+00, 9.066666666667e-01,               3000
 2.464313957560e-01, 5.041387778201e+01, 1.296326576420e-01, 8.600000000000e-02, 1.628917356000e+00, 8.966666666667e-01,               3000
 1.047641603261e-01, 1.012254376775e-01, 5.808770313859e-03, 8.800000000000e-02, 1.658784311000e+00, 8.943333333333e-01,               3000
 1.241295396472e-01, 1.103144649959e-01, 6.063949895239e-03, 9.000000000000e-02, 1.577044552000e+00, 8.833333333333e-01,               3000
 1.113269148457e-01, 1.246296046386e-01, 6.445401581454e-03, 9.200000000000e-02, 1.597233186000e+00, 8.800000000000e-01,               3000
 1.217710215806e-01, 8.369877637975e-02, 5.282006448934e-03, 9.400000000000e-02, 1.600561172000e+00, 8.833333333333e-01,               3000
 1.046105366230e-01, 5.847686896112e-02, 4.415007322045e-03, 9.600000000000e-02, 1.571723378000e+00, 9.030000000000e-01,               3000
 9.887161077887e-02, 8.034864954868e-02, 5.175218177323e-03, 9.800000000000e-02, 1.603367729000e+00, 9.020000000000e-01,               3000
 9.645412583251e-02, 5.382673826306e-02, 4.235828854863e-03, 1.000000000000e-01, 1.584530118000e+00, 9.316666666667e-01,               3000
 1.184132119366e-01, 2.919838986816e-02, 3.119743037931e-03, 1.020000000000e-01, 1.605334594000e+00, 9.530000000000e-01,               3000
 1.022523238903e-01, 3.569926122872e-02, 3.449601968765e-03, 1.040000000000e-01, 1.604232007000e+00, 9.193333333333e-01,               3000
 8.603608388430e-02, 4.967492354573e-02, 4.069190072800e-03, 1.060000000000e-01, 1.577909886000e+00, 8.783333333333e-01,               3000
 9.539507881881e-02, 1.367412792770e-01, 6.751327752796e-03, 1.080000000000e-01, 1.578689044000e+00, 8.843333333333e-01,               3000
 1.079835421892e-01, 6.134730446443e-02, 4.522068275484e-03, 1.100000000000e-01, 1.601776048000e+00, 8.620000000000e-01,               3000
 1.208426185514e-01, 6.014078380139e-02, 4.477379583394e-03, 1.120000000000e-01, 1.584580622000e+00, 8.563333333333e-01,               3000
 1.040208232810e-01, 7.836730567747e-02, 5.111011174496e-03, 1.140000000000e-01, 1.571366230000e+00, 8.636666666667e-01,               3000
 9.394162909551e-02, 6.095985012706e-02, 4.507765526550e-03, 1.160000000000e-01, 1.605026076000e+00, 8.860000000000e-01,               3000
 9.691772437292e-02, 5.585055327330e-02, 4.314724914882e-03, 1.180000000000e-01, 1.678041090000e+00, 8.796666666667e-01,               3000
 9.771184905567e-02, 5.711036508092e-02, 4.363116817174e-03, 1.200000000000e-01, 1.639888900000e+00, 8.743333333333e-01,               3000
 8.416824085082e-02, 4.115408760678e-02, 3.703785793247e-03, 1.220000000000e-01, 1.666442171000e+00, 8.980000000000e-01,               3000
 2.719150880072e+00, 1.044042967088e+04, 1.865514198184e+00, 1.240000000000e-01, 1.650425289000e+00, 9.166666666667e-01,               3000
 1.255376413327e-01, 1.772171231546e-02, 2.430480906834e-03, 1.260000000000e-01, 1.569205745000e+00, 9.563333333333e-01,               3000
 1.134781157899e-01, 6.651671009820e-02, 4.708740457851e-03, 1.280000000000e-01, 1.579943069000e+00, 8.280000000000e-01,               3000
 1.346234741058e-01, 2.178732797150e-01, 8.521996630582e-03, 1.300000000000e-01, 1.596726071000e+00, 7.873333333333e-01,               3000
 2.053000626415e-01, 1.029234613621e-01, 5.857287807001e-03, 1.320000000000e-01, 1.586640111000e+00, 7.766666666667e-01,               3000
 1.965767311884e-01, 1.181043188612e-01, 6.274400870765e-03, 1.340000000000e-01, 1.591255453000e+00, 8.086666666667e-01,               3000
 2.540982572324e-01, 1.225987042884e-01, 6.392670393723e-03, 1.360000000000e-01, 1.607758177000e+00, 8.293333333333e-01,               3000
 2.682532595576e-01, 1.297390709221e-01, 6.576196239015e-03, 1.380000000000e-01, 1.597912920000e+00, 8.453333333333e-01,               3000
 2.556355453979e-01, 1.224454645203e-01, 6.388673950055e-03, 1.400000000000e-01, 1.567827880000e+00, 8.693333333333e-01,               3000
 2.628258787334e-01, 1.363820187793e-01, 6.742453034796e-03, 1.420000000000e-01, 1.593655627000e+00, 8.686666666667e-01,               3000
 2.690108385711e-01, 1.034459210020e-01, 5.872135358397e-03, 1.440000000000e-01, 1.565760099000e+00, 8.760000000000e-01,               3000
 2.502241852328e-01, 1.055145940281e-01, 5.930559108778e-03, 1.460000000000e-01, 1.564038331000e+00, 8.963333333333e-01,               3000
 2.669610510442e-01, 9.747279405239e-02, 5.700081696853e-03, 1.480000000000e-01, 1.597910256000e+00, 8.866666666667e-01,               3000
 2.470473404126e-01, 1.064073856511e-01, 5.955596405933e-03, 1.500000000000e-01, 1.571175631000e+00, 8.870000000000e-01,               3000
 2.357959497369e-01, 1.036503537620e-01, 5.877934834675e-03, 1.520000000000e-01, 1.567131691000e+00, 8.886666666667e-01,               3000
 2.218308745269e-01, 1.413771310084e-01, 6.864816846511e-03, 1.540000000000e-01, 1.606600626000e+00, 8.916666666667e-01,               3000
 2.086884728520e-01, 1.260932880782e-01, 6.483139365004e-03, 1.560000000000e-01, 1.612238749000e+00, 9.080000000000e-01,               3000
 1.812560430840e-01, 8.738862446778e-02, 5.397179030684e-03, 1.580000000000e-01, 1.560654414000e+00, 9.213333333333e-01,               3000
 2.032166444951e-01, 5.096567774812e-02, 4.121717997313e-03, 1.600000000000e-01, 1.598917520000e+00, 9.210000000000e-01,               3000
 1.847536389031e-01, 5.528623935609e-02, 4.292871585784e-03, 1.620000000000e-01, 1.562129779000e+00, 9.273333333333e-01,               3000
 1.570030222695e-01, 1.064882540367e-01, 5.957859068399e-03, 1.640000000000e-01, 1.559178143000e+00, 9.253333333333e-01,               3000
 1.411680635984e-01, 5.094518291750e-02, 4.120889180646e-03, 1.660000000000e-01, 1.596510118000e+00, 9.280000000000e-01,               3000
 1.339304946059e-01, 3.800116584583e-02, 3.559080679325e-03, 1.680000000000e-01, 1.569509957000e+00, 9.376666666667e-01,               3000
 1.226759708019e-01, 3.418876256029e-02, 3.375833850586e-03, 1.700000000000e-01, 1.551902305000e+00, 9.433333333333e-01,               3000
 1.187657122116e-01, 3.229261710113e-02, 3.280884895935e-03, 1.720000000000e-01, 1.599624843000e+00, 9.440000000000e-01,               3000
 1.029528921234e-01, 2.981441301470e-02, 3.152481192897e-03, 1.740000000000e-01, 1.584793531000e+00, 9.373333333333e-01,               3000
 9.853990262080e-02, 1.947137121828e-02, 2.547637547368e-03, 1.760000000000e-01, 1.570038458000e+00, 9.423333333333e-01,               3000
 8.486815938239e-02, 1.385788547019e-02, 2.149254558383e-03, 1.780000000000e-01, 1.573320618000e+00, 9.493333333333e-01,               3000
 8.297114345380e-02, 2.213637617395e-02, 2.716393207543e-03, 1.800000000000e-01, 1.588448311000e+00, 9.376666666667e-01,               3000
 7.534730547122e-02, 1.294350491871e-02, 2.077137847994e-03, 1.820000000000e-01, 1.567499019000e+00, 9.460000000000e-01,               3000
 6.815154014581e-02, 1.041893303140e-02, 1.863592680049e-03, 1.840000000000e-01, 1.754635524000e+00, 9.556666666667e-01,               3000
 6.445873148207e-02, 3.060501502821e-02, 3.194005584853e-03, 1.860000000000e-01, 2.305646303000e+00, 9.476666666667e-01,               3000
 7.398979646535e-02, 8.985366743083e-03, 1.730642148942e-03, 1.880000000000e-01, 2.233218609000e+00, 9.593333333333e-01,               3000
 7.741463715199e-02, 4.627169645364e-03, 1.241929902123e-03, 1.900000000000e-01, 1.923869691000e+00, 9.776666666667e-01,               3000
 8.656657319768e-02, 9.758595254494e-03, 1.803570094238e-03, 1.920000000000e-01, 1.605732215000e+00, 9.583333333333e-01,               3000
 6.829451818834e-02, 8.156316206529e-03, 1.648869936909e-03, 1.940000000000e-01, 1.640491926000e+00, 9.560000000000e-01,               3000
 7.407938224293e-02, 1.063405576658e-02, 1.882733453128e-03, 1.960000000000e-01, 1.660420486000e+00, 9.283333333333e-01,               3000
 6.774731406104e-02, 1.240665647689e-02, 2.033605703907e-03, 1.980000000000e-01, 1.588667881000e+00, 9.200000000000e-01,               3000
 7.618066204927e-02, 1.873599528867e-02, 2.499066178173e-03, 2.000000000000e-01, 1.585035479000e+00, 8.966666666667e-01,               3000
 7.905184047295e-02, 2.348292730344e-02, 2.797792421621e-03, 2.020000000000e-01, 1.692247404000e+00, 8.973333333333e-01,               3000
 6.438729895330e-02, 1.184287916909e-02, 1.986863455222e-03, 2.040000000000e-01, 1.581197467000e+00, 8.950000000000e-01,               3000
 7.212736847978e-02, 1.138814737305e-02, 1.948345227199e-03, 2.060000000000e-01, 1.560428748000e+00, 9.016666666667e-01,               3000
 7.341768259061e-02, 1.127673962032e-02, 1.938791687308e-03, 2.080000000000e-01, 1.594273763000e+00, 8.930000000000e-01,               3000
 7.449718078767e-02, 1.198763686023e-02, 1.998969472856e-03, 2.100000000000e-01, 1.603720845000e+00, 8.966666666667e-01,               3000
 7.258599690417e-02, 1.105896752501e-02, 1.919979819774e-03, 2.120000000000e-01, 1.610633304000e+00, 8.913333333333e-01,               3000
 6.540790569274e-02, 1.687195150087e-02, 2.371494008768e-03, 2.140000000000e-01, 1.614542478000e+00, 8.926666666667e-01,               3000
 6.703411746057e-02, 9.028021204869e-03, 1.734745053783e-03, 2.160000000000e-01, 1.574139230000e+00, 9.123333333333e-01,               3000
 6.227018325038e-02, 5.260771613707e-03, 1.324232055911e-03, 2.180000000000e-01, 1.565711717000e+00, 9.193333333333e-01,               3000
 5.814727002227e-02, 2.797588849589e-02, 3.053734789614e-03, 2.200000000000e-01, 1.620793084000e+00, 9.250000000000e-01,               3000
 6.566673642754e-02, 7.221409135881e-03, 1.551494885144e-03, 2.220000000000e-01, 1.581779541000e+00, 9.083333333333e-01,               3000
 6.890541167558e-02, 1.180626677276e-02, 1.983789872337e-03, 2.240000000000e-01, 1.622780446000e+00, 8.976666666667e-01,               3000
 6.287810619410e-02, 7.321280067856e-03, 1.562186509123e-03, 2.260000000000e-01, 1.605704836000e+00, 9.190000000000e-01,               3000
 6.686171416620e-02, 1.336440186671e-02, 2.110639860856e-03, 2.280000000000e-01, 1.566345884000e+00, 9.230000000000e-01,               3000
 6.593690110329e-02, 5.182763389005e-03, 1.314377341685e-03, 2.300000000000e-01, 1.571450253000e+00, 9.253333333333e-01,               3000
 6.424316650545e-02, 1.017282357043e-02, 1.841450838373e-03, 2.320000000000e-01, 1.628973909000e+00, 9.206666666667e-01,               3000
 6.196493348181e-02, 6.908852591330e-03, 1.517547647943e-03, 2.340000000000e-01, 1.564990373000e+00, 9.236666666667e-01,               3000
 6.588419008761e-02, 7.913432162528e-03, 1.624133837109e-03, 2.360000000000e-01, 1.554738154000e+00, 9.266666666667e-01,               3000
 6.225109132698e-02, 9.392651232846e-03, 1.769430344569e-03, 2.380000000000e-01, 1.606538458000e+00, 9.180000000000e-01,               3000
 6.495500272611e-02, 7.264944515834e-03, 1.556164570971e-03, 2.400000000000e-01, 1.585532503000e+00, 9.073333333333e-01,               3000
 6.498149356997e-02, 7.941858374920e-03, 1.627048285999e-03, 2.420000000000e-01, 1.584782628000e+00, 8.946666666667e-01,               3000
 6.412903338377e-02, 6.925133380373e-03, 1.519334654860e-03, 2.440000000000e-01, 1.605128876000e+00, 9.020000000000e-01,               3000
 6.252216788082e-02, 7.146578453334e-03, 1.543435394754e-03, 2.460000000000e-01, 1.581204762000e+00, 9.063333333333e-01,               3000
 6.754329422977e-02, 6.767370066054e-03, 1.501928767292e-03, 2.480000000000e-01, 1.570011602000e+00, 9.020000000000e-01,               3000
 6.785010487665e-02, 5.355928643672e-03, 1.336154761953e-03, 2.500000000000e-01, 1.622924561000e+00, 8.990000000000e-01,               3000
 6.475790122945e-02, 7.353497461822e-03, 1.565619947691e-03, 2.520000000000e-01, 1.594382129000e+00, 9.006666666667e-01,               3000
 6.292760026159e-02, 5.983679737719e-03, 1.412288891330e-03, 2.540000000000e-01, 1.566932091000e+00, 9.033333333333e-01,               3000
 6.275392918006e-02, 6.489683746769e-03, 1.470791594887e-03, 2.560000000000e-01, 1.548429806000e+00, 9.080000000000e-01,               3000
 6.795883630223e-02, 6.662543680000e-03, 1.490250949784e-03, 2.580000000000e-01, 1.588075601000e+00, 8.953333333333e-01,               3000
 6.017437604253e-02, 3.343207926695e-02, 3.338266978885e-03, 2.600000000000e-01, 1.739540764000e+00, 9.003333333333e-01,               3000
 6.391215304059e-02, 7.129523132985e-03, 1.541592589174e-03, 2.620000000000e-01, 1.668527655000e+00, 9.113333333333e-01,               3000
 6.286640661657e-02, 1.899971650500e-02, 2.516592703439e-03, 2.640000000000e-01, 1.684354751000e+00, 9.103333333333e-01,               3000
 6.605348131617e-02, 2.001259377664e-02, 2.582801694326e-03, 2.660000000000e-01, 1.694928682000e+00, 8.993333333333e-01,               3000
 5.973679194649e-02, 2.187656509144e-02, 2.700405222150e-03, 2.680000000000e-01, 1.720867257000e+00, 9.053333333333e-01,               3000
 6.143893131690e-02, 4.840267297480e-03, 1.270205665431e-03, 2.700000000000e-01, 1.807075385000e+00, 9.126666666667e-01,               3000
 6.084440322702e-02, 7.655241575429e-03, 1.597418915567e-03, 2.720000000000e-01, 1.741492807000e+00, 8.916666666667e-01,               3000
 6.308095369749e-02, 6.922419498750e-03, 1.519036920634e-03, 2.740000000000e-01, 1.850313400000e+00, 9.193333333333e-01,               3000
 5.987297242063e-02, 6.139094415374e-03, 1.430512077937e-03, 2.760000000000e-01, 1.616689761000e+00, 9.253333333333e-01,               3000
 5.637012608850e-02, 1.036371740694e-02, 1.858648021810e-03, 2.780000000000e-01, 1.580579313000e+00, 9.353333333333e-01,               3000
 6.046160343665e-02, 1.393498677401e-02, 2.155225183441e-03, 2.800000000000e-01, 1.617954882000e+00, 9.270000000000e-01,               3000
 5.882541186267e-02, 4.126317628810e-03, 1.172791204607e-03, 2.820000000000e-01, 1.592899186000e+00, 9.380000000000e-01,               3000
 6.168664464802e-02, 5.528956958829e-03, 1.357566076824e-03, 2.840000000000e-01, 1.664232218000e+00, 9.236666666667e-01,               3000
 6.039806076763e-02, 4.558661386180e-03, 1.232701827448e-03, 2.860000000000e-01, 1.700543289000e+00, 9.253333333333e-01,               3000
 5.939438350886e-02, 6.107438438361e-03, 1.426819124061e-03, 2.880000000000e-01, 1.689999462000e+00, 8.960000000000e-01,               3000
