# PRETRAINING
#                 K,       elapsed time,   acceptance ratio 
 2.507457896641e+00, 5.066220870389e-01, 7.117739016281e-03, 4.400000000000e-01, 1.404854304800e+01, 9.833000000000e-01
 2.533804211795e+00, 9.236297580424e-01, 9.610565842043e-03, 4.500000000000e-01, 1.382251192100e+01, 9.833000000000e-01
 2.554845681660e+00, 8.051997928986e-01, 8.973292555682e-03, 4.600000000000e-01, 1.260004126200e+01, 9.816000000000e-01
 2.578935771681e+00, 1.199548054484e+00, 1.095238811623e-02, 4.700000000000e-01, 1.279425618100e+01, 9.826000000000e-01
 2.569745237005e+00, 4.234981157652e-01, 6.507673284402e-03, 4.800000000000e-01, 1.238966280400e+01, 9.841000000000e-01
 2.561702822786e+00, 6.398437670566e-01, 7.999023484505e-03, 4.900000000000e-01, 1.201118261200e+01, 9.835000000000e-01
 2.596792007334e+00, 7.534230805558e-01, 8.679994703661e-03, 5.000000000000e-01, 1.200773272600e+01, 9.815000000000e-01
 2.601393707107e+00, 5.898492841612e-01, 7.680164608660e-03, 5.100000000000e-01, 1.225882078100e+01, 9.824000000000e-01
 2.616165098658e+00, 1.335235091265e+00, 1.155523730291e-02, 5.200000000000e-01, 1.217963699500e+01, 9.816000000000e-01
 2.630509965639e+00, 6.068401595223e-01, 7.789994605404e-03, 5.300000000000e-01, 1.200587916700e+01, 9.859000000000e-01
 2.650740764410e+00, 1.603122517357e+00, 1.266144745816e-02, 5.400000000000e-01, 1.215207002900e+01, 9.853000000000e-01
 2.659749959197e+00, 1.191846660014e+00, 1.091717298578e-02, 5.500000000000e-01, 1.202713011900e+01, 9.805000000000e-01
 2.638044284497e+00, 1.038343689252e+00, 1.018991505977e-02, 5.600000000000e-01, 1.203230690300e+01, 9.822000000000e-01
 2.660975876177e+00, 9.262744473102e-01, 9.624315286348e-03, 5.700000000000e-01, 1.197870724900e+01, 9.835000000000e-01
 2.691568288494e+00, 6.940631420009e+00, 2.634507813617e-02, 5.800000000000e-01, 1.198955644200e+01, 9.826000000000e-01
 2.705109597687e+00, 1.620031957162e+00, 1.272804760033e-02, 5.900000000000e-01, 1.214094755300e+01, 9.838000000000e-01
 2.696718471142e+00, 1.138245064550e+00, 1.066885684856e-02, 6.000000000000e-01, 1.199658612600e+01, 9.829000000000e-01
 2.720247244401e+00, 2.125492378405e+00, 1.457906848329e-02, 6.100000000000e-01, 1.200987042300e+01, 9.842000000000e-01
 2.702168188476e+00, 7.400655705699e-01, 8.602706379797e-03, 6.200000000000e-01, 1.200476270800e+01, 9.848000000000e-01
 2.753472544151e+00, 3.645883014793e+00, 1.909419549181e-02, 6.300000000000e-01, 1.197020571800e+01, 9.840000000000e-01
 2.764905910938e+00, 9.535618152746e-01, 9.765048977218e-03, 6.400000000000e-01, 1.245022912200e+01, 9.821000000000e-01
