#              p[0],               p[1],               p[2],             energy,           variance,              error,       elapsed time,   acceptance ratio,  Monte Carlo steps 
 3.981967795655e+00, 1.081951264504e+00, 5.000000000000e+00, 1.354682675653e-01, 3.319950417232e-02, 1.054440457025e-04, 1.276967447000e+00, 9.512100533693e-01            2985984
 3.981968427170e+00, 1.081950876461e+00, 5.000000000000e+00, 1.388868593039e-01, 6.766416027118e-02, 1.505343494642e-04, 1.792172276000e+00, 9.506561321159e-01            2985984
 3.981968433485e+00, 1.081950872580e+00, 5.000000000000e+00, 1.328519786286e-01, 1.123881516947e-02, 6.135027677639e-05, 1.538962499000e+00, 9.512509109225e-01            2985984
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.331889889752e-01, 1.302567748369e-02, 6.604750588916e-05, 1.050218953000e+00, 9.515074427726e-01            2985984
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.321259195831e-01, 7.659045091332e-03, 4.623309850697e-05, 1.328165119000e+00, 9.513560580267e-01            3583180
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.379294455961e-01, 4.947817854736e-02, 1.175093811322e-04, 1.184390802000e+00, 9.507602185768e-01            3583180
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.321916824912e-01, 7.397021092239e-03, 4.543537489608e-05, 1.229408400000e+00, 9.514456432554e-01            3583180
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.320433829967e-01, 7.563923608037e-03, 4.594510563034e-05, 1.225122194000e+00, 9.514113162052e-01            3583180
 3.976931771789e+00, 1.084907553058e+00, 5.000000000000e+00, 1.327037787115e-01, 9.669377096682e-03, 4.742139364567e-05, 1.628440659000e+00, 9.513018696614e-01            4299816
 3.981918066932e+00, 1.081980439346e+00, 5.000000000000e+00, 1.327046587421e-01, 1.023330948285e-02, 4.878464157870e-05, 1.562603769000e+00, 9.515507175191e-01            4299816
 3.981967929883e+00, 1.081951168209e+00, 5.000000000000e+00, 1.332012602488e-01, 1.319376410246e-02, 5.056720311608e-05, 2.052430986000e+00, 9.513568030860e-01            5159776
 3.981968428513e+00, 1.081950875498e+00, 5.000000000000e+00, 1.326818051558e-01, 9.554026247102e-03, 4.303063856528e-05, 1.973439784000e+00, 9.515467338117e-01            5159776
 3.981968433499e+00, 1.081950872570e+00, 5.000000000000e+00, 1.321399504462e-01, 8.015247408604e-03, 3.941332206118e-05, 2.094435050000e+00, 9.514087433253e-01            5159776
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.320807158572e-01, 7.302733357422e-03, 3.762073687267e-05, 2.146039630000e+00, 9.513924635488e-01            5159776
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.337016838875e-01, 1.729785207952e-02, 5.285547916938e-05, 2.346742679000e+00, 9.511456568211e-01            6191732
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.320847221390e-01, 7.002544534572e-03, 3.362961261360e-05, 2.092363210000e+00, 9.514311988956e-01            6191732
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.326339228429e-01, 9.560608387947e-03, 3.929494539166e-05, 2.187121977000e+00, 9.512549961788e-01            6191732
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.333866392400e-01, 1.585388346383e-02, 5.060130945644e-05, 2.089081167000e+00, 9.511962081046e-01            6191732
 3.981968433549e+00, 1.081950872541e+00, 5.000000000000e+00, 1.322254564377e-01, 7.897840005772e-03, 3.571478916012e-05, 2.142967951000e+00, 9.515386001849e-01            6191732
